index,x,y,free
414,-4.9500002861022949,-3.4499998092651367,1
415,-4.6500000953674316,-3.4499998092651367,1
416,-4.3500003814697266,-3.4499998092651367,1
417,-4.0500001907348633,-3.4499998092651367,1
418,-3.7500002384185791,-3.4499998092651367,1
419,-3.4500002861022949,-3.4499998092651367,1
420,-3.1500000953674316,-3.4499998092651367,1
421,-2.8500003814697266,-3.4499998092651367,1
422,-2.5500001907348633,-3.4499998092651367,1
423,-2.25,-3.4499998092651367,1
424,-1.9500004053115845,-3.4499998092651367,1
425,-1.6500002145767212,-3.4499998092651367,1
426,-1.3500005006790161,-3.4499998092651367,1
427,-1.0500003099441528,-3.4499998092651367,1
428,-0.75000011920928955,-3.4499998092651367,1
429,-0.45000037550926208,-3.4499998092651367,1
430,-0.1500001847743988,-3.4499998092651367,1
431,0.15000000596046448,-3.4499998092651367,1
432,0.44999971985816956,-3.4499998092651367,1
433,0.74999988079071045,-3.4499998092651367,1
434,1.0500000715255737,-3.4499998092651367,0
435,-7.3500003814697266,-3.1500000953674316,0
436,-7.0500001907348633,-3.1500000953674316,0
437,-6.7500004768371582,-3.1500000953674316,0
438,-6.4500002861022949,-3.1500000953674316,0
439,-6.1500000953674316,-3.1500000953674316,0
440,-5.8500003814697266,-3.1500000953674316,0
441,-5.5500001907348633,-3.1500000953674316,1
442,-5.2500004768371582,-3.1500000953674316,1
443,-4.9500002861022949,-3.1500000953674316,1
444,-4.6500000953674316,-3.1500000953674316,1
445,-4.3500003814697266,-3.1500000953674316,1
446,-4.0500001907348633,-3.1500000953674316,1
447,-3.7500002384185791,-3.1500000953674316,1
448,-3.4500002861022949,-3.1500000953674316,1
449,-3.1500000953674316,-3.1500000953674316,1
450,-2.8500003814697266,-3.1500000953674316,1
451,-2.5500001907348633,-3.1500000953674316,1
452,-2.25,-3.1500000953674316,1
453,-1.9500004053115845,-3.1500000953674316,1
454,-1.6500002145767212,-3.1500000953674316,1
455,-1.3500005006790161,-3.1500000953674316,1
456,-1.0500003099441528,-3.1500000953674316,1
457,-0.75000011920928955,-3.1500000953674316,1
458,-0.45000037550926208,-3.1500000953674316,1
459,-0.1500001847743988,-3.1500000953674316,1
460,0.15000000596046448,-3.1500000953674316,1
461,0.44999971985816956,-3.1500000953674316,1
462,0.74999988079071045,-3.1500000953674316,1
463,1.0500000715255737,-3.1500000953674316,0
464,-7.3500003814697266,-2.8499999046325684,0
465,-7.0500001907348633,-2.8499999046325684,0
466,-6.7500004768371582,-2.8499999046325684,0
467,-6.4500002861022949,-2.8499999046325684,0
468,-6.1500000953674316,-2.8499999046325684,0
469,-5.8500003814697266,-2.8499999046325684,0
470,-5.5500001907348633,-2.8499999046325684,0
471,-5.2500004768371582,-2.8499999046325684,0
472,-4.9500002861022949,-2.8499999046325684,0
473,-4.6500000953674316,-2.8499999046325684,0
474,-4.3500003814697266,-2.8499999046325684,0
475,-4.0500001907348633,-2.8499999046325684,0
476,-3.7500002384185791,-2.8499999046325684,0
477,-3.4500002861022949,-2.8499999046325684,0
478,-3.1500000953674316,-2.8499999046325684,0
479,-2.8500003814697266,-2.8499999046325684,0
480,-2.5500001907348633,-2.8499999046325684,0
481,-2.25,-2.8499999046325684,0
482,-1.9500004053115845,-2.8499999046325684,0
483,-1.6500002145767212,-2.8499999046325684,1
484,-1.3500005006790161,-2.8499999046325684,1
485,-1.0500003099441528,-2.8499999046325684,1
486,-0.75000011920928955,-2.8499999046325684,0
487,-0.45000037550926208,-2.8499999046325684,1
488,-0.1500001847743988,-2.8499999046325684,1
489,0.15000000596046448,-2.8499999046325684,1
490,0.44999971985816956,-2.8499999046325684,1
491,0.74999988079071045,-2.8499999046325684,1
492,1.0500000715255737,-2.8499999046325684,0
493,-7.3500003814697266,-2.5499997138977051,1
494,-7.0500001907348633,-2.5499997138977051,1
495,-6.7500004768371582,-2.5499997138977051,1
496,-6.4500002861022949,-2.5499997138977051,1
497,-6.1500000953674316,-2.5499997138977051,1
498,-5.8500003814697266,-2.5499997138977051,1
499,-5.5500001907348633,-2.5499997138977051,0
500,-5.2500004768371582,-2.5499997138977051,0
501,-4.9500002861022949,-2.5499997138977051,1
502,-4.6500000953674316,-2.5499997138977051,1
503,-4.3500003814697266,-2.5499997138977051,1
504,-4.0500001907348633,-2.5499997138977051,1
505,-3.7500002384185791,-2.5499997138977051,1
506,-3.4500002861022949,-2.5499997138977051,1
