environment_index,house,wind,source_index,source_id,model,source_units,target_count,mean_rank,top1,top3,MRR,posterior_NLL,MAP_spatial_error_m,MAP_tie_fraction
1,House02,"3,5-1_slow",2,pmfs_1_1,M2,1,4,1.75,0.25,1.0,0.625,2.4075348860597514,0.22499999999999987,0.0
1,House02,"3,5-1_slow",3,pmfs_2_1,M2,1,4,1.0,1.0,1.0,1.0,0.057628518041528354,0.0,0.0
1,House02,"3,5-1_slow",4,pmfs_2_38,M2,1,4,1.75,0.25,1.0,0.625,13.105428048530078,0.2249999999999992,0.0
1,House02,"3,5-1_slow",5,pmfs_2_37,M2,1,4,1.25,0.75,1.0,0.875,0.44271274786001147,0.07499999999999973,0.0
1,House02,"3,5-1_slow",0,pmfs_12_20,M3,1,4,1.0,1.0,1.0,1.0,8.928518322903756e-06,0.0,0.0
1,House02,"3,5-1_slow",1,pmfs_11_20,M3,1,4,1.0,1.0,1.0,1.0,0.027229445933366403,0.0,0.0
1,House02,"3,5-1_slow",2,pmfs_1_1,M3,1,4,1.75,0.25,1.0,0.625,2.318607344006395,0.22499999999999987,0.0
1,House02,"3,5-1_slow",3,pmfs_2_1,M3,1,4,1.0,1.0,1.0,1.0,0.08261330356779206,0.0,0.0
1,House02,"3,5-1_slow",4,pmfs_2_38,M3,1,4,1.75,0.25,1.0,0.625,14.834112765129607,0.2249999999999992,0.0
1,House02,"3,5-1_slow",5,pmfs_2_37,M3,1,4,1.0,1.0,1.0,1.0,0.16707554814626402,0.0,0.0
2,House02,"4,5-3_slow",0,pmfs_12_20,M0,1,4,1.25,0.75,1.0,0.875,1.119586690404149,0.07500000000000007,0.0
2,House02,"4,5-3_slow",1,pmfs_11_20,M0,1,4,1.75,0.25,1.0,0.625,3.0298244964008383,0.2250000000000002,0.0
2,House02,"4,5-3_slow",2,pmfs_1_1,M0,1,4,1.0,1.0,1.0,1.0,0.14334497741038543,0.0,0.0
2,House02,"4,5-3_slow",3,pmfs_2_1,M0,1,4,1.5,0.5,1.0,0.75,2.53648032219244,0.1499999999999999,0.0
2,House02,"4,5-3_slow",4,pmfs_2_38,M0,1,4,1.0,1.0,1.0,1.0,0.08551802450479551,0.0,0.0
2,House02,"4,5-3_slow",5,pmfs_2_37,M0,1,4,1.0,1.0,1.0,1.0,0.1151400054154359,0.0,0.0
2,House02,"4,5-3_slow",0,pmfs_12_20,M1,1,4,1.5,0.5,1.0,0.75,1.1557849870797738,0.15000000000000013,0.0
2,House02,"4,5-3_slow",1,pmfs_11_20,M1,1,4,1.75,0.25,1.0,0.625,4.851171359337636,0.2250000000000002,0.0
2,House02,"4,5-3_slow",2,pmfs_1_1,M1,1,4,1.5,0.5,1.0,0.75,1.6424358803837265,0.1499999999999999,0.0
2,House02,"4,5-3_slow",3,pmfs_2_1,M1,1,4,1.0,1.0,1.0,1.0,0.05705901256659196,0.0,0.0
2,House02,"4,5-3_slow",4,pmfs_2_38,M1,1,4,1.0,1.0,1.0,1.0,0.06968652764811112,0.0,0.0
2,House02,"4,5-3_slow",5,pmfs_2_37,M1,1,4,1.0,1.0,1.0,1.0,0.09727938120769553,0.0,0.0
2,House02,"4,5-3_slow",0,pmfs_12_20,M2,1,4,1.5,0.5,1.0,0.75,1.497322355768867,0.15000000000000013,0.0
2,House02,"4,5-3_slow",1,pmfs_11_20,M2,1,4,1.75,0.25,1.0,0.625,4.60449654413056,0.2250000000000002,0.0
2,House02,"4,5-3_slow",2,pmfs_1_1,M2,1,4,1.5,0.5,1.0,0.75,1.1916774727577337,0.1499999999999999,0.0
2,House02,"4,5-3_slow",3,pmfs_2_1,M2,1,4,1.0,1.0,1.0,1.0,0.0075487408280143775,0.0,0.0
2,House02,"4,5-3_slow",4,pmfs_2_38,M2,1,4,1.0,1.0,1.0,1.0,0.0266067529649614,0.0,0.0
2,House02,"4,5-3_slow",5,pmfs_2_37,M2,1,4,1.0,1.0,1.0,1.0,0.06280864364900618,0.0,0.0
2,House02,"4,5-3_slow",0,pmfs_12_20,M3,1,4,1.5,0.5,1.0,0.75,1.245623826983939,0.15000000000000013,0.0
2,House02,"4,5-3_slow",1,pmfs_11_20,M3,1,4,1.75,0.25,1.0,0.625,4.050981847159983,0.2250000000000002,0.0
2,House02,"4,5-3_slow",2,pmfs_1_1,M3,1,4,1.5,0.5,1.0,0.75,1.26303997630964,0.1499999999999999,0.0
2,House02,"4,5-3_slow",3,pmfs_2_1,M3,1,4,1.0,1.0,1.0,1.0,0.025617721384975756,0.0,0.0
2,House02,"4,5-3_slow",4,pmfs_2_38,M3,1,4,1.0,1.0,1.0,1.0,0.03961626955009967,0.0,0.0
2,House02,"4,5-3_slow",5,pmfs_2_37,M3,1,4,1.0,1.0,1.0,1.0,0.07132521374165046,0.0,0.0
