cell_index,x,y,wind_x,wind_y
128,10.100000381469727,-1.1130000352859497,0,0
129,10.399999618530273,-1.1130000352859497,0,0
130,10.699999809265137,-1.1130000352859497,0,0
131,11,-1.1130000352859497,-1.8191321942140348e-06,2.6883544705924578e-06
132,11.300000190734863,-1.1130000352859497,0,0
133,11.600000381469727,-1.1130000352859497,-1.0518915587454103e-06,1.5799273569427896e-06
150,2.9000000953674316,-0.81299996376037598,-0.0052926563657820225,0.0026828953996300697
155,4.4000000953674316,-0.81299996376037598,-0.00038975785719230771,0.00044204373261891305
156,4.7000002861022949,-0.81299996376037598,-0.00033679907210171223,0.00042701532947830856
157,5.0000004768371582,-0.81299996376037598,0,0
158,5.3000001907348633,-0.81299996376037598,0,0
159,5.6000003814697266,-0.81299996376037598,-0.00032571703195571899,0.00019836951105389744
160,5.9000005722045898,-0.81299996376037598,0,0
161,6.2000002861022949,-0.81299996376037598,0,0
162,6.5000004768371582,-0.81299996376037598,-0.0001835190923884511,7.5506221037358046e-05
163,6.8000001907348633,-0.81299996376037598,-0.00013406889047473669,6.2897561292629689e-05
164,7.1000003814697266,-0.81299996376037598,-0.00011371897562639788,6.0354046581778675e-05
165,7.4000000953674316,-0.81299996376037598,-9.8805263405665755e-05,6.1132377595640719e-05
166,7.7000002861022949,-0.81299996376037598,-7.764301699353382e-05,5.9957012126687914e-05
167,8,-0.81299996376037598,-7.4376504926476628e-05,5.8628640545066446e-05
168,8.3000001907348633,-0.81299996376037598,0,0
169,8.6000003814697266,-0.81299996376037598,0,0
170,8.8999996185302734,-0.81299996376037598,0,0
171,9.1999998092651367,-0.81299996376037598,0,0
172,9.5,-0.81299996376037598,-6.1001537687843665e-06,1.9487868030410027e-06
173,9.8000001907348633,-0.81299996376037598,-5.8941668612533249e-06,2.1041391846665647e-06
174,10.100000381469727,-0.81299996376037598,-6.5138328864122741e-06,2.1533364815695677e-06
175,10.399999618530273,-0.81299996376037598,-6.4462301452294923e-06,2.0562406461976934e-06
176,10.699999809265137,-0.81299996376037598,-6.527975983772194e-06,2.0853847217949806e-06
177,11,-0.81299996376037598,0,0
178,11.300000190734863,-0.81299996376037598,0,0
179,11.600000381469727,-0.81299996376037598,0,0
185,-0.40000000596046448,-0.5130000114440918,0,0
186,-0.10000002384185791,-0.5130000114440918,0,0
187,0.20000004768371582,-0.5130000114440918,0,0
188,0.5,-0.5130000114440918,0,0
189,0.80000007152557373,-0.5130000114440918,0,0
190,1.1000000238418579,-0.5130000114440918,0,0
191,1.3999999761581421,-0.5130000114440918,0,0
192,1.7000001668930054,-0.5130000114440918,0,0
193,2,-0.5130000114440918,-0.0075418693013489246,0.0031681989785283804
194,2.3000001907348633,-0.5130000114440918,-0.0070937061682343483,0.0028824522159993649
195,2.5999999046325684,-0.5130000114440918,-0.0066071744076907635,0.0026142850983887911
196,2.9000000953674316,-0.5130000114440918,-0.006010900717228651,0.0024412192869931459
201,4.4000000953674316,-0.5130000114440918,-0.00020840899378526956,0.00039283497608266771
202,4.7000002861022949,-0.5130000114440918,-0.00017022677639033645,0.00037756390520371497
