cell_index,grid_i,grid_j,x,y,occupancy,probability,logOdds,confidence,omega,distanceFromRobot,originalPropagationDirection_x,originalPropagationDirection_y
555,3,12,0.20000004768371582,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,1.187853889191389e-27,9.4787082672119141,0.44721359014511108,0.89442718029022217
556,4,12,0.5,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,9.8060753759595318e-24,9.0644950866699219,0.44721359014511108,0.89442718029022217
557,5,12,0.80000007152557373,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,1.187853889191389e-27,9.4787082672119141,0.44721359014511108,0.89442718029022217
558,6,12,1.1000000238418579,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,2.4581503519603518e-38,10.478708267211914,0.44721359014511108,0.89442718029022217
559,7,12,1.3999999761581421,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,9.3173686562442624e-51,11.478708267211914,0.44721359014511108,0.89442718029022217
560,8,12,1.7000001668930054,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
561,9,12,2,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
562,10,12,2.3000001907348633,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
563,11,12,2.5999999046325684,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,69.455848693847656,1,0
564,12,12,2.9000000953674316,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,68.455848693847656,1,0
565,13,12,3.2000002861022949,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
566,14,12,3.5000004768371582,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
567,15,12,3.8000001907348633,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
568,16,12,4.1000003814697266,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
569,17,12,4.4000000953674316,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
570,18,12,4.7000002861022949,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
571,19,12,5.0000004768371582,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
572,20,12,5.3000001907348633,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
573,21,12,5.6000003814697266,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
574,22,12,5.9000005722045898,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,59.041637420654297,1,0
575,23,12,6.2000002861022949,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,58.627422332763672,1,0
576,24,12,6.5000004768371582,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,58.213207244873047,1,0
577,25,12,6.8000001907348633,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,57.798992156982422,1,0
578,26,12,7.1000003814697266,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
579,27,12,7.4000000953674316,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
580,28,12,7.7000002861022949,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
581,29,12,8,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
582,30,12,8.3000001907348633,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
583,31,12,8.6000003814697266,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
584,32,12,8.8999996185302734,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,9.3173479830609793e-51,38.556346893310547,1,0
585,33,12,9.1999998092651367,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,2.114092778991297e-45,38.970561981201172,1,0
586,34,12,9.5,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
587,35,12,9.8000001907348633,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
588,36,12,10.100000381469727,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
589,37,12,10.399999618530273,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
590,38,12,10.699999809265137,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
591,39,12,11,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,5.8720951590103239e-310,50.627422332763672,1,0
592,40,12,11.300000190734863,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,51.041637420654297,1,0
593,41,12,11.600000381469727,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,52.041637420654297,1,0
594,42,12,11.90000057220459,1.8870002031326294,Free,0.099999685828489393,-2.1972280681356553,0,0,53.041637420654297,1,0
595,43,12,12.199999809265137,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
596,44,12,12.5,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
597,45,12,12.800000190734863,1.8870002031326294,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
598,0,13,-0.70000004768371582,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
599,1,13,-0.40000000596046448,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,2.0673229467685351e-56,11.892921447753906,0.44721359014511108,0.89442718029022217
600,2,13,-0.10000002384185791,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,2.8594616842978101e-43,10.892921447753906,0.44721359014511108,0.89442718029022217
601,3,13,0.20000004768371582,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,2.4581503519603518e-38,10.478708267211914,0.44721359014511108,0.89442718029022217
602,4,13,0.5,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,1.063854732364343e-33,10.064495086669922,0.44721359014511108,0.89442718029022217
603,5,13,0.80000007152557373,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,2.4581503519603518e-38,10.478708267211914,0.44721359014511108,0.89442718029022217
604,6,13,1.1000000238418579,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,2.8594616842978101e-43,10.892921447753906,0.44721359014511108,0.89442718029022217
605,7,13,1.3999999761581421,2.1870002746582031,Free,0.099999685828489393,-2.1972280681356553,0,2.0673229467685351e-56,11.892921447753906,0.44721359014511108,0.89442718029022217
606,8,13,1.7000001668930054,2.1870002746582031,Obstacle,0.10000000000000009,-2.1972245773362191,0,0,0,0,0
