split,pair_index,band,geometry_0,geometry_1,geometry_2,geometry_3,geometry_4,geometry_5,geometry_6,geometry_7,geometry_8,geometry_9,geometry_10,geometry_11,geometry_12,geometry_13,geometry_14,geometry_15,geometry_16,geometry_17,geometry_18,geometry_19,geometry_20,ordinary_CROSSBLOCK_COV_NORM,ordinary_INTERACTION_ENERGY,ordinary_RAW_MASS_DIFFERENCE,ordinary_BASE_SNR
A,10,3,0.6830488312434582,1.128456556596971,0.7248415657778198,0.5301093357828696,0.675858488100393,0.41372878004666014,0.14246558303728737,0.7605659255891535,1.24415942322392,0.7438679489781762,0.525281314710703,0.6714045137081068,1.2744218695068594,0.13437303989544921,0.14805936473374762,0.32145615946290707,0.03888814172630808,-0.008150302517059923,-0.008697860401298042,1.1197820157487723,-0.009251040133861039,1.523179992932343,1.7559141059252708,2.256021540355994,0.3843478402536777
B,10,3,0.7859702427386702,1.1324496695854627,0.7192949044531527,0.6378353704524948,0.6905348907171813,0.38700698903061087,0.22853126741670493,0.8338995501474435,1.2562190512062834,0.7265484418305247,0.6130704369480295,0.6888714761100538,1.2421578936212276,0.18398007978014766,0.10232548863918815,0.3427866052942603,0.014834958853581562,-0.04524974140913951,-0.0033099079196551723,1.0954444695213843,-0.053314145058209944,1.5441125423497342,2.102701816612079,4.040951491152076,0.44976745551863084
A,11,3,0.4353040178427487,1.0690464146399348,0.7256260388632542,0.03328586079984895,0.66104016812838,0.4561541708754454,0.014593330402968724,0.5581793073598093,1.1817167169266822,0.7398988838870435,0.12100100323519128,0.6539209186325692,1.3394244350069735,0.04009925545748766,0.18403270609043737,0.29815089156444174,0.02926699829759983,0.09055344042360407,-0.01364610530841692,1.1752190767564923,0.025876060864270266,1.4146085432359932,1.7191274272300705,2.5301639895469807,0.2508977047730363
B,11,3,0.5798615242521638,1.013902692684054,0.7323403902850039,0.6287445868579007,0.6870004520066659,0.41920999158161243,0.12458061245315735,0.659377722733155,1.1315711036601053,0.7417203230131129,0.6204303351208997,0.6853879729509611,1.283573495402577,0.12117185227275903,0.1378449816371409,0.29578916966330704,0.019411874677640224,-0.015407399322613112,-0.003197495758071678,1.127768299376549,-0.0038470292495852956,1.280181533474185,1.9353270731266576,3.410640625401817,0.3697711512770705
A,12,0,0.17778963807965156,0.6365557509146532,0.7907685351324334,0.6320337109988475,0.6870710245132501,0.46780611788053067,-0.02714627191823958,0.21995909983683773,0.7416224858404489,0.8028607366164812,0.6273981604037067,0.6841693887174971,1.3802643999284503,-0.026555181459244584,0.0501718425143603,0.19010678784575688,0.026472749755770103,-0.008663656465164845,-0.005743232540954589,1.217717379777392,0.0006069924157197281,0.4615721129326576,1.291030671170574,2.3496189797200917,0.197729131703924
B,12,0,0.053169697798795976,0.561872003009022,0.7769158778683687,0.3212440226976964,0.6911770973255922,0.4834986113122393,-0.06595261851367946,0.07135884232053076,0.6762592217005893,0.7812012034786752,0.31592303389711485,0.6913665441300816,1.4126451314670354,-0.06592733269070394,0.019172965065208596,0.1927295822024124,0.009296185454982696,-0.007290676251489455,0.00037811222011662924,1.2484869151515647,2.7009005652381895e-05,0.3625195163650604,1.219021292468736,1.2843882343336703,0.06992684305598038
A,13,0,0.31038952688056703,0.4652911149950813,0.7907170605274813,0.5849794917924536,0.6662240772045775,0.3741581373109623,0.2639381963208928,0.3776335203742113,0.5740850724283406,0.8010085700240378,0.5602587403794984,0.6665528725219338,1.19837565390097,0.2416227942824306,0.09063737538996747,0.16807692303722163,0.022553461069899368,-0.04289534323120637,0.0006400228458392294,1.0511576712884185,-0.028328843727229044,0.23596562923301248,1.1697021815760262,2.563570247414841,0.47889854846266333
B,13,0,0.11522110944898116,0.40053754738466973,0.9013692270292187,0.1223207300178564,0.4980336414019698,0.46298852630188375,-0.0295414131310522,0.1459492771908388,0.4929517432455893,0.9816776404157506,0.13651417368230453,0.3620532540524571,1.3726563465753976,-0.04256350843835962,0.03441685798238641,0.13498068397666454,0.18727329347598698,0.01602552123499865,-0.1899648153647697,1.2110486517640995,-0.013409918612229501,0.15101305656362138,1.241492420001904,2.028100065912838,0.2214610458224715
A,14,0,0.27295329209469943,0.23054912670599886,0.8721839672440987,0.46151491913658954,0.45048897509145014,0.22597932106169108,0.8662562021110567,0.3353877144243163,0.29118226907830996,0.9268001051906828,0.43288051693756374,0.369100084947343,0.836217288399298,0.8304865193361541,0.08125146780911525,0.07577247274409807,0.12600028506894612,-0.0438097290349605,-0.1156891793500369,0.7198239877617083,-0.080248864315298,0.04387270852064557,0.6094741891671199,3.2154203878111804,0.7931606706953308
B,14,0,0.19342757983508266,0.12294750656495974,0.7954813833222817,0.566885489254379,0.6675770563658908,0.1576253188803941,1.2767127512888148,0.2439076146653143,0.16156137978974489,0.7814997532874843,0.5808917574486281,0.6683952290224678,0.6405664255979568,1.226017795494288,0.060930374416042356,0.04355700921242646,-0.030297226732697094,0.024559454589781902,0.0015944151056590384,0.54628616239207,-0.16314170726051666,0.01252390412675846,0.6141893016338762,3.0369339138445284,0.9674390665494816
