split,pair_index,band,base_C,interaction_C,audit_base_logloss,audit_interaction_logloss,audit_delta_log,audit_delta_brier,audit_delta_accuracy,design_inner_cv_delta_log
B,24,0,10.0,10.0,0.5898659656863303,0.5789540046976648,0.010911960988665537,0.004365740689093428,0.0,-0.10886958971131411
A,25,0,100.0,100.0,0.24791267687741655,0.2170023507365904,0.030910326140826144,0.01118010768785857,0.0,-0.048132965821852
B,25,0,10.0,10.0,0.3271740370814309,0.29673392162551626,0.03044011545591463,0.009548243739228413,0.0,-0.019825854399974363
A,26,0,100.0,100.0,0.2684678683509709,0.2196634202984113,0.048804448052559624,0.01595510380528732,0.0625,0.02252262842242514
B,26,0,10.0,10.0,0.5415293396335673,0.49909864405860815,0.042430695574959154,0.019904852013292368,0.0,0.010746945505784256
A,27,1,100.0,100.0,0.6315500749010265,0.5731432931125262,0.05840678178850034,0.024970010562942624,0.0,-0.1830266596113046
B,27,1,10.0,10.0,0.6221145805529879,0.6155414118010389,0.00657316875194891,0.0033951418377794196,0.0,-0.0003973178773629682
A,28,1,100.0,100.0,0.5235421471455625,0.48211150353915766,0.041430643606404804,0.018408215618419294,0.0,0.011095521731507296
B,28,1,10.0,10.0,0.7066427307516705,0.7202769460575391,-0.013634215305868613,-0.005251048926558588,0.0,0.007702595755726405
A,29,1,100.0,100.0,0.01035405022924558,0.008126123766842939,0.0022279264624026403,0.00028355644231841965,0.0,0.0006605988588435658
B,29,1,10.0,10.0,0.008068522139190595,0.006929448731414408,0.001139073407776187,3.100211767108419e-05,0.0,0.003616850186015156
A,30,2,100.0,100.0,0.021133059444983483,0.01983686123322678,0.0012961982117567043,6.8962522848713e-05,0.0,0.053461844271025266
B,30,2,10.0,10.0,0.21161895847674322,0.17303740154801003,0.03858155692873319,0.010710264757831066,0.0,0.03961886216315841
A,31,2,100.0,100.0,0.050708551839192775,0.04323775183667777,0.007470800002515009,0.00311383513491169,0.0,0.0006676226243746072
B,31,2,10.0,10.0,0.08995334384414344,0.06533394981116947,0.024619394032973974,0.003922492492405984,0.0,0.01643475367072847
A,32,2,100.0,100.0,0.09684912344645492,0.08280439712066742,0.014044726325787502,-0.00036810595785651684,0.0,0.015285026575085042
B,32,2,10.0,10.0,0.30702554235140245,0.28443267480289547,0.02259286754850698,0.0039356743239022385,0.0,0.06853774255887912
A,33,3,100.0,100.0,0.08080059427545001,0.0648374641440983,0.015963130131351713,0.005624365925871656,0.0,-0.08796792060285658
B,33,3,10.0,10.0,0.3394491687991889,0.3324734982688574,0.00697567053033149,-5.147718100033394e-05,0.0,0.02299609014932652
A,34,3,100.0,100.0,0.3011369637928474,0.22997939790970423,0.07115756588314315,0.024363179971616133,0.0625,0.07487815359197059
B,34,3,10.0,10.0,0.6007412298034581,0.5605151842524569,0.04022604555100118,0.018542586785322807,0.125,-0.03817261797561622
A,35,3,100.0,100.0,0.6510908327324643,0.6205584566233824,0.030532376109081882,0.013556141418437168,0.0,-0.1706997691344827
B,35,3,10.0,10.0,0.5940900003130148,0.6329826675667428,-0.038892667253727975,-0.01991200709345084,-0.0625,-0.0885469547399359
A,36,0,100.0,100.0,0.5430116782168297,0.4720695849627095,0.07094209325412021,0.02930217040480909,0.0,0.0019291894254074293
B,36,0,10.0,10.0,0.6840496797565779,0.6566096767656735,0.027440002990904433,0.013367686562641867,0.0625,0.004402957280629338
A,37,0,100.0,100.0,0.4349564344823398,0.289814840790071,0.14514159369226876,0.04713093840513147,0.0625,0.03924548970056324
B,37,0,10.0,10.0,0.4783282743219911,0.4554972934815362,0.022830980840454873,0.004674530412463851,0.0625,0.05558225644584547
A,38,0,100.0,100.0,0.21081798912693947,0.17403941554647703,0.03677857358046244,0.010451818650423016,0.0,0.005306706664867433
B,38,0,10.0,10.0,0.47843242070707614,0.43576579030357987,0.042666630403496275,0.018733491089428955,0.0,0.0069792766380505356
A,39,1,100.0,100.0,0.699468200832435,0.6871553776756749,0.012312823156760078,0.006100122785728468,0.0,-0.13821806688920324
B,39,1,10.0,10.0,0.7359484522398704,0.7502034120302935,-0.014254959790423127,-0.0035058838639951406,0.0,0.002952861944909846
A,40,1,100.0,100.0,0.6447331312544274,0.5116838114704702,0.1330493197839573,0.061084686220615025,0.1875,0.07558967295160324
B,40,1,10.0,10.0,0.6826591458004108,0.6584817354317709,0.02417741036863985,0.011776595239194665,-0.0625,0.018846274605470836
A,41,1,100.0,100.0,0.010529144092998976,0.009114258166541572,0.0014148859264574033,0.00011563909080135006,0.0,0.002036247964855773
B,41,1,10.0,10.0,0.006080358496134601,0.004448495306304262,0.0016318631898303397,2.9067887689898996e-05,0.0,0.005489661817409841
A,42,2,100.0,100.0,0.13223908448752464,0.10968676925971947,0.022552315227805167,0.00973059248386559,0.0,0.010885776935265358
B,42,2,10.0,10.0,0.13296018952960004,0.09676824812091009,0.03619194140868995,0.0077301861773385605,0.0,0.07917756561452371
A,43,2,100.0,100.0,0.17949617872954893,0.17132298908569843,0.008173189643850498,0.00024506509925110304,0.0,0.02778499348459325
B,43,2,10.0,10.0,0.17374014359072643,0.09962374271482799,0.07411640087589844,0.023740487612051542,0.0,0.02595393369063692
