depth,fold,subpanel,reference_replicates_zero_based,target_replicates_zero_based,mean_delta_nll,full_mean_nll,shuffled_target_median_mean_nll,positive
8,1,2,"0,3,4,7,8,11,12,15","1,5,9,13",1.1115801077207519,0.8916644533134073,2.003244561034159,1
10,1,0,"0,2,3,4,6,7,8,10,12,14","1,5,9,13",1.5562898699732666,2.0272486792784017,3.5835385492516685,1
10,1,1,"0,2,3,4,6,7,10,11,14,15","1,5,9,13",0.7661574832977137,0.6237850362714696,1.3899425195691832,1
10,1,2,"0,2,3,4,6,7,8,11,12,15","1,5,9,13",0.9425462019501369,0.7491403067178812,1.6916865086680182,1
12,1,0,"0,2,3,4,6,7,8,10,11,12,14,15","1,5,9,13",0.8719216042815646,0.5813946363583182,1.453316240639883,1
3,2,0,"0,4,8","2,6,10,14",4.68890229506751,16.351618373100084,21.04052066816759,1
3,2,1,"1,5,9","2,6,10,14",25.267813428311438,62.993515708205194,88.26132913651664,1
3,2,2,"3,7,11","2,6,10,14",1.4501167163765534,35.56645128157606,37.016567997952606,1
4,2,0,"0,4,8,12","2,6,10,14",3.044719631210693,8.070044828943615,11.114764460154307,1
4,2,1,"1,5,9,13","2,6,10,14",15.09741548861691,31.150044757661632,46.24746024627855,1
4,2,2,"3,7,11,15","2,6,10,14",2.2769788386324916,5.078570231922039,7.355549070554529,1
6,2,0,"0,1,4,5,8,12","2,6,10,14",2.0176184437698255,7.493457074069012,9.511075517838838,1
6,2,1,"1,3,5,7,9,13","2,6,10,14",6.148774644663096,8.47875111045859,14.627525755121686,1
6,2,2,"0,3,4,7,11,15","2,6,10,14",2.2668060560768915,2.28850195547865,4.555308011555541,1
8,2,0,"0,1,4,5,8,9,12,13","2,6,10,14",2.9346469179343724,7.831478740464181,10.766125658398556,1
8,2,1,"1,3,5,7,9,11,13,15","2,6,10,14",2.4126922223670584,2.0710657064501774,4.483757928817236,1
8,2,2,"0,3,4,7,8,11,12,15","2,6,10,14",1.8467956390087208,3.1227034608257163,4.969499099834437,1
10,2,0,"0,1,3,4,5,7,8,9,12,13","2,6,10,14",1.8345048303542515,8.358796689228631,10.193301519582882,1
10,2,1,"0,1,3,4,5,7,9,11,13,15","2,6,10,14",2.5387919091903557,1.9671581119144994,4.505950021104855,1
10,2,2,"0,1,3,4,5,7,8,11,12,15","2,6,10,14",2.3175033061505808,2.4071442783688095,4.72464758451939,1
12,2,0,"0,1,3,4,5,7,8,9,11,12,13,15","2,6,10,14",2.5512503971985003,2.567362200798657,5.118612597997156,1
3,3,0,"0,4,8","3,7,11,15",0.12763605378934426,12.888147886287884,13.015783940077227,1
3,3,1,"1,5,9","3,7,11,15",8.140353270841864,27.370840279847005,35.51119355068887,1
3,3,2,"2,6,10","3,7,11,15",4.879488384794573,30.65778151855261,35.53726990334719,1
4,3,0,"0,4,8,12","3,7,11,15",1.8840210101388228,6.570645337277785,8.454666347416609,1
4,3,1,"1,5,9,13","3,7,11,15",4.465899647685347,12.71470971794901,17.180609365634357,1
4,3,2,"2,6,10,14","3,7,11,15",2.8217411371058856,6.402640968374062,9.224382105479947,1
6,3,0,"0,1,4,5,8,12","3,7,11,15",1.046107529632048,2.514179363044422,3.5602868926764697,1
6,3,1,"1,2,5,6,9,13","3,7,11,15",0.7174144932268276,1.8458773223855687,2.5632918156123967,1
6,3,2,"0,2,4,6,10,14","3,7,11,15",3.9090432657637404,6.7682229903300515,10.677266256093793,1
