source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_7_11,7,11,-3.14273,-4.0008799999999995,1.9449163554765576,2.0833688370534169,1.9807833391071943,1.9633629926431437
pmfs_16_12,16,12,-0.44273000000000007,-3.7008799999999997,2.0118491202789208,2.1477393960043463,1.8369879412106731,2.2168654319717125
pmfs_1_11,1,11,-4.94273,-4.0008799999999995,2.0252480493089533,2.0863779541044281,1.9449792597490327,2.1271080061913095
pmfs_6_14,6,14,-3.44273,-3.100879999999999,2.0377876397558334,1.8529926812841326,2.2135430890764369,1.8837351456512843
pmfs_20_35,20,35,0.7572700000000001,3.1991200000000006,2.0531835376417402,2.5066959245288642,2.3124079461710036,1.8645196020097068
pmfs_20_13,20,13,0.7572700000000001,-3.4008799999999995,2.0544508314071379,2.311685857968611,2.4323170892009518,1.7419836275718859
pmfs_9_13,9,13,-2.54273,-3.4008799999999995,2.0812900795050915,1.9787825869832498,2.4033663468187805,1.8213412580700754
pmfs_7_25,7,25,-3.14273,0.19912000000000063,2.129579738467227,1.9177171986298474,2.1834146706856998,2.0889560054358056
pmfs_7_26,7,26,-3.14273,0.49912000000000045,2.1334279358244546,1.9185720725562616,2.1523310613111915,2.1251681866430143
pmfs_6_15,6,15,-3.44273,-2.8008799999999994,2.1426936448786269,1.9319332303443644,2.362272011165016,1.9516405881035803
pmfs_24_16,24,16,1.9572699999999994,-2.5008799999999995,2.1466207720730233,2.436890909568552,2.4412561802707655,1.8948911497047702
pmfs_20_14,20,14,0.7572700000000001,-3.100879999999999,2.1490352203914069,2.4352710329410114,2.4267216720135907,1.9085178978106463
pmfs_22_15,22,15,1.3572699999999998,-2.8008799999999994,2.1606976795770385,2.4480280712593121,2.4432233635351812,1.9155534124408578
pmfs_9_11,9,11,-2.54273,-4.0008799999999995,2.1725574037908606,2.4908675765836188,2.3209169701600407,2.0803575760323212
pmfs_7_12,7,12,-3.14273,-3.7008799999999997,2.1829114934293927,1.9865310556925777,2.3998773405621265,2.0074307508082772
pmfs_9_15,9,15,-2.54273,-2.8008799999999994,2.1871506224391468,1.8634930358750019,2.2388109187681322,2.1376955546015015
pmfs_8_11,8,11,-2.84273,-4.0008799999999995,2.1969296274256611,2.3901029356988626,2.3827633291370467,2.0762292572899934
