candidate_id,permutation,Elog,Ebrier
quadtree_14_31_1_1,107,-3.5078302452142474,-0.9471779109907035
quadtree_14_31_1_1,108,-4.8703390986583885,-1.1197715999555478
quadtree_14_31_1_1,109,-3.0403189386077663,-0.8296666624021417
quadtree_14_31_1_1,110,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,111,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,112,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,113,-4.8703390986583885,-1.1197715999555478
quadtree_14_31_1_1,114,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,115,-2.6819478094297113,-0.7121554138135796
quadtree_14_31_1_1,116,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,117,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,118,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,119,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,120,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,121,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,122,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,123,-4.870339098658389,-1.1197715999555473
quadtree_14_31_1_1,124,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,125,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,126,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,127,-4.8703390986583885,-1.1197715999555478
quadtree_14_31_1_1,128,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,129,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,130,-3.040318938607766,-0.8296666624021416
quadtree_14_31_1_1,131,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,132,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,133,-4.001109149943193,-1.0334747554731256
quadtree_14_31_1_1,134,-3.507830245214248,-0.9471779109907035
quadtree_14_31_1_1,135,-2.681947809429711,-0.7121554138135796
quadtree_14_31_1_1,136,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,137,-4.001109149943194,-1.0334747554731256
quadtree_14_31_1_1,138,-4.8703390986583885,-1.1197715999555475
quadtree_14_31_1_1,139,-2.681947809429711,-0.7121554138135795
quadtree_14_31_1_1,140,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,141,-3.507830245214248,-0.9471779109907036
quadtree_14_31_1_1,142,-3.507830245214248,-0.9471779109907035
quadtree_14_31_1_1,143,-3.5078302452142474,-0.9471779109907035
quadtree_14_31_1_1,144,-4.001109149943193,-1.0334747554731254
quadtree_14_31_1_1,145,-3.0403189386077663,-0.8296666624021416
