cell_index,x,y,source_probability
84,-4.3427300453186035,-6.4008798599243164,2.9651255960505913e-166
85,-4.0427303314208984,-6.4008798599243164,2.9651255960505913e-166
86,-3.7427301406860352,-6.4008798599243164,2.9651255960505913e-166
87,-3.442730188369751,-6.4008798599243164,2.9651255960505913e-166
88,-3.1427302360534668,-6.4008798599243164,2.9651255960505913e-166
89,-2.8427300453186035,-6.4008798599243164,2.9651255960505913e-166
90,-2.5427300930023193,-6.4008798599243164,2.9651255960505913e-166
91,-2.2427301406860352,-6.4008798599243164,2.9651255960505913e-166
92,-1.942730188369751,-6.4008798599243164,2.9651255960505913e-166
93,-1.6427299976348877,-6.4008798599243164,2.9651255960505913e-166
94,-1.3427300453186035,-6.4008798599243164,2.9651255960505913e-166
95,-1.0427298545837402,-6.4008798599243164,2.9651255960505913e-166
109,-4.9427304267883301,-6.1008801460266113,2.9651255960505913e-166
110,-4.6427302360534668,-6.1008801460266113,2.9651255960505913e-166
111,-4.3427300453186035,-6.1008801460266113,2.9651255960505913e-166
112,-4.0427303314208984,-6.1008801460266113,2.9651255960505913e-166
113,-3.7427301406860352,-6.1008801460266113,2.9651255960505913e-166
114,-3.442730188369751,-6.1008801460266113,2.9651255960505913e-166
115,-3.1427302360534668,-6.1008801460266113,2.9651255960505913e-166
116,-2.8427300453186035,-6.1008801460266113,2.9651255960505913e-166
117,-2.5427300930023193,-6.1008801460266113,2.9651255960505913e-166
118,-2.2427301406860352,-6.1008801460266113,2.9651255960505913e-166
119,-1.942730188369751,-6.1008801460266113,2.9651255960505913e-166
120,-1.6427299976348877,-6.1008801460266113,2.9651255960505913e-166
121,-1.3427300453186035,-6.1008801460266113,2.9651255960505913e-166
122,-1.0427298545837402,-6.1008801460266113,2.9651255960505913e-166
136,-4.9427304267883301,-5.800879955291748,2.9651255960505913e-166
137,-4.6427302360534668,-5.800879955291748,2.9651255960505913e-166
138,-4.3427300453186035,-5.800879955291748,2.9651255960505913e-166
139,-4.0427303314208984,-5.800879955291748,2.9651255960505913e-166
140,-3.7427301406860352,-5.800879955291748,2.9651255960505913e-166
141,-3.442730188369751,-5.800879955291748,2.9651255960505913e-166
142,-3.1427302360534668,-5.800879955291748,2.9651255960505913e-166
143,-2.8427300453186035,-5.800879955291748,2.9651255960505913e-166
144,-2.5427300930023193,-5.800879955291748,2.9651255960505913e-166
145,-2.2427301406860352,-5.800879955291748,2.9651255960505913e-166
146,-1.942730188369751,-5.800879955291748,7.8838501967919962e-147
147,-1.6427299976348877,-5.800879955291748,7.8838501967919962e-147
148,-1.3427300453186035,-5.800879955291748,7.8838501967919962e-147
149,-1.0427298545837402,-5.800879955291748,7.8838501967919962e-147
163,-4.9427304267883301,-5.500880241394043,2.9651255960505913e-166
164,-4.6427302360534668,-5.500880241394043,2.9651255960505913e-166
165,-4.3427300453186035,-5.500880241394043,2.9651255960505913e-166
166,-4.0427303314208984,-5.500880241394043,2.9651255960505913e-166
167,-3.7427301406860352,-5.500880241394043,2.9651255960505913e-166
168,-3.442730188369751,-5.500880241394043,2.9651255960505913e-166
169,-3.1427302360534668,-5.500880241394043,2.9651255960505913e-166
170,-2.8427300453186035,-5.500880241394043,2.9651255960505913e-166
171,-2.5427300930023193,-5.500880241394043,2.9651255960505913e-166
172,-2.2427301406860352,-5.500880241394043,2.9651255960505913e-166
173,-1.942730188369751,-5.500880241394043,7.8838501967919962e-147
