source_index,source_id,x_m,y_m,mean_delta_bp,mean_delta_mbd,positive_bp,positive_mbd,full_mean_nll,bp_mean_nll,mbd_mean_nll,full_top1,bp_top1
23,pmfs_4_14,-4.04273,-3.100879999999999,0.32040869960285406,0.625025763053963,1,1,2.3794905104315793,2.6998992100344332,3.004516273485542,0.25,0.4375
24,pmfs_4_15,-4.04273,-2.80088,4.808661498247018,1.5811383052916324,1,1,10.34407436203075,15.152735860277769,11.92521266732238,0.0,0.0
25,pmfs_4_16,-4.04273,-2.5008799999999995,-0.3626706261299573,2.3016663326986717,0,1,9.949681369360755,9.587010743230797,12.251347702059427,0.0,0.0625
26,pmfs_4_17,-4.04273,-2.20088,1104.4861480962663,4.897186022731864,1,1,26.795120177374134,1131.2812682736405,31.692306200106,0.0,0.0
27,pmfs_4_18,-4.04273,-1.90088,0.49558875442619577,1.989967606412503,1,1,5.799360907804877,6.2949496622310726,7.789328514217379,0.0,0.0625
28,pmfs_5_12,-3.74273,-3.70088,2.5574460486194637,4.364564009388906,1,1,8.122583533142963,10.680029581762426,12.487147542531869,0.4375,0.25
29,pmfs_5_13,-3.74273,-3.4008799999999995,-5.961629669398786,5.352419276636081,0,1,20.26951579666524,14.307886127266453,25.621935073301316,0.1875,0.125
30,pmfs_5_14,-3.74273,-3.100879999999999,0.4441777800619773,2.2831160404501594,1,1,4.979307907260951,5.423485687322928,7.26242394771111,0.0625,0.0
31,pmfs_5_15,-3.74273,-2.80088,-0.7524399064504951,0.17118048404242658,0,1,3.565138682148147,2.812698775697651,3.7363191661905732,0.0625,0.1875
32,pmfs_5_16,-3.74273,-2.5008799999999995,2.7734392036827202,2.8820643912651196,1,1,3.705117284190926,6.478556487873647,6.587181675456046,0.0625,0.0
33,pmfs_5_17,-3.74273,-2.20088,1.0862281210131826,3.0715466445275403,1,1,6.757527098898054,7.843755219911236,9.829073743425592,0.0625,0.0625
34,pmfs_5_18,-3.74273,-1.90088,25.7978128796199,1.7708805969946417,1,1,6.786209128720507,32.584022008340405,8.557089725715148,0.125,0.0625
35,pmfs_6_12,-3.44273,-3.70088,0.1344490084475265,1.0627025707363744,1,1,4.246793949255163,4.381242957702689,5.309496519991538,0.4375,0.5
36,pmfs_6_13,-3.44273,-3.4008799999999995,1.960550084037667,0.7985782903008584,1,1,0.24446088548249345,2.2050109695201607,1.0430391757833517,0.875,0.5625
