model,source_index,source_id,realization_index,fold,truth_nll,truth_rank,top1,top3,top5,brier,posterior_mass_0p5m,posterior_mass_1p0m,posterior_expected_distance_m,map_distance_error_m,map_source_id,nearest_neighbor_confusion,truth_vs_nearest_logodds
DIAG_COV,24,pmfs_4_15,12,0,11.717219624952767,9,0,0,0,1.8938424435777605,0.04618475524992276,0.9921532935328435,0.8288123383241974,0.8485281374238566,pmfs_6_13,0,0.6100622296325948
DIAG_COV,24,pmfs_4_15,13,1,51.59140395932285,71,0,0,0,1.145715512299045,0.00012152519731350711,0.41141303766720294,1.0294451923832302,1.2727922061357857,pmfs_1_18,0,16.00013395705905
DIAG_COV,24,pmfs_4_15,14,2,5.674454167387468,8,0,0,0,1.4798047736178308,0.1884059300178128,0.9599358925925435,0.6355615996618583,0.6708203932499366,pmfs_5_13,0,-1.879469908430556
DIAG_COV,24,pmfs_4_15,15,3,8.145820554970008,7,0,0,0,1.6165148199091037,0.15108480183121756,0.932783701701357,0.7928637664924304,0.8485281374238566,pmfs_6_13,0,2.1276739152554534
DIAG_COV,25,pmfs_4_16,0,0,10.377547641903968,14,0,0,0,1.6547094109777052,0.15275454877403452,0.9545745280798119,0.656939822618058,0.6708203932499366,pmfs_5_14,0,3.7870872396604778
DIAG_COV,25,pmfs_4_16,1,1,9.281962502697123,30,0,0,0,1.5151470918159147,0.02931215475000489,0.9366178609587933,0.8546539147525936,0.8485281374238571,pmfs_2_18,0,-0.1800128298489696
DIAG_COV,25,pmfs_4_16,2,2,5.9492364304699015,16,0,0,0,1.2180887895615342,0.30436220530294145,0.7943808811174703,0.7242642902839753,0.5999999999999996,pmfs_4_14,0,4.991578513503804
DIAG_COV,25,pmfs_4_16,3,3,7.844479954776624,18,0,0,0,1.255658797346706,0.06168133831227441,0.9450848993268496,0.7432057702311383,0.5999999999999996,pmfs_4_14,0,-2.606291652449995
DIAG_COV,25,pmfs_4_16,4,0,6.022494799634595,15,0,0,0,1.2100717709061468,0.1920922542411207,0.5812016548277685,0.9496621048789462,1.4999999999999998,pmfs_8_13,0,4.150283910066252
DIAG_COV,25,pmfs_4_16,5,1,65.72763543441071,76,0,0,0,1.249461694104691,0.0006884254552073961,0.43138846650859125,1.0205080026147006,1.0816653826391969,pmfs_1_18,0,-58.21905054557037
DIAG_COV,25,pmfs_4_16,6,2,8.373591183719569,21,0,0,0,1.3287899331652693,0.0006507576674799504,0.6443105326206995,0.9708688325657271,0.8999999999999999,pmfs_4_13,0,3.252214937575232
DIAG_COV,25,pmfs_4_16,7,3,7.019931738947131,21,0,0,0,1.1788229095763234,0.04902723617917033,0.24096530394129553,1.3940651310640102,1.7492855684535897,pmfs_9_13,0,-3.0160291085741644
