source_index,source_id,nearest_index,nearest_id,distance_m
88,pmfs_13_16,89,pmfs_13_17,0.2999999999999994
89,pmfs_13_17,88,pmfs_13_16,0.2999999999999994
90,pmfs_13_18,83,pmfs_12_18,0.30000000000000027
91,pmfs_14_12,98,pmfs_15_12,0.2999999999999996
92,pmfs_14_13,99,pmfs_15_13,0.2999999999999996
93,pmfs_14_14,94,pmfs_14_15,0.2999999999999994
94,pmfs_14_15,93,pmfs_14_14,0.2999999999999994
95,pmfs_14_16,96,pmfs_14_17,0.2999999999999994
96,pmfs_14_17,95,pmfs_14_16,0.2999999999999994
97,pmfs_14_18,104,pmfs_15_18,0.2999999999999996
98,pmfs_15_12,91,pmfs_14_12,0.2999999999999996
99,pmfs_15_13,92,pmfs_14_13,0.2999999999999996
100,pmfs_15_14,101,pmfs_15_15,0.2999999999999994
101,pmfs_15_15,100,pmfs_15_14,0.2999999999999994
102,pmfs_15_16,103,pmfs_15_17,0.2999999999999994
103,pmfs_15_17,102,pmfs_15_16,0.2999999999999994
104,pmfs_15_18,97,pmfs_14_18,0.2999999999999996
105,pmfs_16_12,112,pmfs_17_12,0.2999999999999998
106,pmfs_16_13,113,pmfs_17_13,0.2999999999999998
107,pmfs_16_14,108,pmfs_16_15,0.2999999999999994
108,pmfs_16_15,107,pmfs_16_14,0.2999999999999994
109,pmfs_16_16,110,pmfs_16_17,0.2999999999999994
110,pmfs_16_17,109,pmfs_16_16,0.2999999999999994
111,pmfs_16_18,118,pmfs_17_18,0.2999999999999998
112,pmfs_17_12,119,pmfs_18_12,0.2999999999999997
113,pmfs_17_13,120,pmfs_18_13,0.2999999999999997
114,pmfs_17_14,115,pmfs_17_15,0.2999999999999994
115,pmfs_17_15,114,pmfs_17_14,0.2999999999999994
116,pmfs_17_16,117,pmfs_17_17,0.2999999999999994
117,pmfs_17_17,116,pmfs_17_16,0.2999999999999994
118,pmfs_17_18,125,pmfs_18_18,0.2999999999999997
119,pmfs_18_12,112,pmfs_17_12,0.2999999999999997
120,pmfs_18_13,113,pmfs_17_13,0.2999999999999997
121,pmfs_18_14,122,pmfs_18_15,0.2999999999999994
122,pmfs_18_15,121,pmfs_18_14,0.2999999999999994
123,pmfs_18_16,124,pmfs_18_17,0.2999999999999994
124,pmfs_18_17,123,pmfs_18_16,0.2999999999999994
125,pmfs_18_18,118,pmfs_17_18,0.2999999999999997
126,pmfs_19_12,133,pmfs_20_12,0.2999999999999998
127,pmfs_19_13,134,pmfs_20_13,0.2999999999999998
128,pmfs_19_14,129,pmfs_19_15,0.2999999999999994
129,pmfs_19_15,128,pmfs_19_14,0.2999999999999994
130,pmfs_19_16,131,pmfs_19_17,0.2999999999999994
131,pmfs_19_17,130,pmfs_19_16,0.2999999999999994
132,pmfs_19_18,139,pmfs_20_18,0.2999999999999998
133,pmfs_20_12,126,pmfs_19_12,0.2999999999999998
134,pmfs_20_13,127,pmfs_19_13,0.2999999999999998
135,pmfs_20_14,136,pmfs_20_15,0.2999999999999994
136,pmfs_20_15,135,pmfs_20_14,0.2999999999999994
137,pmfs_20_16,138,pmfs_20_17,0.2999999999999994
138,pmfs_20_17,137,pmfs_20_16,0.2999999999999994
139,pmfs_20_18,132,pmfs_19_18,0.2999999999999998
140,pmfs_21_12,133,pmfs_20_12,0.2999999999999998
141,pmfs_21_13,134,pmfs_20_13,0.2999999999999998
142,pmfs_21_14,143,pmfs_21_15,0.2999999999999994
143,pmfs_21_15,142,pmfs_21_14,0.2999999999999994
144,pmfs_21_16,145,pmfs_21_17,0.2999999999999994
145,pmfs_21_17,144,pmfs_21_16,0.2999999999999994
146,pmfs_21_18,139,pmfs_20_18,0.2999999999999998
147,pmfs_22_12,140,pmfs_21_12,0.2999999999999998
148,pmfs_22_13,141,pmfs_21_13,0.2999999999999998
149,pmfs_22_14,150,pmfs_22_15,0.2999999999999994
150,pmfs_22_15,149,pmfs_22_14,0.2999999999999994
151,pmfs_22_16,152,pmfs_22_17,0.2999999999999994
152,pmfs_22_17,151,pmfs_22_16,0.2999999999999994
153,pmfs_22_18,146,pmfs_21_18,0.2999999999999998
154,pmfs_23_12,147,pmfs_22_12,0.2999999999999998
155,pmfs_23_13,148,pmfs_22_13,0.2999999999999998
156,pmfs_23_14,157,pmfs_23_15,0.2999999999999994
157,pmfs_23_15,156,pmfs_23_14,0.2999999999999994
158,pmfs_23_16,159,pmfs_23_17,0.2999999999999994
159,pmfs_23_17,158,pmfs_23_16,0.2999999999999994
160,pmfs_23_18,153,pmfs_22_18,0.2999999999999998
161,pmfs_24_12,154,pmfs_23_12,0.30000000000000004
162,pmfs_24_13,155,pmfs_23_13,0.30000000000000004
163,pmfs_24_14,164,pmfs_24_15,0.2999999999999994
164,pmfs_24_15,163,pmfs_24_14,0.2999999999999994
165,pmfs_24_16,166,pmfs_24_17,0.2999999999999994
166,pmfs_24_17,165,pmfs_24_16,0.2999999999999994
167,pmfs_24_18,160,pmfs_23_18,0.30000000000000004
