environment_index,source_index,target_index,candidate_index,candidate_id,occurrence_ll,conditional_mark_ll,upper_mark_ll,marked_ll,upper_ll,edf_squared_discrepancy,scaled_value_SSE,B2_positive_scale
0,2,0,3,pmfs_26_36,-103.70893896394045,-19.533249308945777,-31.828049611052354,-123.24218827288624,-135.53698857499282,61.302699999999994,37677.41966986029,2.4363178005163233
0,2,0,4,pmfs_27_1,-802.24750086351594,-61.283415629939924,-61.283415629939924,-863.53091649345583,-863.53091649345583,35.38625555555555,2697300.1610469804,5.7158247098391775e-08
0,2,0,5,pmfs_27_2,-802.84396432838298,-61.283415629939924,-61.283415629939924,-864.12737995832288,-864.12737995832288,35.38625555555555,2697300.1610469799,7.1300234517375544e-08
0,2,1,0,pmfs_13_18,-434.14710574932758,-56.282830611240151,-56.282830611240151,-490.42993636056775,-490.42993636056775,67.785044444444438,2694260.2318022987,2.9094897756089215e-05
0,2,1,1,pmfs_13_19,-434.682756444978,-56.282830611240151,-56.282830611240151,-490.96558705621817,-490.96558705621817,67.70526666666666,2694260.2317918148,4.2330325081906289e-05
0,2,1,2,pmfs_27_36,-100.58029706643323,-17.224789427855139,-4.9262269535778058,-117.80508649428837,-105.50652402001104,62.752377777777781,28547.439496298255,2.0452924083143915
0,2,1,3,pmfs_26_36,-100.02726058140556,-16.789439937035528,-27.837784838200761,-116.81670051844108,-127.86504541960632,62.741488888888895,36227.095327344301,2.4355896217713915
0,2,1,4,pmfs_27_1,-788.22351961941467,-56.282830611240151,-56.282830611240151,-844.50635023065479,-844.50635023065479,36.28993333333333,2694260.231828595,1.3388872174286058e-11
0,2,1,5,pmfs_27_2,-788.84622948449544,-56.282830611240151,-56.282830611240151,-845.12906009573555,-845.12906009573555,36.28993333333333,2694260.231828595,1.6461553576813144e-11
0,2,2,0,pmfs_13_18,-457.53721757354663,-94.678038739753063,-94.678038739753063,-552.21525631329973,-552.21525631329973,52.884100000000011,2336156.4050545227,0.00024053425974505122
0,2,2,1,pmfs_13_19,-464.72351704421447,-94.678038739753063,-94.678038739753063,-559.40155578396752,-559.40155578396752,52.652988888888899,2336156.4043549239,0.00034877447618183218
0,2,2,2,pmfs_27_36,-99.418428715656432,-37.009420480632258,11.29531570389843,-136.42784919628869,-88.123113011758008,43.770766666666674,15929.875314814226,1.9081561991518339
0,2,2,3,pmfs_26_36,-99.091609223568796,-36.640752630236975,-25.59523135364725,-135.73236185380577,-124.68684057721605,43.701433333333341,21973.577718466935,2.2725986945049903
0,2,2,4,pmfs_27_1,-914.89740296974617,-94.678038739753063,-94.678038739753063,-1009.5754417094993,-1009.5754417094993,25.583433333333339,2336156.4067410203,1.6901097136728778e-05
0,2,2,5,pmfs_27_2,-914.39674471071294,-94.678038739753063,-94.678038739753063,-1009.074783450466,-1009.074783450466,25.583433333333339,2336156.4067095956,2.1233175506325383e-05
0,2,3,0,pmfs_13_18,-467.64209484697591,-108.93046553437109,-108.93046553437109,-576.57256038134699,-576.57256038134699,49.174377777777785,2181908.2982209679,0.00041048664954710653
0,2,3,1,pmfs_13_19,-475.06088266963661,-108.93046553437109,-108.93046553437109,-583.99134820400775,-583.99134820400775,48.868377777777781,2181908.296306463,0.00059015097481386765
0,2,3,2,pmfs_27_36,-110.66068762370294,-51.307746154996039,6.5124231140007129,-161.96843377869897,-104.14826450970223,38.710600000000014,12565.237673327796,1.8450699991275683
0,2,3,3,pmfs_26_36,-110.04751234270697,-50.959222246807627,-25.107320765969416,-161.00673458951459,-135.15483310867637,38.634377777777786,17921.873129479663,2.1976128506993957
0,2,3,4,pmfs_27_1,-917.27502926981094,-108.93046553437109,-108.93046553437109,-1026.2054948041821,-1026.2054948041821,23.327933333333334,2181908.3031180892,2.9486347711192482e-05
0,2,3,5,pmfs_27_2,-916.58380443410408,-108.93046553437109,-108.93046553437109,-1025.5142699684752,-1025.5142699684752,23.327933333333334,2181908.3030218408,3.706990874538891e-05
0,3,0,0,pmfs_13_18,-513.35701398212086,-124.89095263691866,-124.89095263691866,-638.24796661903952,-638.24796661903952,41.486866666666671,21446.444088477365,0.0021298188927958645
0,3,0,1,pmfs_13_19,-523.40850594138783,-124.89095263691866,-124.89095263691866,-648.29945857830648,-648.29945857830648,40.778866666666673,21446.399371436986,0.0030072428861970067
0,3,0,2,pmfs_27_36,-119.79615545535995,-89.58778894126317,-92.422443968706332,-209.38394439662312,-212.21859942406627,25.976422222222226,3100.3506327846967,0.16967669521868214
0,3,0,3,pmfs_26_36,-119.53064067218492,-88.980671846315758,-70.061027651074653,-208.51131251850069,-189.59166832325957,25.789755555555558,2881.312057980349,0.20355163196140069
0,3,0,4,pmfs_27_1,-1025.6348545342298,-124.89095263691866,-124.89095263691866,-1150.5258071711485,-1150.5258071711485,19.121088888888888,21446.577593447582,0.00013819262601727668
0,3,0,5,pmfs_27_2,-1023.4333559062661,-124.89095263691866,-124.89095263691866,-1148.3243085431848,-1148.3243085431848,19.121088888888888,21446.575474972014,0.00017377424233813992
0,3,1,0,pmfs_13_18,-462.25508971684917,-107.5262522203443,-107.5262522203443,-569.78134193719347,-569.78134193719347,46.126877777777779,72646.459627853794,0.00086855405753262895
0,3,1,1,pmfs_13_19,-471.81087476583684,-107.5262522203443,-107.5262522203443,-579.33712698618115,-579.33712698618115,45.733544444444448,72646.450893722504,0.001251878503208151
0,3,1,2,pmfs_27_36,-100.13870487486125,-62.311042958320449,-45.243366558328802,-162.4497478331817,-145.38207143319005,34.002655555555563,2235.2657062424491,0.33240661270387734
0,3,1,3,pmfs_26_36,-99.458263379952598,-61.341810450978649,-8.2973317978090826,-160.80007383093124,-107.75559517776168,33.871322222222233,2043.2602745059405,0.39695034358044506
0,3,1,4,pmfs_27_1,-967.61790644325879,-107.5262522203443,-107.5262522203443,-1075.1441586636031,-1075.1441586636031,21.680655555555557,72646.482752609241,2.824789533691343e-05
0,3,1,5,pmfs_27_2,-966.29006366941633,-107.5262522203443,-107.5262522203443,-1073.8163158897605,-1073.8163158897605,21.680655555555557,72646.482663563831,3.5544702024813408e-05
0,3,2,0,pmfs_13_18,-465.55975110260869,-112.19230159320486,-112.19230159320486,-577.75205269581352,-577.75205269581352,46.096433333333337,64982.197585308997,0.00069986319803776718
0,3,2,1,pmfs_13_19,-474.96643959956617,-112.19230159320486,-112.19230159320486,-587.158741192771,-587.158741192771,45.699322222222236,64982.191415255904,0.0010207207085684369
0,3,2,2,pmfs_27_36,-96.068307718303217,-68.670256035742938,-78.613681257847901,-164.73856375404614,-174.6819889761511,33.976877777777787,2233.6874931806033,0.3137982303842225
