environment_index,house,wind,source_index,source_id,target_index,seed,cube_sha256,model,truth_nll,truth_rank,top1,top3,brier,mass_0p5m,mass_1m,expected_distance_m,map_distance_error_m,map_source_id,nearest_confusion,true_vs_nearest_logodds
0,House01,"1,3-2,4_fast",0,pmfs_13_18,3,374231629,8e913a2b78e71a0af3a59e7025efc66b6b2579320ced7e3f8e17eae06c800948,BLOCK_PRODUCT,0.030964441611578408,1,1,1,0.001859274507164388,1.0000000000000002,1.0000000000000002,0.00914698599662174,0.0,pmfs_13_18,0,3.459393607297363
0,House01,"1,3-2,4_fast",1,pmfs_13_19,0,217234422,10e13f352c37d1a626d171a59b0df76e9e7a11c7756c0ae89ab06c3fd9259410,BLOCK_PRODUCT,1.9348158488696754e-06,1,1,1,7.486899988862206e-12,1.0000000000000004,1.0000000000000004,5.804441932895475e-07,0.0,pmfs_13_19,0,13.15549743687879
0,House01,"1,3-2,4_fast",1,pmfs_13_19,1,802085035,861f3ae20c6248faf2e51c71a7523c201d631a093d5726406bfe3b78401fdef4,BLOCK_PRODUCT,367.63226501496297,2,0,1,2.0,1.0,1.0,0.2999999999999998,0.2999999999999998,pmfs_13_18,1,-367.63226501496297
0,House01,"1,3-2,4_fast",1,pmfs_13_19,2,1669888489,d64a06fc80fd50901f3610bf6927413afa725237211a6191e40639bb58084e49,BLOCK_PRODUCT,0.00025936480562016584,1,1,1,1.3450531510805774e-07,1.0000000000000004,1.0000000000000004,7.779935204313753e-05,0.0,pmfs_13_19,0,8.25714528617743
0,House01,"1,3-2,4_fast",1,pmfs_13_19,3,460280753,16081dac72c5938a49a99f3e5ac299852ad413e7e34b66ba78fc7bd2c8256aef,BLOCK_PRODUCT,3.3448799285906716e-11,1,1,1,0.0,1.0000000000000004,1.0000000000000004,1.0034791148327153e-11,0.0,pmfs_13_19,0,24.120990141861633
0,House01,"1,3-2,4_fast",2,pmfs_27_36,0,127015129,fa2e2046d037dd12fbf1f618feffa15ceee79773f7221bb3c9520b2527b4c7eb,BLOCK_PRODUCT,2.879267011479669e-07,1,1,1,1.6586731987899839e-13,1.0000000000000002,1.0000000000000002,8.63779979872984e-08,0.0,pmfs_27_36,0,15.060559754238115
0,House01,"1,3-2,4_fast",2,pmfs_27_36,1,541959769,079fb769bb5812ed18046857dbd06c20c068376505428df1a1fd665ba837cf9f,BLOCK_PRODUCT,3.751728820944322e-07,1,1,1,2.815525590449397e-13,0.9999999999999996,0.9999999999999996,1.1255184337803966e-07,0.0,pmfs_27_36,0,14.79587871192565
0,House01,"1,3-2,4_fast",2,pmfs_27_36,2,1635641182,e702002172bb06c58774b149ec77a819599aab25c5794299f7a3b5e83510a487,BLOCK_PRODUCT,1.376094157734542e-06,1,1,1,3.787192781601334e-12,1.0000000000000002,1.0000000000000002,4.128279633337063e-07,0.0,pmfs_27_36,0,13.496260704019281
0,House01,"1,3-2,4_fast",2,pmfs_27_36,3,1910855600,e1d2804c311536c034a3f3d4dc7f3701bf76fa574f09ae497833fb844a09bfdb,BLOCK_PRODUCT,3.035969988740561e-06,1,1,1,1.84341431008761e-11,0.9999999999999999,0.9999999999999999,9.107896140372576e-07,0.0,pmfs_27_36,0,12.704978065647069
0,House01,"1,3-2,4_fast",3,pmfs_26_36,0,139290499,f6721912280b18f88fc466eae476d82e04a45ecc2af73488beeba8f55f958ab4,BLOCK_PRODUCT,-0.0,1,1,1,0.0,1.0,1.0,0.0,0.0,pmfs_26_36,0,9978.0274658274
