environment_index	house	wind	source_index	source_id	reference_index	origin	requested_seed	cube_sha256	pooled_sha256	pooled_value_sha256	run_dir
0	House01	1,3-2,4_fast	3	pmfs_26_36	4	E1_HISTORICAL_TARGET_RECLASSIFIED_REFERENCE	2026120030	8119500a7c34c0caac919b888c8a1edeb43cc4bfed003fc19c13208ff83336ab	79468790dc4d635e366c524631d60d4e80f5970ecd19878ba912f803f92de603	50dfd1ee2657ad23276fea803387b466fc5284602dabd734d3d98f1a9ff5f65e	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E0_House01/1,3-2,4_fast/pmfs_26_36/t0_seed2026120030
0	House01	1,3-2,4_fast	3	pmfs_26_36	5	E1_HISTORICAL_TARGET_RECLASSIFIED_REFERENCE	2026120031	41615c0d53059f81d57bd9e797a37406a462873dacfc6b3040ea936a604bc3c2	2591f8addc12767da70037438c74b4e2279a89159aa417c0a83a7cb925ac3bbe	0c9d6a428902d0de1e834ade0bd0fe874cb390e2998d49affe945586f74f369c	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E0_House01/1,3-2,4_fast/pmfs_26_36/t1_seed2026120031
0	House01	1,3-2,4_fast	4	pmfs_27_1	0	E2_OPEN_REFERENCE	2026110040	9ce89c73fdba2c29e12acf6a43268ae1524d3777198507ffed698af4da4b97c7		5d6bd621116f1d9347cfc17e2a251bda854eddbe6e7423bc2efb618eab937aaa	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_1/r0_seed2026110040
0	House01	1,3-2,4_fast	4	pmfs_27_1	1	E2_OPEN_REFERENCE	2026110041	2f19cf2399baef69887bec96f1421f6db75917141e923a4f43fdd079657abf09		978b5c6fa585f6b10306556dafe633d8baccdc9486a0606929c50aefb7766d70	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_1/r1_seed2026110041
0	House01	1,3-2,4_fast	4	pmfs_27_1	2	E2_OPEN_REFERENCE	2026110042	446748c1e7a93fd24441da3942de09a25d0a5a26b707494986eb54e22a943f2f		59e1dc02b69fac97c050fdbd98b76280b7f3232d3c9125f4c6b9d43d0afd2784	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_1/r2_seed2026110042
0	House01	1,3-2,4_fast	4	pmfs_27_1	3	E2_OPEN_REFERENCE	2026110043	4fbed33a9e5a61d8893033bf7600031c06893c3c40d72429d2381df34c98b4de		83b217fed7d2d0446bd157402c6c3a09681c8be8805558707be206dc536d7dfd	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_1/r3_seed2026110043
0	House01	1,3-2,4_fast	4	pmfs_27_1	4	E1_HISTORICAL_TARGET_RECLASSIFIED_REFERENCE	2026120040	26a3eff7090b879d3d5c6aa383d58e087bee439a11b5f19a6c1f4c280505c215	c0fddc7073353438ec88aaa7d9ea0043dec2fb80581f6cfb8d98ce1aab55831b	d1c9892cda3731ccd72c095b78b7ed2436a8161fcdb9f7de1c91600fc6066824	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E0_House01/1,3-2,4_fast/pmfs_27_1/t0_seed2026120040
0	House01	1,3-2,4_fast	4	pmfs_27_1	5	E1_HISTORICAL_TARGET_RECLASSIFIED_REFERENCE	2026120041	fc5fe38e5b4bc17f1165ec288ac09d14b0b2109deaeaacf5cc57bd197dc2d0ae	3ed1a34b5690f9875fb07b39c27ef8f8c8c42316a142c09c506ac12e5cb3aafa	7655b883af535a0b4b1bddf2e6da0d69a1852f1443eb458e9c8aac87c3c1097a	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E0_House01/1,3-2,4_fast/pmfs_27_1/t1_seed2026120041
0	House01	1,3-2,4_fast	5	pmfs_27_2	0	E2_OPEN_REFERENCE	2026110050	823d50fa4e5cc1c90710b55bd861edeae1e9ebc03c59319adc866fc097cc532d		fb6c36a4f9803e0ee4182874a8f52c8d51bea2b541726040309e52d24f2e4df5	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_2/r0_seed2026110050
0	House01	1,3-2,4_fast	5	pmfs_27_2	1	E2_OPEN_REFERENCE	2026110051	ff99096cccbbff02fe174dfb7e145836d05c35b6ab32fa055197f62704ee07eb		c27a3d1dd3277400ff90c5b2123886e20bf7c49cb3fbcaaa68e79d8773c0835b	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_2/r1_seed2026110051
0	House01	1,3-2,4_fast	5	pmfs_27_2	2	E2_OPEN_REFERENCE	2026110052	578f48243b47d9044dcae1d8e9b54240870dde8775bc7d796f3a2c82d226c99b		80576055b69a6f845659a9543776335bf494762ee84dd6339fb7b186af59a7ba	/home/zyc/E2_CROSS_ENVIRONMENT_168_RUNS_20260925/OPEN_DISCOVERY/E0_House01/1,3-2,4_fast/pmfs_27_2/r2_seed2026110052
