environment_index,source_id,target_index,nearest_id,full_logodds,bp_logodds,mbd_logodds
1,pmfs_11_20,2,pmfs_12_20,44.16338346505343,20.50831238311847,26.899837549450698
1,pmfs_11_20,3,pmfs_12_20,44.8983637583196,20.4238615622332,25.30748933936761
1,pmfs_1_1,0,pmfs_2_1,11.87031172348115,16.05471757561632,14.405141408443368
1,pmfs_1_1,1,pmfs_2_1,11.745800469471822,16.509304466019344,15.06228016010786
1,pmfs_1_1,2,pmfs_2_1,9.994715120365697,14.063562387887613,12.4213162997743
1,pmfs_1_1,3,pmfs_2_1,15.165005314304253,17.909841937144638,18.47515029322957
1,pmfs_2_1,0,pmfs_1_1,2.705308420894111,9.616483123914811,5.936418841142405
1,pmfs_2_1,1,pmfs_1_1,9.398066315638479,34.60086861739831,22.547503110616248
1,pmfs_2_1,2,pmfs_1_1,7.634309987735664,23.54062388741866,15.931181809363762
1,pmfs_2_1,3,pmfs_1_1,1.2646619250371405,6.574700538131457,2.4467849343154704
1,pmfs_2_38,0,pmfs_2_37,-19.00316537688684,7.626325606550608,-12.484426612431541
1,pmfs_2_38,1,pmfs_2_37,-673.4622278110639,-123.57582559129477,-164.82961659179665
1,pmfs_2_38,2,pmfs_2_37,6.883043020096255,15.517486086590939,5.814153403584431
1,pmfs_2_38,3,pmfs_2_37,5.206137229657898,7.396396331436129,3.9538713250347115
1,pmfs_2_37,0,pmfs_2_38,2.960269751665356,8.286099752379274,0.9418851758312865
1,pmfs_2_37,1,pmfs_2_38,5.084886093873999,12.23095679643769,1.4561409054654106
1,pmfs_2_37,2,pmfs_2_38,3719.2668106434558,567.1307565822499,703.9783953687697
1,pmfs_2_37,3,pmfs_2_38,-0.4076274235358426,10.266399130010836,-0.507412912309773
2,pmfs_12_20,0,pmfs_11_20,28.588128873021017,24.317266630261983,21.30972208829957
2,pmfs_12_20,1,pmfs_11_20,26.328373814963953,21.684389922503744,18.891656941971483
2,pmfs_12_20,2,pmfs_11_20,15.528693811983054,16.991914774072708,15.001853875219872
2,pmfs_12_20,3,pmfs_11_20,15.502963079918583,17.976147940082456,14.967209752426045
2,pmfs_11_20,0,pmfs_12_20,40.66366985029037,16.93402977765654,11.070700721319843
2,pmfs_11_20,1,pmfs_12_20,93.54200080137186,76.18415886454139,44.14921781611423
2,pmfs_11_20,2,pmfs_12_20,28.57716474668662,19.214648297031403,11.572682268431334
2,pmfs_11_20,3,pmfs_12_20,630.3520583467116,795.521509041595,-20.92301128498366
2,pmfs_1_1,0,pmfs_2_1,23.62115167275354,21.624231999074816,24.595697581646167
2,pmfs_1_1,1,pmfs_2_1,24.09952633711083,26.09709546208833,24.86488442617263
2,pmfs_1_1,2,pmfs_2_1,21.786834229144763,20.698306315257636,19.972771429458682
2,pmfs_1_1,3,pmfs_2_1,23.530528783233237,22.26159351966855,23.87464716933144
2,pmfs_2_1,0,pmfs_1_1,-9.945593296412085,66.8838053625678,-12.4810342214488
2,pmfs_2_1,1,pmfs_1_1,8.02295684586636,93.7521681129599,58.35606620183078
2,pmfs_2_1,2,pmfs_1_1,10.895679252235972,191.17115246374775,26.03422752551348
2,pmfs_2_1,3,pmfs_1_1,-0.3328978190145371,139.96246538466622,-3.4064722627904587
2,pmfs_2_38,0,pmfs_2_37,12.503752600767864,14.812796415299932,10.491479374932466
2,pmfs_2_38,1,pmfs_2_37,17.45060917696702,19.43078922646913,13.58570606434979
2,pmfs_2_38,2,pmfs_2_37,4.868148852133768,0.674587983093339,0.3179772584881464
2,pmfs_2_38,3,pmfs_2_37,5.472251339686025,3.1313602109736918,2.307467740994672
2,pmfs_2_37,0,pmfs_2_38,1.7723315743713721,4.510422230409031,3.899276307441193
2,pmfs_2_37,1,pmfs_2_38,1.4678206175894895,3.9578550502301137,3.2909734604944862
2,pmfs_2_37,2,pmfs_2_38,4.257385864930759,0.0759983067106127,-0.2718204612193853
2,pmfs_2_37,3,pmfs_2_38,4.35274960176318,0.32467937296429206,-0.07149879953310201
