phase	environment_index	house	wind	source_index	source_id	source_xyz	new_index	seed_key	requested_seed	run_dir
REFERENCE	0	House01	1,3-2,4_fast	4	pmfs_27_1	[0.7000000000000002, -7.43, 0.2]	2	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_1|reference_new_index=2	1144447167	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_1/reference_02_seed_1144447167
REFERENCE	0	House01	1,3-2,4_fast	4	pmfs_27_1	[0.7000000000000002, -7.43, 0.2]	3	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_1|reference_new_index=3	1398654871	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_1/reference_03_seed_1398654871
REFERENCE	0	House01	1,3-2,4_fast	4	pmfs_27_1	[0.7000000000000002, -7.43, 0.2]	4	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_1|reference_new_index=4	1522246817	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_1/reference_04_seed_1522246817
REFERENCE	0	House01	1,3-2,4_fast	4	pmfs_27_1	[0.7000000000000002, -7.43, 0.2]	5	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_1|reference_new_index=5	407489557	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_1/reference_05_seed_407489557
REFERENCE	0	House01	1,3-2,4_fast	5	pmfs_27_2	[0.7000000000000002, -7.13, 0.2]	0	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_2|reference_new_index=0	1252613494	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_2/reference_00_seed_1252613494
REFERENCE	0	House01	1,3-2,4_fast	5	pmfs_27_2	[0.7000000000000002, -7.13, 0.2]	1	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_2|reference_new_index=1	1020361393	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_2/reference_01_seed_1020361393
REFERENCE	0	House01	1,3-2,4_fast	5	pmfs_27_2	[0.7000000000000002, -7.13, 0.2]	2	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_2|reference_new_index=2	1857378331	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_2/reference_02_seed_1857378331
REFERENCE	0	House01	1,3-2,4_fast	5	pmfs_27_2	[0.7000000000000002, -7.13, 0.2]	3	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_2|reference_new_index=3	764981140	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_2/reference_03_seed_764981140
REFERENCE	0	House01	1,3-2,4_fast	5	pmfs_27_2	[0.7000000000000002, -7.13, 0.2]	4	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_2|reference_new_index=4	1099235030	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_2/reference_04_seed_1099235030
REFERENCE	0	House01	1,3-2,4_fast	5	pmfs_27_2	[0.7000000000000002, -7.13, 0.2]	5	JTD_E2|REFERENCE|environment_id=0|source_id=pmfs_27_2|reference_new_index=5	594530141	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E0_House01/1,3-2,4_fast/pmfs_27_2/reference_05_seed_594530141
REFERENCE	1	House02	3,5-1_slow	0	pmfs_12_20	[-1.6427300000000002, -1.3008800000000003, 0.2]	0	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_12_20|reference_new_index=0	2072581696	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_12_20/reference_00_seed_2072581696
REFERENCE	1	House02	3,5-1_slow	0	pmfs_12_20	[-1.6427300000000002, -1.3008800000000003, 0.2]	1	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_12_20|reference_new_index=1	99554922	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_12_20/reference_01_seed_99554922
REFERENCE	1	House02	3,5-1_slow	0	pmfs_12_20	[-1.6427300000000002, -1.3008800000000003, 0.2]	2	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_12_20|reference_new_index=2	298334816	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_12_20/reference_02_seed_298334816
REFERENCE	1	House02	3,5-1_slow	0	pmfs_12_20	[-1.6427300000000002, -1.3008800000000003, 0.2]	3	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_12_20|reference_new_index=3	877960089	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_12_20/reference_03_seed_877960089
REFERENCE	1	House02	3,5-1_slow	0	pmfs_12_20	[-1.6427300000000002, -1.3008800000000003, 0.2]	4	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_12_20|reference_new_index=4	1200012603	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_12_20/reference_04_seed_1200012603
REFERENCE	1	House02	3,5-1_slow	0	pmfs_12_20	[-1.6427300000000002, -1.3008800000000003, 0.2]	5	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_12_20|reference_new_index=5	773421345	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_12_20/reference_05_seed_773421345
REFERENCE	1	House02	3,5-1_slow	1	pmfs_11_20	[-1.9427300000000005, -1.3008800000000003, 0.2]	0	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_11_20|reference_new_index=0	1646754906	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_11_20/reference_00_seed_1646754906
REFERENCE	1	House02	3,5-1_slow	1	pmfs_11_20	[-1.9427300000000005, -1.3008800000000003, 0.2]	1	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_11_20|reference_new_index=1	1128960178	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_11_20/reference_01_seed_1128960178
REFERENCE	1	House02	3,5-1_slow	1	pmfs_11_20	[-1.9427300000000005, -1.3008800000000003, 0.2]	2	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_11_20|reference_new_index=2	1822620660	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_11_20/reference_02_seed_1822620660
REFERENCE	1	House02	3,5-1_slow	1	pmfs_11_20	[-1.9427300000000005, -1.3008800000000003, 0.2]	3	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_11_20|reference_new_index=3	423075766	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_11_20/reference_03_seed_423075766
REFERENCE	1	House02	3,5-1_slow	1	pmfs_11_20	[-1.9427300000000005, -1.3008800000000003, 0.2]	4	JTD_E2|REFERENCE|environment_id=1|source_id=pmfs_11_20|reference_new_index=4	2057097622	/home/zyc/JTD_E2_K12_180_RUNS_20260925/reference/E1_House02/3,5-1_slow/pmfs_11_20/reference_04_seed_2057097622
