x,y
-4.542730000000001,-5.10088
-4.542730000000001,-5.0008799999999995
-4.542730000000001,-4.900879999999999
-4.542730000000001,-4.800879999999999
-4.542730000000001,-4.70088
-4.542730000000001,-4.20088
-4.542730000000001,-4.10088
-4.542730000000001,-4.0008799999999995
-4.542730000000001,-3.9008799999999995
-4.542730000000001,-3.8008799999999994
-4.542730000000001,-3.7008799999999997
-4.542730000000001,-3.6008799999999996
-4.542730000000001,-3.5008799999999995
-4.542730000000001,-3.40088
-4.542730000000001,-3.3008799999999994
-4.542730000000001,-3.2008799999999997
-4.542730000000001,-3.100879999999999
-4.542730000000001,-3.0008799999999995
-4.542730000000001,-2.90088
-4.542730000000001,-2.8008799999999994
-4.542730000000001,-2.7008799999999997
-4.542730000000001,-2.600879999999999
-4.542730000000001,-2.5008799999999995
-4.542730000000001,-2.400879999999999
-4.542730000000001,-2.3008799999999994
-4.542730000000001,-2.2008799999999997
-4.542730000000001,-2.100879999999999
-4.542730000000001,-2.0008799999999995
-4.542730000000001,-1.900879999999999
-4.542730000000001,-1.8008799999999994
-4.542730000000001,-1.7008799999999997
-4.542730000000001,-1.6008799999999992
-4.542730000000001,-1.5008799999999995
-4.542730000000001,-1.400879999999999
-4.542730000000001,-1.3008799999999994
-4.542730000000001,-1.2008799999999997
-4.542730000000001,-1.1008799999999992
-4.542730000000001,-1.0008799999999995
-4.542730000000001,-0.900879999999999
-4.542730000000001,-0.8008799999999994
-4.542730000000001,-0.7008799999999997
-4.542730000000001,0.19912000000000063
-4.542730000000001,0.2991200000000003
-4.542730000000001,0.3991200000000008
-4.542730000000001,0.49912000000000045
-4.542730000000001,0.599120000000001
-4.542730000000001,0.6991200000000006
-4.542730000000001,0.7991200000000003
-4.542730000000001,0.8991199999999999
-4.542730000000001,0.9991200000000013
-4.542730000000001,1.099120000000001
-4.542730000000001,1.1991200000000006
-4.542730000000001,1.2991200000000003
-4.542730000000001,1.39912
-4.542730000000001,1.4991200000000013
-4.542730000000001,1.599120000000001
-4.542730000000001,1.6991200000000006
-4.542730000000001,1.7991200000000003
-4.542730000000001,1.89912
-4.542730000000001,1.9991200000000013
