source_id,replicate,rng_seed,path
pmfs_25_32,14,2026093094,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_14_seed_2026093094/pooled.npy
pmfs_25_32,15,2026093095,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_15_seed_2026093095/pooled.npy
pmfs_25_32,16,2026093096,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_25_32/rep_16_seed_2026093096/pooled.npy
pmfs_20_26,1,2026093097,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_01_seed_2026093097/pooled.npy
pmfs_20_26,2,2026093098,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_02_seed_2026093098/pooled.npy
pmfs_20_26,3,2026093099,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_03_seed_2026093099/pooled.npy
pmfs_20_26,4,2026093100,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_04_seed_2026093100/pooled.npy
pmfs_20_26,5,2026093101,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_05_seed_2026093101/pooled.npy
pmfs_20_26,6,2026093102,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_06_seed_2026093102/pooled.npy
pmfs_20_26,7,2026093103,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_07_seed_2026093103/pooled.npy
pmfs_20_26,8,2026093104,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_08_seed_2026093104/pooled.npy
pmfs_20_26,9,2026093105,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_09_seed_2026093105/pooled.npy
pmfs_20_26,10,2026093106,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_10_seed_2026093106/pooled.npy
pmfs_20_26,11,2026093107,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_11_seed_2026093107/pooled.npy
pmfs_20_26,12,2026093108,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_12_seed_2026093108/pooled.npy
pmfs_20_26,13,2026093109,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_13_seed_2026093109/pooled.npy
pmfs_20_26,14,2026093110,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_14_seed_2026093110/pooled.npy
pmfs_20_26,15,2026093111,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_15_seed_2026093111/pooled.npy
pmfs_20_26,16,2026093112,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_20_26/rep_16_seed_2026093112/pooled.npy
pmfs_5_27,1,2026093113,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_01_seed_2026093113/pooled.npy
pmfs_5_27,2,2026093114,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_02_seed_2026093114/pooled.npy
pmfs_5_27,3,2026093115,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_03_seed_2026093115/pooled.npy
pmfs_5_27,4,2026093116,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_04_seed_2026093116/pooled.npy
pmfs_5_27,5,2026093117,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_05_seed_2026093117/pooled.npy
pmfs_5_27,6,2026093118,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_06_seed_2026093118/pooled.npy
pmfs_5_27,7,2026093119,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_07_seed_2026093119/pooled.npy
pmfs_5_27,8,2026093120,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_08_seed_2026093120/pooled.npy
pmfs_5_27,9,2026093121,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_09_seed_2026093121/pooled.npy
pmfs_5_27,10,2026093122,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_10_seed_2026093122/pooled.npy
pmfs_5_27,11,2026093123,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_11_seed_2026093123/pooled.npy
pmfs_5_27,12,2026093124,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_12_seed_2026093124/pooled.npy
pmfs_5_27,13,2026093125,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_13_seed_2026093125/pooled.npy
pmfs_5_27,14,2026093126,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_14_seed_2026093126/pooled.npy
pmfs_5_27,15,2026093127,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_15_seed_2026093127/pooled.npy
pmfs_5_27,16,2026093128,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_5_27/rep_16_seed_2026093128/pooled.npy
pmfs_6_24,1,2026093129,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_01_seed_2026093129/pooled.npy
pmfs_6_24,2,2026093130,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_02_seed_2026093130/pooled.npy
pmfs_6_24,3,2026093131,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_03_seed_2026093131/pooled.npy
pmfs_6_24,4,2026093132,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_04_seed_2026093132/pooled.npy
pmfs_6_24,5,2026093133,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_05_seed_2026093133/pooled.npy
pmfs_6_24,6,2026093134,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_06_seed_2026093134/pooled.npy
pmfs_6_24,7,2026093135,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_07_seed_2026093135/pooled.npy
pmfs_6_24,8,2026093136,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_08_seed_2026093136/pooled.npy
pmfs_6_24,9,2026093137,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_09_seed_2026093137/pooled.npy
pmfs_6_24,10,2026093138,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_10_seed_2026093138/pooled.npy
pmfs_6_24,11,2026093139,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_11_seed_2026093139/pooled.npy
pmfs_6_24,12,2026093140,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_12_seed_2026093140/pooled.npy
pmfs_6_24,13,2026093141,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_13_seed_2026093141/pooled.npy
pmfs_6_24,14,2026093142,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_14_seed_2026093142/pooled.npy
pmfs_6_24,15,2026093143,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_15_seed_2026093143/pooled.npy
pmfs_6_24,16,2026093144,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_6_24/rep_16_seed_2026093144/pooled.npy
pmfs_11_1,1,2026093145,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_01_seed_2026093145/pooled.npy
pmfs_11_1,2,2026093146,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_02_seed_2026093146/pooled.npy
pmfs_11_1,3,2026093147,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_03_seed_2026093147/pooled.npy
pmfs_11_1,4,2026093148,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_04_seed_2026093148/pooled.npy
pmfs_11_1,5,2026093149,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_05_seed_2026093149/pooled.npy
pmfs_11_1,6,2026093150,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_06_seed_2026093150/pooled.npy
pmfs_11_1,7,2026093151,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_07_seed_2026093151/pooled.npy
pmfs_11_1,8,2026093152,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_08_seed_2026093152/pooled.npy
pmfs_11_1,9,2026093153,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_09_seed_2026093153/pooled.npy
pmfs_11_1,10,2026093154,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_10_seed_2026093154/pooled.npy
pmfs_11_1,11,2026093155,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_11_seed_2026093155/pooled.npy
pmfs_11_1,12,2026093156,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_12_seed_2026093156/pooled.npy
pmfs_11_1,13,2026093157,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_13_seed_2026093157/pooled.npy
pmfs_11_1,14,2026093158,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_14_seed_2026093158/pooled.npy
pmfs_11_1,15,2026093159,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_15_seed_2026093159/pooled.npy
pmfs_11_1,16,2026093160,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_11_1/rep_16_seed_2026093160/pooled.npy
pmfs_4_4,1,2026093161,/home/zyc/r0_stochastic_benchmark_20260924/pmfs_4_4/rep_01_seed_2026093161/pooled.npy
