environment_index	house	wind	source_index	source_id	target_replicate	requested_seed	resolved_seed_base_uint32	cube_sha256	cube_bytes	pooled_sha256	pooled_bytes	run_dir
1	House02	3,5-1_slow	5	pmfs_2_37	1	2026121051	2026121051	7f2c094453bb5c0c312ed7d90606e3ca0cf5d24aa8f09b615f760d7a71a36763	395208	7a808e2fddd564e6f7e48262e5295f0df897546f2affffd8300e5c041ac0e149	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E1_House02/3,5-1_slow/pmfs_2_37/t1_seed2026121051
2	House02	4,5-3_slow	0	pmfs_12_20	0	2026122000	2026122000	0ab6d5e02b5d5c8a7db29ac48aae292b35214ae423db9a548aaa328066d71179	395208	3f6042790d1be2796f170f2cc52c2abf0017582c15e5f3312e37ea27ca5558dc	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_12_20/t0_seed2026122000
2	House02	4,5-3_slow	0	pmfs_12_20	1	2026122001	2026122001	60c64e0b0399c435685f9048ddae582be1ab8ccdb16069d0c5170899ac3efb2b	395208	a867ac82d8a8bbcd222d33cc38d388cde920c8935862221a8b0a5b1a7329f72d	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_12_20/t1_seed2026122001
2	House02	4,5-3_slow	1	pmfs_11_20	0	2026122010	2026122010	18b6008c9c3054fc68f6a1627db73093abf38ee07167bb181cba482c86965a8b	395208	6f213abdc1453fa216162c31fabc20536d18840c5ec78e6f324918d985f7f619	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_11_20/t0_seed2026122010
2	House02	4,5-3_slow	1	pmfs_11_20	1	2026122011	2026122011	a17e52f13e298cbaed6d45a60a93644a6649604c6c500ff53e9f05498a3ffc14	395208	a230cd70420f2a91a10228edecfacb512acc6cd634057a8983a5e541cd3baa03	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_11_20/t1_seed2026122011
2	House02	4,5-3_slow	2	pmfs_1_1	0	2026122020	2026122020	9434b8af6940ef80440ce31eb408f5e8a960c20e5f253d9fcf6676354b96bd5a	395208	751e24fdd53115bf3b09634b4ee4490dc0fcbc7008fa41248141a705e38e9005	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_1_1/t0_seed2026122020
2	House02	4,5-3_slow	2	pmfs_1_1	1	2026122021	2026122021	0cdb145e3505ea18cdaae6729b92ee3bbd11c23004267c0f20ede01cd4f9a173	395208	a8508d42e0647c0ea180ddf7dbcb1f236de7caa83f4e420e2b607ed0bca51cf6	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_1_1/t1_seed2026122021
2	House02	4,5-3_slow	3	pmfs_2_1	0	2026122030	2026122030	a3674980f766b414e3ada6f0592a83f7a556153870367fc098842af081a4d6c0	395208	f6149962bd27418e94b9ea5d50d3251d470b8da87520028a20984cbb9cb366fa	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_2_1/t0_seed2026122030
2	House02	4,5-3_slow	3	pmfs_2_1	1	2026122031	2026122031	2e9ef6f91c66bad85850960c7b5884697ea1143953ec0579702686ef660f69d7	395208	bea7795d168427e6922e8a280ef5748bb5dbb8cae7096e64b1b3a2524e02aa5e	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_2_1/t1_seed2026122031
2	House02	4,5-3_slow	4	pmfs_2_38	0	2026122040	2026122040	7a5b4425a90104906eaa230f32c5f411d07c9120b871afeb0bae67a791ec5438	395208	1ced29c286d2e96a21babe0c147b6b67d2886b9780b170fefa7001ac3e22a1d8	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_2_38/t0_seed2026122040
2	House02	4,5-3_slow	4	pmfs_2_38	1	2026122041	2026122041	445e2c38fac7b9dd9dde5fe49d1cfc51a291d415c8aa039f8f884f3e5c81dd30	395208	ad34feda3d90029110f90e3098125d7ac047765baa0f67ee2d5c8c028d073d2b	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_2_38/t1_seed2026122041
2	House02	4,5-3_slow	5	pmfs_2_37	0	2026122050	2026122050	b8ddb0c1d1f34f1db8aa6e929ee86a24f8e456fc687b3b980b9f269893733dd5	395208	592859c0437bc41ffd0113d9da75050a55d82e1b815ee2df3be66602c75c8c28	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_2_37/t0_seed2026122050
2	House02	4,5-3_slow	5	pmfs_2_37	1	2026122051	2026122051	5d95f47998a19e126c78cb7494e379c130af8986f6330d0211fe9b92c0619462	395208	11abb2152bd9c4a4251df8af116ffe86f2306e0e64c273c66b0acb8210d03f7f	1328	/home/zyc/JTD_E1_FRESH_TARGETS_20260925/E2_House02/4,5-3_slow/pmfs_2_37/t1_seed2026122051
