t_sim_s,step,x,y,z,yaw,vx,vy,vz
162.20000000000002,812,-1.5727324295043914,-5.400879859924316,0.4,0.0,0.3499999999999999,0.0,0.0
162.4,813,-1.5027324295043982,-5.400879859924316,0.4,0.0,0.35,0.0,0.0
162.60000000000002,814,-1.4327324295043908,-5.400879859924316,0.4,0.0,0.3499999999999999,0.0,0.0
162.8,815,-1.3627324295043977,-5.400879859924316,0.4,0.0,0.3499999999999999,0.0,0.0
163.0,816,-1.2927324295043974,-5.400879859924316,0.4,0.0,0.35,0.0,0.0
163.20000000000002,817,-1.2427301406860352,-5.380882148742671,0.4,1.5707963267948966,0.0,0.35,0.0
163.4,818,-1.2427301406860352,-5.310882148742678,0.4,1.5707963267948966,0.0,0.35,0.0
163.60000000000002,819,-1.1827323341369578,-5.300879955291748,0.4,0.0,0.35,0.0,0.0
163.8,820,-1.1127323341369646,-5.300879955291748,0.4,0.0,0.35,0.0,0.0
164.0,821,-1.0427323341369643,-5.300879955291748,0.4,0.0,0.35,0.0,0.0
164.20000000000002,822,-1.0427303314208984,-5.230881958007814,0.4,1.5707963267948966,0.0,0.35,0.0
164.4,823,-1.0827284240722648,-5.20088005065918,0.4,3.141592653589793,-0.35,0.0,0.0
164.60000000000002,824,-1.1527284240722722,-5.20088005065918,0.4,3.141592653589793,-0.35,0.0,0.0
164.8,825,-1.2227284240722653,-5.20088005065918,0.4,3.141592653589793,-0.35,0.0,0.0
165.0,826,-1.2927284240722585,-5.20088005065918,0.4,3.141592653589793,-0.35,0.0,0.0
165.20000000000002,827,-1.3427300453186035,-5.220878429412842,0.4,-1.5707963267948966,0.0,-0.35,0.0
165.4,828,-1.3427300453186035,-5.290878429412842,0.4,-1.5707963267948966,0.0,-0.35,0.0
165.60000000000002,829,-1.4027285194396981,-5.300879955291748,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
165.8,830,-1.4727285194396984,-5.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
166.0,831,-1.5427285194396916,-5.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
166.20000000000002,832,-1.612728519439699,-5.300879955291748,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
166.4,833,-1.6827285194396921,-5.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
166.60000000000002,834,-1.7527285194396995,-5.300879955291748,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
166.8,835,-1.8227285194396998,-5.300879955291748,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
167.0,836,-1.892728519439693,-5.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
167.20000000000002,837,-1.9627285194397004,-5.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
167.4,838,-2.0327285194396936,-5.300879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
167.60000000000002,839,-2.0427300930023193,-5.36087838172913,0.4,-1.5707963267948966,0.0,-0.35,0.0
167.8,840,-2.072728614807126,-5.400879859924316,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
168.0,841,-2.142728614807126,-5.400879859924316,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
168.20000000000002,842,-2.2127286148071335,-5.400879859924316,0.4,3.141592653589793,-0.35,0.0,0.0
168.4,843,-2.242730140686035,-5.440878334045408,0.4,-1.5707963267948966,0.0,-0.35,0.0
168.60000000000002,844,-2.2527282333374075,-5.500880241394043,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
168.8,845,-2.3227282333374006,-5.500880241394043,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
169.0,846,-2.392728233337401,-5.500880241394043,0.4,3.141592653589793,-0.35,0.0,0.0
169.20000000000002,847,-2.462728233337401,-5.500880241394043,0.4,3.141592653589793,-0.35,0.0,0.0
169.4,848,-2.5327282333374015,-5.500880241394043,0.4,3.141592653589793,-0.35,0.0,0.0
169.60000000000002,849,-2.5427300930023193,-5.5608783817291325,0.4,-1.5707963267948966,0.0,-0.35,0.0
169.8,850,-2.5727283287048337,-5.600880146026611,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
170.0,851,-2.642728328704827,-5.600880146026611,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
170.20000000000002,852,-2.642730236053467,-5.670878238677979,0.4,-1.5707963267948966,0.0,-0.35,0.0
170.4,853,-2.682728424072266,-5.70088005065918,0.4,3.141592653589793,-0.35,0.0,0.0
170.60000000000002,854,-2.742730140686035,-5.710878334045411,0.4,-1.5707963267948966,0.0,-0.35,0.0
170.8,855,-2.742730140686035,-5.780878334045411,0.4,-1.5707963267948966,0.0,-0.35,0.0
171.0,856,-2.7927285194396916,-5.800879955291748,0.4,3.141592653589793,-0.3499999999999999,0.0,0.0
171.20000000000002,857,-2.862728519439699,-5.800879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
171.4,858,-2.932728519439692,-5.800879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
171.60000000000002,859,-3.0027285194396995,-5.800879955291748,0.4,3.141592653589793,-0.35,0.0,0.0
