t_sim_s,x,y,z
35.6,-7.3,-6.66605551275466,0.3
35.8,-7.3,-6.5660555127546605,0.3
36.0,-7.3,-6.466055512754661,0.3
36.2,-7.3,-6.366055512754661,0.3
36.4,-7.3,-6.2660555127546615,0.3
36.6,-7.3,-6.166055512754662,0.3
36.8,-7.3,-6.066055512754662,0.3
37.0,-7.3,-5.966055512754663,0.3
37.2,-7.3,-5.866055512754663,0.3
37.4,-7.3,-5.766055512754663,0.3
37.6,-7.3,-5.666055512754664,0.3
37.8,-7.3,-5.566055512754664,0.3
38.0,-7.3,-5.466055512754664,0.3
38.2,-7.3,-5.366055512754665,0.3
38.4,-7.3,-5.266055512754665,0.3
38.6,-7.3,-5.1660555127546655,0.3
38.8,-7.3,-5.066055512754666,0.3
39.0,-7.3,-4.966055512754666,0.3
39.2,-7.3,-4.8660555127546665,0.3
39.4,-7.3,-4.766055512754667,0.3
39.6,-7.3,-4.666055512754667,0.3
39.8,-7.3,-4.566055512754668,0.3
40.0,-7.3,-4.466055512754668,0.3
40.2,-7.3,-4.366055512754668,0.3
40.4,-7.3,-4.266055512754669,0.3
40.6,-7.3,-4.166055512754669,0.3
40.8,-7.3,-4.066055512754669,0.3
41.0,-7.3,-3.9660555127546693,0.3
41.2,-7.3,-3.866055512754669,0.3
41.4,-7.3,-3.766055512754669,0.3
41.6,-7.236055512754669,-3.7299999999999995,0.3
41.8,-7.13605551275467,-3.7299999999999995,0.3
42.0,-7.03605551275467,-3.7299999999999995,0.3
42.2,-6.93605551275467,-3.7299999999999995,0.3
42.4,-6.836055512754671,-3.7299999999999995,0.3
42.6,-6.736055512754671,-3.7299999999999995,0.3
42.8,-6.636055512754671,-3.7299999999999995,0.3
43.0,-6.536055512754672,-3.7299999999999995,0.3
43.2,-6.436055512754672,-3.7299999999999995,0.3
43.4,-6.3360555127546725,-3.7299999999999995,0.3
43.6,-6.236055512754673,-3.7299999999999995,0.3
43.8,-6.136055512754673,-3.7299999999999995,0.3
44.0,-6.036055512754674,-3.7299999999999995,0.3
44.2,-5.936055512754674,-3.7299999999999995,0.3
44.4,-5.836055512754674,-3.7299999999999995,0.3
44.6,-5.736055512754675,-3.7299999999999995,0.3
44.8,-5.699999999999999,-3.666055512754675,0.3
45.0,-5.699999999999999,-3.5660555127546747,0.3
45.2,-5.699999999999999,-3.4660555127546746,0.3
45.4,-5.699999999999999,-3.3660555127546745,0.3
45.6,-5.699999999999999,-3.2660555127546744,0.3
45.8,-5.636055512754674,-3.2299999999999995,0.3
46.0,-5.5360555127546744,-3.2299999999999995,0.3
46.2,-5.436055512754675,-3.2299999999999995,0.3
46.4,-5.336055512754675,-3.2299999999999995,0.3
46.6,-5.2360555127546755,-3.2299999999999995,0.3
46.8,-5.136055512754676,-3.2299999999999995,0.3
47.0,-5.036055512754676,-3.2299999999999995,0.3
47.2,-4.936055512754677,-3.2299999999999995,0.3
47.4,-4.836055512754677,-3.2299999999999995,0.3
47.6,-4.736055512754677,-3.2299999999999995,0.3
47.8,-4.636055512754678,-3.2299999999999995,0.3
48.0,-4.536055512754678,-3.2299999999999995,0.3
48.2,-4.436055512754678,-3.2299999999999995,0.3
48.4,-4.336055512754679,-3.2299999999999995,0.3
48.6,-4.236055512754679,-3.2299999999999995,0.3
48.8,-4.136055512754679,-3.2299999999999995,0.3
49.0,-4.03605551275468,-3.2299999999999995,0.3
49.2,-3.9360555127546797,-3.2299999999999995,0.3
49.4,-3.8360555127546796,-3.2299999999999995,0.3
49.6,-3.7360555127546795,-3.2299999999999995,0.3
49.8,-3.6999999999999997,-3.1660555127546792,0.3
50.0,-3.636055512754679,-3.13,0.3
50.2,-3.536055512754679,-3.13,0.3
50.4,-3.436055512754679,-3.13,0.3
50.6,-3.3360555127546787,-3.13,0.3
50.8,-3.2360555127546786,-3.13,0.3
51.0,-3.1360555127546785,-3.13,0.3
51.2,-3.0360555127546784,-3.13,0.3
51.4,-2.9360555127546784,-3.13,0.3
51.6,-2.8360555127546783,-3.13,0.3
51.8,-2.736055512754678,-3.13,0.3
52.0,-2.636055512754678,-3.13,0.3
52.2,-2.536055512754678,-3.13,0.3
52.4,-2.436055512754678,-3.13,0.3
52.6,-2.336055512754678,-3.13,0.3
52.8,-2.2360555127546777,-3.13,0.3
53.0,-2.1360555127546776,-3.13,0.3
53.2,-2.0360555127546776,-3.13,0.3
53.4,-1.9360555127546775,-3.13,0.3
53.6,-1.8360555127546774,-3.13,0.3
53.8,-1.7360555127546773,-3.13,0.3
54.0,-1.6999999999999993,-3.066055512754678,0.3
54.2,-1.6999999999999993,-2.9660555127546777,0.3
54.4,-1.6999999999999993,-2.8660555127546776,0.3
54.6,-1.6999999999999993,-2.7660555127546775,0.3
54.8,-1.6999999999999993,-2.6660555127546774,0.3
55.0,-1.6999999999999993,-2.5660555127546774,0.3
55.2,-1.6999999999999993,-2.4660555127546773,0.3
55.4,-1.6999999999999993,-2.366055512754677,0.3
55.6,-1.6999999999999993,-2.266055512754677,0.3
55.8,-1.6999999999999993,-2.166055512754677,0.3
56.0,-1.6999999999999993,-2.066055512754677,0.3
56.2,-1.6999999999999993,-1.9660555127546768,0.3
56.4,-1.6999999999999993,-1.8660555127546767,0.3
56.6,-1.6999999999999993,-1.7660555127546766,0.3
56.8,-1.6999999999999993,-1.6660555127546766,0.3
57.0,-1.6999999999999993,-1.5660555127546765,0.3
57.2,-1.6999999999999993,-1.4660555127546764,0.3
57.4,-1.6999999999999993,-1.3660555127546763,0.3
57.6,-1.6999999999999993,-1.2660555127546762,0.3
57.8,-1.6999999999999993,-1.1660555127546761,0.3
58.0,-1.6999999999999993,-1.066055512754676,0.3
58.2,-1.6360555127546759,-1.0299999999999994,0.3
58.4,-1.5999999999999996,-0.9660555127546756,0.3
58.6,-1.5999999999999996,-0.8660555127546756,0.3
58.8,-1.5999999999999996,-0.7660555127546756,0.3
59.0,-1.5999999999999996,-0.6660555127546757,0.3
59.2,-1.5999999999999996,-0.5660555127546757,0.3
59.4,-1.5999999999999996,-0.4660555127546757,0.3
59.6,-1.5999999999999996,-0.36605551275467574,0.3
59.8,-1.663944487245323,-0.3299999999999992,0.3
60.0,-1.6999999999999993,-0.2660555127546754,0.3
