panel,pair_index,protocol,source0_id,source1_id,S,S_fold_min,S_fold_max,S_fold_std,W,W_fold_min,W_fold_max,W_fold_std,D_CNR,D_CNR_fold_min,D_CNR_fold_max,D_CNR_fold_std,ED,ED_fold_min,ED_fold_max,ED_fold_std,W_E,W_E_fold_min,W_E_fold_max,W_E_fold_std,D_ED,D_ED_fold_min,D_ED_fold_max,D_ED_fold_std
CENTRAL,35,P_E2,pmfs_23_14,pmfs_24_14,13.353648958261584,3.0405158562659107,28.526262029642794,9.507517549951977,125.68821171067995,108.60270312906438,139.36928974756512,11.805041925760909,0.1006634884880219,0.027996686718280806,0.20468111792262786,0.06540811469474671,-0.9382200901548572,-1.4365989459203714,-0.06215183961045945,0.5213458477880191,13.51168840671848,12.398393834828145,14.219537398793731,0.7238237379625954,-0.07099850974819737,-0.11586976224963962,-0.004412976916363416,0.04091219134660676
CENTRAL,36,P_G1A,pmfs_1_15,pmfs_2_15,49.262089041428126,34.67681808862809,65.6318550871436,11.027216054116423,54.482002880041456,50.57754358000116,58.43889371440136,2.84771524614548,0.9098761572759517,0.6267069493311599,1.2249369338361555,0.22160095671179872,3.7683437272930025,3.029159054633963,4.645265677898875,0.615393712077051,9.53022702561399,9.132911180685207,9.93472142482684,0.28611617021990926,0.3962007999854684,0.31979800614193765,0.4848325997314676,0.06803847418497407
CENTRAL,36,P_E2,pmfs_1_15,pmfs_2_15,4.177162747958252,2.3491777909323424,5.607313679686351,1.3455352594820267,19.394373593669044,18.82812074840834,20.526350059703095,0.664002495024202,0.21645683052264794,0.12309955961761572,0.29297130311860353,0.07305055058694837,0.2042735558422124,-0.040663642879120054,0.4009087975906107,0.19018931162034927,5.70861222731736,5.531333515858629,5.942597264824071,0.15059485577221116,0.036428155055117324,-0.006842739136939178,0.07247959220697556,0.033764717393463706
CENTRAL,37,P_G1A,pmfs_3_15,pmfs_4_15,103.82290810169496,89.41963542639616,124.79898862513988,13.011994731240469,145.21295673647836,129.03321581432692,162.81789864740145,15.169604556578465,0.729249074478361,0.5492002793866905,0.9671849828543009,0.15466520547529192,5.944824606922722,4.813437887974786,7.457406119824583,1.067307506334069,15.435513137186653,14.450905645325044,16.368520017185872,0.9303523846662273,0.39038980328491935,0.2941916203648663,0.5121474415953507,0.09150758692153188
CENTRAL,37,P_E2,pmfs_3_15,pmfs_4_15,13.388543873772422,6.54740300692862,24.89321505740823,7.064297810256004,65.1865511591465,48.89174779608583,77.6722966944956,11.277563277002104,0.22098516692974957,0.08917956695577339,0.4096706951099843,0.1293045003931998,1.336218813951601,0.4436139979520881,2.2482332421720166,0.659703432521146,9.443910804894706,8.00863113886665,10.60364559738116,0.9306839038012087,0.15000448633853702,0.04183598875288762,0.2807262818309709,0.08720376650575962
CENTRAL,38,P_G1A,pmfs_5_15,pmfs_6_15,19.821801228878662,16.897086302259385,22.147507857075333,2.2040314033351844,121.24804190861288,104.17094096400122,131.76515782640115,10.417412620000901,0.16419304736157536,0.1332563354385508,0.1778864826245781,0.018289544422732097,1.94762693928883,1.5758612679900654,2.4441307730419872,0.32004884642468745,13.308688390297277,12.449156998157067,13.857932988513433,0.5264428076325908,0.14577993628592073,0.1265837733608609,0.17637051464063472,0.01933262448780742
CENTRAL,38,P_E2,pmfs_5_15,pmfs_6_15,10.277632676074976,6.255077741639092,19.674720242620793,5.475808630245406,58.69814258168334,52.817368759447966,65.23776238007711,4.501427958602721,0.1710343602645918,0.1047951563458315,0.3015848417359201,0.07772905017510354,0.5366756152971153,0.25777400304419906,1.0762602210355503,0.3190519934604498,9.065838130655772,8.764212538789415,9.682945675190231,0.3619911691848095,0.05802595492630196,0.029054331009032788,0.11115008357344004,0.03169275169117973
CENTRAL,39,P_G1A,pmfs_7_15,pmfs_8_15,4.638388676068015,2.2631110832063426,8.406853475330522,2.457208710799382,84.95259428548205,42.076311825815324,108.30162698866566,25.37262694889132,0.0758008249630556,0.0240612521729562,0.19980015145158728,0.07267358325238775,0.3242524186144926,-0.1721697173734107,1.0038094664533945,0.42683811818575684,10.605123137311494,8.113792924512863,12.185018608921677,1.5109236720246653,0.03723644245023663,-0.015451317406913525,0.12371642655800924,0.052134173454654646
CENTRAL,39,P_E2,pmfs_7_15,pmfs_8_15,5.360663577011719,2.314817490354668,10.91673255824186,3.339466061661582,48.03382003397242,36.651880024140844,58.59936539213898,8.899240277847388,0.12632923092245535,0.03950243274584818,0.29784918402659327,0.10076983477255645,-0.06632428143034863,-0.5986354335163284,0.513595798858665,0.40028606618926543,8.458059972606225,7.586970161322574,9.459106234688692,0.7715165066225415,-0.004686097959228167,-0.06328668043925732,0.06769445350877991,0.04767377622302573
CENTRAL,40,P_G1A,pmfs_9_15,pmfs_10_15,12.215793010387491,10.655474558169395,15.777352207250859,2.080478282126843,14.278813228697583,9.414825861170815,16.6428558441951,2.8498378422455257,0.8903445867938784,0.6402431564577473,1.1583338818680584,0.21203039117946887,1.7759981824022029,1.398616944865915,2.096968010638593,0.318301897670786,4.832330014306539,4.013931390959936,5.237411592912322,0.4803466409573233,0.37664037384004717,0.2670435424164935,0.5224224846890081,0.10105379691166515
