panel,pair_index,protocol,model,target_count,mean_nll,trimmed20_nll,tail_excess,misclassification_rate,mean_nll_given_error,q95_nll,max_nll
CENTRAL,47,P_G1A,FULL,32,75.60921567588531,0.9973850045510257,74.61183067133429,0.53125,142.30552464102243,233.782153828487,1877.5420238173922
CENTRAL,47,P_G1A,BLOCK_PRODUCT,32,55.197804403731794,0.5949020426851999,54.602902361046596,0.40625,135.70860537066545,113.90103030075971,1503.0684504662306
CENTRAL,47,P_G1A,MATCHED_BLOCK_DIAG,32,69.19798011687223,1.3771071469332452,67.82087296993899,0.53125,130.19114814128525,186.4150717430651,1777.4676777028556
CENTRAL,47,P_E2,FULL,32,40.32011985775922,1.1402158850498254,39.17990397270939,0.40625,99.06834289653975,100.10032346437686,1033.0894791173318
CENTRAL,47,P_E2,BLOCK_PRODUCT,32,28.528938576432623,1.8146098600316054,26.714328716401017,0.40625,70.08234941978657,60.3615669339802,724.3727173581799
CENTRAL,47,P_E2,MATCHED_BLOCK_DIAG,32,54.464546199205444,1.7610378329079814,52.70350836629746,0.46875,116.06766064143731,135.16461405855443,1393.2317027551155
CENTRAL,48,P_G1A,FULL,32,400.7735187809343,9.840804801717518e-05,400.7734203728863,0.0625,6412.285278068476,0.8541045260540161,12822.81301300266
CENTRAL,48,P_G1A,BLOCK_PRODUCT,32,289.12756613573936,4.954414594109379e-08,289.1275660861952,0.0625,4626.039828544062,23.84229020219026,9199.098741303293
CENTRAL,48,P_G1A,MATCHED_BLOCK_DIAG,32,329.23339958760863,1.4655472164466994e-05,329.23338493213646,0.0625,5267.591444961504,11.703630944480468,10509.502776385822
CENTRAL,48,P_E2,FULL,32,1.1323947172472508,0.5216661744301228,0.6107285428171281,0.375,2.8491071877209815,5.37720586833315,5.904377158212543
CENTRAL,48,P_E2,BLOCK_PRODUCT,32,1.2430466604373944,0.8599536645525603,0.38309299588483414,0.40625,3.0096391846561605,4.153023926201561,4.791498754761438
CENTRAL,48,P_E2,MATCHED_BLOCK_DIAG,32,1.6387184974625768,0.9185336529147046,0.7201848445478722,0.4375,3.699965305234937,6.12726066904093,11.370485500655983
CENTRAL,49,P_G1A,FULL,32,9.328903813676943e-05,4.14216221890739e-05,5.186741594769553e-05,0.0,,0.00042335854727008866,0.00047476046306632434
CENTRAL,49,P_G1A,BLOCK_PRODUCT,32,8.99597808548808e-09,5.840030390707853e-10,8.411975046417294e-09,0.0,,3.372461843323096e-08,1.6550944079739214e-07
CENTRAL,49,P_G1A,MATCHED_BLOCK_DIAG,32,0.00015860707437603038,7.360502583312168e-05,8.50020485429087e-05,0.0,,0.0006035416835615665,0.0012066318429817013
CENTRAL,49,P_E2,FULL,32,1.263375696327062,0.6944195152706768,0.5689561810563851,0.34375,3.599905529459686,4.4632421042031885,4.751588595578316
CENTRAL,49,P_E2,BLOCK_PRODUCT,32,3.861276897642182,0.6355525599732144,3.225724337668968,0.28125,13.698811615741525,7.186538882345548,79.61699029064386
CENTRAL,49,P_E2,MATCHED_BLOCK_DIAG,32,2.006662336914244,1.3331781668941527,0.6734841700200913,0.4375,4.55969682499597,5.1887563287502925,12.623836694879895
CENTRAL,50,P_G1A,FULL,32,0.21966452757109864,0.0003067462920148656,0.21935778127908379,0.0625,3.2470363470945176,0.7192172996470717,5.437537761692911
CENTRAL,50,P_G1A,BLOCK_PRODUCT,32,0.11690610670761292,1.3902842340640054e-05,0.11689220386527228,0.03125,3.5305247880603874,0.10089820677270839,3.5305247880603874
CENTRAL,50,P_G1A,MATCHED_BLOCK_DIAG,32,0.464938244468049,0.0032278546284000295,0.46171038983964896,0.09375,4.6934429465818726,2.123810037840408,9.558157254640706
CENTRAL,50,P_E2,FULL,32,0.5901694415540748,0.004132443563403943,0.5860369979906709,0.15625,3.6980681333539067,2.4213258436554423,10.644091390168706
CENTRAL,50,P_E2,BLOCK_PRODUCT,32,1.518392462112932,0.11274639522951704,1.405646066883415,0.21875,6.793599334835,9.415326009627641,13.087488246915484
CENTRAL,50,P_E2,MATCHED_BLOCK_DIAG,32,1.9729291345711983,0.2657820786414075,1.7071470559297908,0.28125,6.906644989704087,9.229757746092893,21.99116341302342
CENTRAL,51,P_G1A,FULL,32,12.722125471993794,0.007560407504570904,12.714565064489223,0.09375,135.56476121270012,10.720888772737236,383.0605821997879
CENTRAL,51,P_G1A,BLOCK_PRODUCT,32,10.477436222285506,0.0018118070606672203,10.47562441522484,0.0625,167.56802227725746,2.951349314319474,328.6295050633763
CENTRAL,51,P_G1A,MATCHED_BLOCK_DIAG,32,12.530862095810916,0.10631716015246524,12.424544935658451,0.1875,66.47687365263594,16.881166474317407,359.25299357224844
CENTRAL,51,P_E2,FULL,32,49.53062917270262,0.050934829905704436,49.47969434279691,0.15625,316.6746855003935,3.063991256934712,1574.0619145731876
CENTRAL,51,P_E2,BLOCK_PRODUCT,32,27.105881487849004,0.030467442362450293,27.075414045486554,0.125,216.41499035422746,1.8087219558974597,860.9973710801372
CENTRAL,51,P_E2,MATCHED_BLOCK_DIAG,32,50.964586772234185,0.06511162971165918,50.899475142522526,0.1875,271.59409042505524,6.336146865917863,1608.6366472290802
CENTRAL,52,P_G1A,FULL,32,5.205653654070819,3.0323598311272166e-07,5.205653350834836,0.125,41.64522048876366,21.142448393267546,117.91981205654434
CENTRAL,52,P_G1A,BLOCK_PRODUCT,32,36.54641999073924,3.9097976378155116e-08,36.54641995164126,0.09375,389.81241798083516,43.73728277363757,1080.1623277216934
CENTRAL,52,P_G1A,MATCHED_BLOCK_DIAG,32,9.373415295302438,6.460668633949194e-07,9.373414649235574,0.125,74.94766446515125,40.17686986726095,210.69432465493233
CENTRAL,52,P_E2,FULL,32,7.51941004926357,0.11402849778168586,7.405381551481884,0.1875,39.723236013413576,8.767352049220904,215.42906917105847
CENTRAL,52,P_E2,BLOCK_PRODUCT,32,13.825447716188195,0.1865092085779809,13.638938507610215,0.28125,49.01135709111078,2.9773630256949954,426.5230694282336
CENTRAL,52,P_E2,MATCHED_BLOCK_DIAG,32,19.363344910062995,0.16277327525107396,19.200571634811922,0.1875,102.72842467991568,3.4715336472954683,605.2624240712727
CENTRAL,53,P_G1A,FULL,32,8.062256676483137e-08,1.7857494966638314e-16,8.062256658625642e-08,0.0,,1.0839553833825584e-07,2.3390104573092777e-06
CENTRAL,53,P_G1A,BLOCK_PRODUCT,32,0.00018504144499944346,5.423890664984406e-13,0.00018504144445705438,0.0,,1.5952020919210218e-07,0.0059209779642649335
CENTRAL,53,P_G1A,MATCHED_BLOCK_DIAG,32,0.0038319930380433568,6.652945228866939e-20,0.0038319930380433568,0.0,,9.426986853808589e-10,0.12262377512249661
CENTRAL,53,P_E2,FULL,32,2.5394256830371147e-06,2.9726670645406925e-17,2.539425683007388e-06,0.0,,5.198866686021254e-12,8.126161105916232e-05
CENTRAL,53,P_E2,BLOCK_PRODUCT,32,0.0009938713370468402,1.7761869366500362e-15,0.000993871337045064,0.0,,0.0010746752036152308,0.029415715611377447
CENTRAL,53,P_E2,MATCHED_BLOCK_DIAG,32,4.752464045028315e-06,1.5964172434961739e-19,4.752464045028156e-06,0.0,,1.0722101197301615e-13,0.00015207884920889685
CENTRAL,54,P_G1A,FULL,32,7.400507617344296e-12,2.940886356469707e-15,7.397566730987826e-12,0.0,,8.596203069480971e-12,2.168828498838238e-10
CENTRAL,54,P_G1A,BLOCK_PRODUCT,32,7.267610765044947e-15,9.817518406631145e-19,7.266629013204283e-15,0.0,,1.0222089788242691e-14,2.0975150714698758e-13
CENTRAL,54,P_G1A,MATCHED_BLOCK_DIAG,32,7.978659040017544e-15,5.714626294383605e-19,7.978087577388105e-15,0.0,,1.8980850149319855e-14,2.116596865604882e-13
CENTRAL,54,P_E2,FULL,32,0.2929041642958258,8.27610504283764e-10,0.2929041634682153,0.03125,9.372932765352441,1.950322911248982e-07,9.372932765352441
CENTRAL,54,P_E2,BLOCK_PRODUCT,32,0.427478250458465,1.1928870690175166e-09,0.4274782492655779,0.03125,13.679303499052759,1.411388383026484e-07,13.679303499052759
CENTRAL,54,P_E2,MATCHED_BLOCK_DIAG,32,1.358100154338048,1.0529685859636034e-12,1.358100154336995,0.03125,43.45920493709777,7.425801144932401e-10,43.45920493709777
CENTRAL,55,P_G1A,FULL,32,3.952034473416154,0.002237228555433223,3.949797244860721,0.125,31.57049018977338,6.077222611754461,110.33662530748258
CENTRAL,55,P_G1A,BLOCK_PRODUCT,32,4.913034180743592,0.0003509595646797697,4.912683221178913,0.125,39.216063942778995,13.457563605056828,128.2793992219639
CENTRAL,55,P_G1A,MATCHED_BLOCK_DIAG,32,6.908456884463472,0.000371101088850538,6.908085783374622,0.09375,73.51477137079236,13.966689631093171,191.62426064074785
CENTRAL,55,P_E2,FULL,32,2.0961137903645612,0.004568683230629251,2.091545107133932,0.0625,32.93644496510595,1.0734213930713077,64.23868051588894
CENTRAL,55,P_E2,BLOCK_PRODUCT,32,3.6831487474321625,0.0029722819735567797,3.6801764654586058,0.15625,23.545043102369434,11.673086195639762,82.72262162224493
CENTRAL,55,P_E2,MATCHED_BLOCK_DIAG,32,4.7257157915635215,0.008129769535004043,4.7175860220285175,0.15625,30.169302359032468,12.848608925994435,115.69248808973077
CENTRAL,56,P_G1A,FULL,32,79.1608019141074,9.933439396620285e-09,79.16080190417395,0.0625,1266.572785770262,12.232198938706373,2505.963014799093
CENTRAL,56,P_G1A,BLOCK_PRODUCT,32,226.40782481244636,1.715801821945854e-08,226.40782479528835,0.09375,2415.0167954495682,790.7442440714697,5495.365661753272
CENTRAL,56,P_G1A,MATCHED_BLOCK_DIAG,32,72.42648200546134,1.2251422156283564e-09,72.42648200423619,0.0625,1158.8237108164487,19.740119667034758,2273.7804909040046
CENTRAL,56,P_E2,FULL,32,608.5500209466502,3.211659184385193e-05,608.5499888300584,0.09375,6491.196574399198,6.223993715600595,19460.028944269732
CENTRAL,56,P_E2,BLOCK_PRODUCT,32,769.496997404927,0.00011062133164008177,769.4968867835954,0.0625,12311.412412608306,9.747997087188972,24601.971554604876
CENTRAL,56,P_E2,MATCHED_BLOCK_DIAG,32,123.8807753910981,5.156129924065474e-05,123.88072382979885,0.0625,1981.9010955013528,10.5743891760945,3940.672697779023
CENTRAL,57,P_G1A,FULL,32,0.009204433505617114,0.0004414781146820994,0.008762955390935015,0.0,,0.024067144977816535,0.21414899700758738
CENTRAL,57,P_G1A,BLOCK_PRODUCT,32,0.036301911672055036,7.26006866097049e-05,0.03622931098544533,0.03125,1.0747335359627692,0.03606366361550013,1.0747335359627692
CENTRAL,57,P_G1A,MATCHED_BLOCK_DIAG,32,0.029686334510516478,0.0005917192226593871,0.02909461528785709,0.0,,0.21584817077936433,0.3154262715547463
CENTRAL,57,P_E2,FULL,32,0.7473716780054847,0.6105832650384888,0.13678841296699584,0.40625,1.4198099664136072,1.8415768543763622,3.393345976565979
CENTRAL,57,P_E2,BLOCK_PRODUCT,32,8.452151356406906,6.606054720223042,1.846096636183864,0.46875,17.902713934543286,23.525019036616108,23.882875522183564
CENTRAL,57,P_E2,MATCHED_BLOCK_DIAG,32,0.9705048564344929,0.7282163376418715,0.24228851879262137,0.5,1.7135480651020845,2.8358929910385053,3.300743348977375
CENTRAL,58,P_G1A,FULL,32,3.106418298253462,0.782110213326473,2.3243080849269893,0.40625,7.45516078570778,14.644980163569317,36.7097911206976
CENTRAL,58,P_G1A,BLOCK_PRODUCT,32,3.981750319675699,1.36354931612688,2.618201003548819,0.40625,9.71244930103374,18.839942310868096,39.23156280690959
CENTRAL,58,P_G1A,MATCHED_BLOCK_DIAG,32,4.919957498886333,1.4831682845446879,3.4367892143416454,0.5,9.719854596965433,21.931942204188573,64.85446993913408
CENTRAL,58,P_E2,FULL,32,4.253730580774285,1.4579670746781108,2.795763506096174,0.53125,7.899176491875365,21.166699193394955,31.1925930209457
CENTRAL,58,P_E2,BLOCK_PRODUCT,32,21.270621623175224,1.3574575089801644,19.91316411419506,0.46875,45.2690765008944,116.52101362649066,359.78753554299675
CENTRAL,58,P_E2,MATCHED_BLOCK_DIAG,32,5.9161017675353165,1.4554179691588733,4.460683798376444,0.5625,10.444920533117905,36.82362272299829,48.19777666069318
CENTRAL,59,P_G1A,FULL,32,11.521475983797288,2.242602722545822,9.278873261251466,0.59375,19.274350696795306,71.97771723184853,151.95463615896733
