panel,pair_index,x_band,mid_x,mid_y,orientation,orientation_cos,orientation_sin,source0_x,source0_y,source1_x,source1_y,separation
CENTRAL,14,0,-3.59273,-3.4008799999999995,0.0,1.0,0.0,-3.74273,-3.4008799999999995,-3.44273,-3.4008799999999995,0.2999999999999998
CENTRAL,15,1,-2.99273,-3.4008799999999995,0.0,1.0,0.0,-3.14273,-3.4008799999999995,-2.84273,-3.4008799999999995,0.2999999999999998
CENTRAL,16,1,-2.3927300000000002,-3.4008799999999995,0.0,1.0,0.0,-2.54273,-3.4008799999999995,-2.24273,-3.4008799999999995,0.30000000000000027
CENTRAL,17,1,-1.7927300000000002,-3.4008799999999995,0.0,1.0,0.0,-1.94273,-3.4008799999999995,-1.6427300000000002,-3.4008799999999995,0.2999999999999998
CENTRAL,18,2,-1.1927299999999996,-3.4008799999999995,0.0,1.0,0.0,-1.34273,-3.4008799999999995,-1.0427299999999995,-3.4008799999999995,0.3000000000000005
CENTRAL,19,2,-0.59273,-3.4008799999999995,0.0,1.0,0.0,-0.7427299999999999,-3.4008799999999995,-0.44273,-3.4008799999999995,0.2999999999999999
CENTRAL,20,2,0.007269999999999652,-3.4008799999999995,0.0,1.0,0.0,-0.1427300000000002,-3.4008799999999995,0.1572699999999995,-3.4008799999999995,0.2999999999999997
CENTRAL,21,3,0.6072700000000002,-3.4008799999999995,0.0,1.0,0.0,0.4572700000000003,-3.4008799999999995,0.7572700000000001,-3.4008799999999995,0.2999999999999998
CENTRAL,22,3,1.2072699999999998,-3.4008799999999995,0.0,1.0,0.0,1.05727,-3.4008799999999995,1.3572699999999998,-3.4008799999999995,0.2999999999999998
CENTRAL,23,3,1.8072699999999995,-3.4008799999999995,0.0,1.0,0.0,1.6572699999999996,-3.4008799999999995,1.9572699999999996,-3.4008799999999995,0.30000000000000004
CENTRAL,24,0,-4.792730000000001,-3.100879999999999,0.0,1.0,0.0,-4.94273,-3.100879999999999,-4.64273,-3.100879999999999,0.2999999999999998
CENTRAL,25,0,-4.19273,-3.100879999999999,0.0,1.0,0.0,-4.34273,-3.100879999999999,-4.04273,-3.100879999999999,0.3000000000000007
CENTRAL,26,0,-3.59273,-3.100879999999999,0.0,1.0,0.0,-3.74273,-3.100879999999999,-3.44273,-3.100879999999999,0.2999999999999998
CENTRAL,27,1,-2.99273,-3.100879999999999,0.0,1.0,0.0,-3.14273,-3.100879999999999,-2.84273,-3.100879999999999,0.2999999999999998
CENTRAL,28,1,-2.3927300000000002,-3.100879999999999,0.0,1.0,0.0,-2.54273,-3.100879999999999,-2.24273,-3.100879999999999,0.30000000000000027
CENTRAL,29,1,-1.7927300000000002,-3.100879999999999,0.0,1.0,0.0,-1.94273,-3.100879999999999,-1.6427300000000002,-3.100879999999999,0.2999999999999998
CENTRAL,30,2,-1.1927299999999996,-3.100879999999999,0.0,1.0,0.0,-1.34273,-3.100879999999999,-1.0427299999999995,-3.100879999999999,0.3000000000000005
CENTRAL,31,2,-0.59273,-3.100879999999999,0.0,1.0,0.0,-0.7427299999999999,-3.100879999999999,-0.44273,-3.100879999999999,0.2999999999999999
CENTRAL,32,2,0.007269999999999652,-3.100879999999999,0.0,1.0,0.0,-0.1427300000000002,-3.100879999999999,0.1572699999999995,-3.100879999999999,0.2999999999999997
CENTRAL,33,3,0.6072700000000002,-3.100879999999999,0.0,1.0,0.0,0.4572700000000003,-3.100879999999999,0.7572700000000001,-3.100879999999999,0.2999999999999998
CENTRAL,34,3,1.2072699999999998,-3.100879999999999,0.0,1.0,0.0,1.05727,-3.100879999999999,1.3572699999999998,-3.100879999999999,0.2999999999999998
CENTRAL,35,3,1.8072699999999995,-3.100879999999999,0.0,1.0,0.0,1.6572699999999996,-3.100879999999999,1.9572699999999996,-3.100879999999999,0.30000000000000004
CENTRAL,36,0,-4.792730000000001,-2.80088,0.0,1.0,0.0,-4.94273,-2.80088,-4.64273,-2.80088,0.2999999999999998
