panel,pair_index,x_band,source_x_mean_abs,source_x_rms,source_x_max_abs,source_x_median_abs,source_x_cosine,source_y_mean_abs,source_y_rms,source_y_max_abs,source_y_median_abs,source_y_cosine,probe_x_mean_abs,probe_x_rms,probe_x_max_abs,probe_x_median_abs,probe_x_cosine,probe_y_mean_abs,probe_y_rms,probe_y_max_abs,probe_y_median_abs,probe_y_cosine,euclidean_mean_abs,euclidean_rms,euclidean_max_abs,euclidean_median_abs,euclidean_cosine,geodesic_mean_abs,geodesic_rms,geodesic_max_abs,geodesic_median_abs,geodesic_cosine,los_mean_abs,los_rms,los_max_abs,los_median_abs,los_cosine,disconnected_mean_abs,disconnected_rms,disconnected_max_abs,disconnected_median_abs,disconnected_cosine,probe_centroid_x,probe_centroid_y,probe_spread_x,probe_spread_y,los_disagreement_fraction
CENTRAL,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.003796481434613058,0.0006074778628861188,0.0005710930874460729,0.019929260355226908,0.00013418677051957317,0.0044771525016920055,0.003616979024250455,0.0,0.0,0.00019025657981541766,0.03333333333333333,0.18257418583505536,1.0,0.0,-0.057190958417936755,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.03333333333333333
CENTRAL,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.014425064995730513,0.012685322981017433,0.0004744849632691839,0.024296432486150044,2.6624198177449543e-05,0.02562097167005073,0.016441806669212966,0.0,0.0,0.00012337697901854128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.015234142105729737,-0.010945284355936724,0.0015816310600795802,-0.01662640752580047,-5.3743450632359746e-05,0.013096440627115125,0.00877676390953619,0.0,0.0,0.0001556167492886562,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.05131670194948623,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.007910015836272544,-0.008329171752066128,0.0018959514640979336,-0.024249167838759078,-8.399778690870718e-05,0.004142135623730947,0.0011809386405398081,0.0,0.0,-3.55219104908322e-06,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.0425728922436619,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.01416484254103123,-0.010220922909622565,0.0023136521217974604,-0.005035858587707498,-6.959482560675578e-05,0.00023689270621832237,-0.0021358079773460825,0.0,0.0,-2.5087095264497705e-05,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.003708199164260184,-0.005014019349324911,0.002885254147193095,0.0023402799287441933,-8.767244474483515e-05,0.004142135623730808,0.0011809386405396138,0.0,0.0,-8.284541866854234e-05,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.0
CENTRAL,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.00185852880304338,-0.0030728198151662445,0.0036960849091025594,-0.0014400211734801882,-5.136842131092667e-05,-0.009526214587563503,-0.014844299517669551,0.0,-5.551115123125783e-17,-2.7261939405054392e-05,-0.03333333333333333,-0.07562470391210574,0.0,0.0,0.03160700798378657,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
CENTRAL,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,-0.007810564478260312,-0.0021674910165926653,0.004899208286623935,-0.006191414853965016,1.968340090341414e-05,-0.009999999999999953,-0.008290289038375226,0.0,0.0,-0.0001436681766737724,0.06666666666666668,0.13365358018178258,0.0,0.0,-0.08291926573145225,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,0.06666666666666668
CENTRAL,18,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.00949333687316603,0.004928390843603164,0.0067906978737251045,0.012253819924497256,4.00040906932686e-05,-0.010335016877961234,-0.013308384896605935,-4.440892098500626e-16,-4.440892098500626e-16,-0.00012298635234098132,-0.06666666666666667,-0.2581988897471611,-1.0,0.0,0.08333333333333337,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.06666666666666667
CENTRAL,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3306690738754696e-16,0.005137756506744584,0.005788197822257146,0.004899208286624379,-0.005058936675808201,9.846151112913315e-05,0.00023689270621815584,-0.003408857979840141,0.0,0.0,-9.259203870581878e-05,-0.03333333333333333,-0.18257418583505536,-1.0,0.0,0.042572892243661675,0.0,0.0,0.0,0.0,-1.0,-0.4933333333333336,0.17999999999999994,0.07529631521932956,0.04638719544418901,-0.03333333333333333
