cell_index,grid_i,grid_j,x,y,occupancy
226,10,8,-2.2427301406860352,-4.9008798599243164,Free
227,11,8,-1.942730188369751,-4.9008798599243164,Free
228,12,8,-1.6427299976348877,-4.9008798599243164,Free
229,13,8,-1.3427300453186035,-4.9008798599243164,Free
230,14,8,-1.0427298545837402,-4.9008798599243164,Free
231,15,8,-0.74273014068603516,-4.9008798599243164,Free
232,16,8,-0.44272994995117188,-4.9008798599243164,Free
233,17,8,-0.1427302360534668,-4.9008798599243164,Obstacle
234,18,8,0.15726995468139648,-4.9008798599243164,Obstacle
235,19,8,0.45727014541625977,-4.9008798599243164,Obstacle
236,20,8,0.75726985931396484,-4.9008798599243164,Obstacle
237,21,8,1.0572700500488281,-4.9008798599243164,Obstacle
238,22,8,1.3572702407836914,-4.9008798599243164,Obstacle
239,23,8,1.6572699546813965,-4.9008798599243164,Obstacle
240,24,8,1.9572701454162598,-4.9008798599243164,Obstacle
241,25,8,2.2572698593139648,-4.9008798599243164,Obstacle
242,26,8,2.5572700500488281,-4.9008798599243164,Obstacle
243,0,9,-5.2427301406860352,-4.6008796691894531,Obstacle
244,1,9,-4.9427304267883301,-4.6008796691894531,Obstacle
245,2,9,-4.6427302360534668,-4.6008796691894531,Obstacle
246,3,9,-4.3427300453186035,-4.6008796691894531,Obstacle
247,4,9,-4.0427303314208984,-4.6008796691894531,Obstacle
248,5,9,-3.7427301406860352,-4.6008796691894531,Obstacle
249,6,9,-3.442730188369751,-4.6008796691894531,Obstacle
250,7,9,-3.1427302360534668,-4.6008796691894531,Obstacle
251,8,9,-2.8427300453186035,-4.6008796691894531,Obstacle
252,9,9,-2.5427300930023193,-4.6008796691894531,Obstacle
253,10,9,-2.2427301406860352,-4.6008796691894531,Obstacle
254,11,9,-1.942730188369751,-4.6008796691894531,Obstacle
255,12,9,-1.6427299976348877,-4.6008796691894531,Free
256,13,9,-1.3427300453186035,-4.6008796691894531,Obstacle
257,14,9,-1.0427298545837402,-4.6008796691894531,Obstacle
258,15,9,-0.74273014068603516,-4.6008796691894531,Obstacle
259,16,9,-0.44272994995117188,-4.6008796691894531,Obstacle
260,17,9,-0.1427302360534668,-4.6008796691894531,Obstacle
261,18,9,0.15726995468139648,-4.6008796691894531,Obstacle
262,19,9,0.45727014541625977,-4.6008796691894531,Obstacle
263,20,9,0.75726985931396484,-4.6008796691894531,Obstacle
264,21,9,1.0572700500488281,-4.6008796691894531,Obstacle
265,22,9,1.3572702407836914,-4.6008796691894531,Obstacle
266,23,9,1.6572699546813965,-4.6008796691894531,Obstacle
267,24,9,1.9572701454162598,-4.6008796691894531,Obstacle
268,25,9,2.2572698593139648,-4.6008796691894531,Obstacle
269,26,9,2.5572700500488281,-4.6008796691894531,Obstacle
270,0,10,-5.2427301406860352,-4.300879955291748,Obstacle
271,1,10,-4.9427304267883301,-4.300879955291748,Obstacle
272,2,10,-4.6427302360534668,-4.300879955291748,Obstacle
273,3,10,-4.3427300453186035,-4.300879955291748,Obstacle
274,4,10,-4.0427303314208984,-4.300879955291748,Obstacle
275,5,10,-3.7427301406860352,-4.300879955291748,Obstacle
276,6,10,-3.442730188369751,-4.300879955291748,Obstacle
277,7,10,-3.1427302360534668,-4.300879955291748,Obstacle
278,8,10,-2.8427300453186035,-4.300879955291748,Obstacle
279,9,10,-2.5427300930023193,-4.300879955291748,Obstacle
280,10,10,-2.2427301406860352,-4.300879955291748,Obstacle
