world_id,house,controlled_carrier_id,route_index,stop_id,action_id,member_hit_count,observed_event,world_audit_sha256
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,6,H01_route01_stop06,8,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,7,H01_route01_stop07,7,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,8,H01_route01_stop08,8,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,9,H01_route01_stop09,8,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,10,H01_route01_stop10,8,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,11,H01_route01_stop11,2,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,12,H01_route01_stop12,2,0,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,13,H01_route01_stop13,6,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,14,H01_route01_stop14,8,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_06,H01,quadtree_12_0_2_2,1,15,H01_route01_stop15,8,1,908d45d089ba5ef2e7c4328f9d146f7b97f3db7433c06b220fc6299ee16c4f7a
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,1,H01_route02_stop01,0,0,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,2,H01_route02_stop02,0,0,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,3,H01_route02_stop03,2,0,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,4,H01_route02_stop04,2,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,5,H01_route02_stop05,0,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,6,H01_route02_stop06,8,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,7,H01_route02_stop07,8,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,8,H01_route02_stop08,8,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,9,H01_route02_stop09,8,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,10,H01_route02_stop10,2,0,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,11,H01_route02_stop11,3,0,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,12,H01_route02_stop12,7,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,13,H01_route02_stop13,8,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,14,H01_route02_stop14,8,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_07,H01,quadtree_14_32_2_2,2,15,H01_route02_stop15,6,1,985e077c23a15286994672e6589f4cb8bc4ec7013878bcd34118c39f53226555
M2_CAL_H01_08,H01,quadtree_14_24_2_2,4,1,H01_route04_stop01,0,0,d23dc5b657483ed0965091b74bbd01b2381740fcff5ce2d97d64022cecab5bb8
M2_CAL_H01_08,H01,quadtree_14_24_2_2,4,2,H01_route04_stop02,5,0,d23dc5b657483ed0965091b74bbd01b2381740fcff5ce2d97d64022cecab5bb8
M2_CAL_H01_08,H01,quadtree_14_24_2_2,4,3,H01_route04_stop03,8,1,d23dc5b657483ed0965091b74bbd01b2381740fcff5ce2d97d64022cecab5bb8
M2_CAL_H01_08,H01,quadtree_14_24_2_2,4,4,H01_route04_stop04,8,1,d23dc5b657483ed0965091b74bbd01b2381740fcff5ce2d97d64022cecab5bb8
