panel,pair_index,protocol,fold,source_direction,source_id,replicate_index,model,truth_margin,two_class_nll,brier,accuracy
CENTRAL,0,P_E2,3,1,pmfs_2_12,3,FULL,1.6810787591071286,0.1707321852290575,0.04926828515368624,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,7,FULL,2.260201217687939,0.09923835414601835,0.017850353570027785,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,11,FULL,2.919625229965373,0.05254871464499842,0.005241221439555299,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,15,FULL,2.7595057911105556,0.06139896235597431,0.00709289055861401,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,3,BLOCK_PRODUCT,7.210023141373348,0.0007388670210716066,1.0910425660689504e-06,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,7,BLOCK_PRODUCT,-5.086299775568257,5.0924616006236025,1.9755039501741318,0.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,11,BLOCK_PRODUCT,3.8033651407650773,0.022050703950867927,0.0009512967454940272,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,15,BLOCK_PRODUCT,2.343635399750699,0.09164719245654813,0.015338059293523717,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,3,BLOCK_PRODUCT,1.2389003920026802,0.25441165083076434,0.10091497936521683,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,7,BLOCK_PRODUCT,1.650368585620015,0.1756150641527182,0.05188009341253366,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,11,BLOCK_PRODUCT,3.1074213920865006,0.043745185471365425,0.003664050774651215,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,15,BLOCK_PRODUCT,3.002962086830692,0.04844707003141731,0.004473111027353194,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,3,MATCHED_BLOCK_DIAG,2.9106987692286523,0.05300761743763851,0.005330737979093891,1.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,7,MATCHED_BLOCK_DIAG,-5.235991649571641,5.241299084944868,1.9788825363652398,0.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,11,MATCHED_BLOCK_DIAG,-2.2585935414905016,2.3579838884798345,1.6394592905378753,0.0
CENTRAL,0,P_E2,3,0,pmfs_1_12,15,MATCHED_BLOCK_DIAG,0.7114397130490282,0.39940470100556796,0.21685168301223703,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,3,MATCHED_BLOCK_DIAG,1.857710720192621,0.14499121699686632,0.03643386084258735,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,7,MATCHED_BLOCK_DIAG,-2.7514227420271737,2.8133049003635167,1.7671761266384942,0.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,11,MATCHED_BLOCK_DIAG,1.2655734504749034,0.24848180306776801,0.09681403296833545,1.0
CENTRAL,0,P_E2,3,1,pmfs_2_12,15,MATCHED_BLOCK_DIAG,2.0852434465552143,0.1171400393864881,0.02443790688563856,1.0
