panel,pair_index,protocol,source0_id,source1_id,distance_m,target_count,full_nll,bp_nll,mbd_nll,delta_bp,delta_mbd,full_accuracy,full_brier,block_product_accuracy,block_product_brier,matched_block_diag_accuracy,matched_block_diag_brier
CENTRAL,6,P_G1A,pmfs_13_12,pmfs_14_12,0.3000000000000005,32,0.23886973426727215,0.6692205136745666,0.37513994439880854,0.43035077940729444,0.1362702101315364,0.875,0.1655819518571781,0.6875,0.41548324317529667,0.75,0.27290727689578276
CENTRAL,6,P_E2,pmfs_13_12,pmfs_14_12,0.3000000000000005,32,0.4494814437008858,0.6276240656087215,0.6113055109388539,0.17814262190783575,0.1618240672379681,0.78125,0.3069450918423613,0.71875,0.3758765292817339,0.75,0.35934313903446036
CENTRAL,7,P_G1A,pmfs_15_12,pmfs_16_12,0.2999999999999999,32,3.0414394008538954,1.3397354838241187,1.341603727049614,-1.7017039170297767,-1.6998356738042815,0.8125,0.3087943662710547,0.84375,0.3191704891738516,0.84375,0.3117471454004133
CENTRAL,7,P_E2,pmfs_15_12,pmfs_16_12,0.2999999999999999,32,0.6168449516988648,1.3026752465521596,1.3617014129981873,0.6858302948532948,0.7448564612993225,0.8125,0.31238973156215327,0.8125,0.32111973485493395,0.84375,0.3157577674362328
CENTRAL,8,P_G1A,pmfs_17_12,pmfs_18_12,0.2999999999999997,32,0.988281969187045,5.643384119322572,1.5663709693607826,4.6551021501355265,0.5780890001737375,0.59375,0.6125773453686737,0.53125,0.7686406794154421,0.53125,0.7098076673607788
CENTRAL,8,P_E2,pmfs_17_12,pmfs_18_12,0.2999999999999997,32,1.2336535192339908,2.2629852688587073,3.225449664172058,1.0293317496247165,1.9917961449380672,0.65625,0.6547081337037416,0.5625,0.8261553676408864,0.53125,0.8874016464523851
CENTRAL,9,P_G1A,pmfs_19_12,pmfs_20_12,0.2999999999999998,32,4.19556956611441,4.367563644368129,5.205274575807853,0.17199407825371882,1.0097050096934428,0.5625,0.6335592123594513,0.5,0.6784880386390986,0.5,0.7093539971838246
CENTRAL,9,P_E2,pmfs_19_12,pmfs_20_12,0.2999999999999998,32,1.4793931313511677,3.166669141318592,2.80415487517675,1.6872760099674244,1.3247617438255825,0.5625,0.7052992620221229,0.5625,0.7408644554981939,0.5625,0.7062814850417181
CENTRAL,10,P_G1A,pmfs_21_12,pmfs_22_12,0.2999999999999998,32,31.230146019866346,20.84709779150294,24.457835554885275,-10.383048228363407,-6.7723104649810715,0.9375,0.1403801579789955,0.90625,0.17695012143730254,0.875,0.241205566402685
CENTRAL,10,P_E2,pmfs_21_12,pmfs_22_12,0.2999999999999998,32,62.21231240795608,69.13736536964316,61.10180337834826,6.925052961687086,-1.1105090296078188,0.875,0.2485259454180286,0.9375,0.10059606683570854,0.84375,0.3122988860982134
CENTRAL,11,P_G1A,pmfs_23_12,pmfs_24_12,0.30000000000000004,32,2.5717611296123573,5.613040923963173,4.6743990206959785,3.041279794350816,2.102637891083621,0.59375,0.6530013477780049,0.65625,0.6123269335536199,0.625,0.5924173825424706
CENTRAL,11,P_E2,pmfs_23_12,pmfs_24_12,0.30000000000000004,32,5.06859984015354,4.93369595400231,4.764752068997924,-0.13490388615123017,-0.303847771155616,0.46875,0.8554705174730515,0.59375,0.6217472786871302,0.59375,0.684670811184789
CENTRAL,12,P_G1A,pmfs_1_13,pmfs_2_13,0.2999999999999998,32,22.927827065564962,29.56461955286155,28.367587531576078,6.636792487296589,5.439760466011116,0.4375,0.9266151915961311,0.4375,0.9501667402799905,0.4375,0.9103540914793693
CENTRAL,12,P_E2,pmfs_1_13,pmfs_2_13,0.2999999999999998,32,25.748343521674016,37.88608006931998,29.542782615490285,12.137736547645964,3.794439093816269,0.90625,0.19117358742538118,0.90625,0.18750000000001077,0.90625,0.20270635801675946
CENTRAL,13,P_G1A,pmfs_3_13,pmfs_4_13,0.3000000000000007,32,17.27130704809302,12.661655039761799,14.295455817211378,-4.6096520083312225,-2.975851230881643,0.875,0.24292424947749067,0.875,0.23164028276856108,0.84375,0.2921320716405005
CENTRAL,13,P_E2,pmfs_3_13,pmfs_4_13,0.3000000000000007,32,9.94907125030134,10.256655922119952,13.372647010426453,0.3075846718186117,3.4235757601251127,0.6875,0.530613635057491,0.625,0.5940478776297351,0.625,0.5147810497029838
CENTRAL,14,P_G1A,pmfs_5_13,pmfs_6_13,0.2999999999999998,32,0.3381549245861999,0.19674617683384346,0.09012298192108423,-0.14140874775235643,-0.24803194266511566,0.96875,0.06858497413831238,0.84375,0.14298339975018387,0.96875,0.056164023366325075
