panel,pair_index,delta_bp_p_g1a,delta_bp_p_e2,probe_effect_bp,delta_mbd_p_g1a,delta_mbd_p_e2,probe_effect_mbd,bp_sign_agreement,mbd_sign_agreement
CENTRAL,57,0.02709747816643792,7.7047796784014215,7.677682200234984,0.020481901004899362,0.22313317842900826,0.2026512774241089,True,True
CENTRAL,58,0.8753320214222371,17.01689104240094,16.1415590209787,1.8135392006328712,1.6623711867610318,-0.15116801387183942,True,True
CENTRAL,59,17.404094278506808,7.213827259027877,-10.19026701947893,2.5993947293260504,9.245535619799735,6.646140890473685,True,True
CENTRAL,60,-0.0011206973502459147,0.0947801690323129,0.09590086638255882,-0.0010280747985830757,0.010434589777029275,0.01146266457561235,False,False
CENTRAL,61,1.1077871305576623,-0.8144615559933963,-1.9222486865510586,1.0760737666543656,1.0736983541933296,-0.0023754124610360083,False,True
CENTRAL,62,-37.070297714652966,-79.29614090898228,-42.225843194329315,31.207888557863726,-6.044554248380507,-37.25244280624423,True,False
CENTRAL,63,0.3212047614216463,0.4594431625507511,0.13823840112910485,0.2256359424450038,0.8869815608325178,0.6613456183875139,True,True
CENTRAL,64,-407.8321613218734,0.5763745440326509,408.40853586590606,202.05668503805123,0.13598853381152937,-201.9206965042397,False,True
CENTRAL,65,3.044464094165307e-08,-5.347509684645824e-10,-3.097939191011765e-08,-3.049834967546139e-12,-5.28718766160254e-09,-5.284137826634994e-09,False,True
CENTRAL,66,2.207847274214657e-05,-5.3139320882585555,-5.313954166731298,-4.622271594463873e-07,-5.023812965105514,-5.0238125028783545,False,True
CENTRAL,67,0.558720799553732,0.31938291589202766,-0.23933788366170433,0.5368567024667092,0.2782636333021232,-0.258593069164586,True,True
CENTRAL,68,0.3619622468915643,1.0011692842175872,0.6392070373260229,0.5133466988222355,1.5050610158421893,0.9917143170199538,True,True
CENTRAL,69,147.39806553173744,0.480375416668773,-146.91769011506867,-0.024048538344351778,0.6032890125211273,0.627337550865479,True,False
CENTRAL,70,-1.010220536938629,-0.04632386330777799,0.963896673630851,-3.8151322739889064,0.07227724438496236,3.8874095183738686,True,False
CENTRAL,71,0.3182093683880257,0.017093905712156743,-0.301115462675869,0.5599818590380704,0.05458820306384721,-0.5053936559742231,True,True
CENTRAL,72,0.032641166389531726,0.16471982963764015,0.1320786632481084,0.001409769318339086,0.23806081107370647,0.2366510417553674,True,True
CENTRAL,73,13.550665428837517,-2.585726949537351,-16.136392378374868,0.7428439717009567,1.0173586771843475,0.27451470548339074,False,True
CENTRAL,74,23.83171759944823,-0.28732585946459555,-24.119043458912824,0.9865387970018809,0.8486141932182871,-0.13792460378359372,False,True
CENTRAL,75,0.5484597278757858,-0.0043094405595294205,-0.5527691684353152,0.7681284119144901,0.4331332808520494,-0.3349951310624407,False,True
CENTRAL,76,-47.315555479516206,12.74413713043432,60.059692609950524,636.5936629012795,7.94990971159295,-628.6437531896865,False,True
CENTRAL,77,6.411961931252996e-12,4.296667109344251e-11,3.655470916218951e-11,-4.855720961434612e-15,-7.099949322230951e-18,4.848621012112381e-15,True,True
CENTRAL,78,-255.8358790077035,-64.24266899145174,191.59321001625176,52.69773633642785,2.629824700506532,-50.06791163592132,True,True
CENTRAL,79,0.22322303185650472,0.13968922176509957,-0.08353381009140515,0.45666819780858425,0.5226513073284436,0.0659831095198593,True,True
CENTRAL,80,3.6315298004502905,0.607246561297236,-3.0242832391530543,2.5614476114213565,1.7431803372054133,-0.8182672742159431,True,True
CENTRAL,81,0.36749311405696927,0.6546843156908393,0.28719120163387,0.6397759681988955,2.051868732685085,1.4120927644861894,True,True
CENTRAL,82,3.3622290190718385,-0.00035517323181162894,-3.36258419230365,0.00806111189882774,-0.00034786082520694213,-0.008408972724034684,False,False
CENTRAL,83,-32.419260121034334,-11.231148640792298,21.188111480242036,-10.10818696580504,-9.038628655041215,1.0695583107638242,True,True
OFFSTRIP,0,1.2257114874048143,2.0574426297611907,0.8317311423563765,1.8222088001571124,1.592400236910065,-0.22980856324704746,True,True
OFFSTRIP,1,2.45743011843412,-23.966567951669575,-26.423998070103693,8.073168974055687,-1.0086406915473276,-9.081809665603014,False,False
OFFSTRIP,2,-13.373015470352975,-1.6452384472190182,11.727777023133957,1.5535925877542454,0.2656854849910997,-1.2879071027631457,True,True
