cell_index,u,v
114,-2.240799949504435e-05,1.2589999641932081e-05
115,-3.0726998375030234e-05,1.808600063668564e-05
116,-4.1631999920355156e-05,2.8185000701341778e-05
117,-5.6698001571930945e-05,4.207000165479258e-05
118,-7.609200110891834e-05,5.5962998885661364e-05
119,-9.84779981081374e-05,6.097900040913373e-05
120,-0.00011886999709531665,4.8556001274846494e-05
121,-0.00012521000462584198,2.2616999558522366e-05
122,-0.00010001000191550702,5.87070007895818e-06
136,2.199300070060417e-06,2.7759000658988953e-05
137,1.9767999219766352e-06,2.2739999621990137e-05
138,1.0129999736818718e-06,1.8238000848214142e-05
139,-1.1160000212839805e-06,1.4862000170978718e-05
140,-4.798399913852336e-06,1.3732999832427595e-05
141,-1.003499983198708e-05,1.6563000826863572e-05
142,-1.6902000425034203e-05,2.5597999410820194e-05
143,-2.663099985511508e-05,4.323900066083297e-05
144,-4.2112998926313594e-05,7.027399988146499e-05
145,-6.710000161547214e-05,0.00010025999654317275
146,-0.00010425000073155388,0.00011542999709490687
147,-0.00014493000344373286,9.85570004559122e-05
148,-0.0001642400020500645,5.36539992026519e-05
149,-0.00013235000369604677,1.0099999599333387e-05
163,8.38879986986285e-06,2.4782000764389522e-05
164,9.786500413611066e-06,2.10170001082588e-05
165,9.898600183078088e-06,1.740100015013013e-05
166,8.794900168140884e-06,1.4960999578761403e-05
167,6.284300070547033e-06,1.4958999599912204e-05
168,2.7198000225325814e-06,1.9388999135117047e-05
169,-1.2714000376945478e-06,3.185300010954961e-05
170,-5.995199899189174e-06,5.7959998230217025e-05
171,-1.4938999811420217e-05,0.00010286999895470217
172,-3.826900137937628e-05,0.0001605400029802695
173,-9.128300007432699e-05,0.00020008999854326248
174,-0.00016453000716865063,0.00017865000700112432
175,-0.0002019300009123981,9.679600043455139e-05
176,-0.00014606000331696123,1.4105000445852056e-05
177,-6.519800081150606e-05,-3.266299972892739e-05
178,-3.1339000997832045e-05,-9.210199641529471e-05
190,1.3867999768990558e-05,1.9704000806086697e-05
191,1.6145999325090088e-05,1.7751999621395953e-05
192,1.7697999282972887e-05,1.4899999769113492e-05
193,1.7598000340512954e-05,1.313600023422623e-05
194,1.583099947310984e-05,1.3681999917025678e-05
195,1.33379999169847e-05,1.8233000446343794e-05
196,1.2311000318732113e-05,3.097200169577263e-05
197,1.6251000488409773e-05,6.104500062065199e-05
