shuffle,mean_nll,median_truth_rank,top1,top3
41,3.3516467625554225,1.0,0.78125,0.9513888888888888
42,3.615658059809301,1.0,0.7465277777777778,0.9444444444444444
43,3.8389586142165655,1.0,0.7534722222222222,0.9479166666666666
44,3.463691501913046,1.0,0.7534722222222222,0.9513888888888888
45,3.015132400469567,1.0,0.7708333333333334,0.9513888888888888
46,2.8572667852255353,1.0,0.7569444444444444,0.9548611111111112
47,3.0922135714569436,1.0,0.7673611111111112,0.9513888888888888
48,3.3324336485636206,1.0,0.7604166666666666,0.9548611111111112
49,2.9727191021681554,1.0,0.7430555555555556,0.9618055555555556
50,3.064450948407833,1.0,0.7638888888888888,0.9652777777777778
51,3.5212155742328255,1.0,0.7534722222222222,0.9548611111111112
52,3.3195081865729374,1.0,0.7395833333333334,0.9479166666666666
53,3.1278131998360887,1.0,0.75,0.9479166666666666
54,3.4416484879105105,1.0,0.7430555555555556,0.9444444444444444
55,3.116522691083528,1.0,0.7534722222222222,0.9513888888888888
56,3.4699069443099217,1.0,0.75,0.9479166666666666
57,3.0300594666321357,1.0,0.7743055555555556,0.9548611111111112
58,3.042253117486648,1.0,0.7569444444444444,0.9444444444444444
59,3.249294201262404,1.0,0.7604166666666666,0.9409722222222222
60,3.870640308353425,1.0,0.7430555555555556,0.9479166666666666
61,3.010869884838523,1.0,0.7673611111111112,0.9583333333333334
62,2.692342136605768,1.0,0.7673611111111112,0.9583333333333334
63,2.8893015384410834,1.0,0.7638888888888888,0.9548611111111112
64,3.774171683179485,1.0,0.7430555555555556,0.9409722222222222
65,2.942956350547599,1.0,0.75,0.9618055555555556
66,4.029531142335333,1.0,0.7743055555555556,0.9479166666666666
67,3.0978527146215855,1.0,0.7638888888888888,0.9583333333333334
68,2.9283339879003303,1.0,0.7673611111111112,0.9618055555555556
69,3.0734851581251856,1.0,0.7569444444444444,0.9513888888888888
70,3.0075240370909686,1.0,0.7534722222222222,0.9340277777777778
71,2.877292502674509,1.0,0.7638888888888888,0.9583333333333334
72,3.365766116615651,1.0,0.7395833333333334,0.9583333333333334
73,3.1286307077698385,1.0,0.7604166666666666,0.9548611111111112
74,3.2627444505436154,1.0,0.7604166666666666,0.9479166666666666
75,2.9437764092524104,1.0,0.7534722222222222,0.9479166666666666
76,3.7602636753987135,1.0,0.7604166666666666,0.9513888888888888
77,3.134465388921609,1.0,0.7673611111111112,0.9479166666666666
78,3.1496714981966343,1.0,0.7534722222222222,0.9548611111111112
79,3.021272294391745,1.0,0.7569444444444444,0.9444444444444444
80,3.039227817753982,1.0,0.7638888888888888,0.9479166666666666
81,3.5530283364997377,1.0,0.7708333333333334,0.9513888888888888
82,2.959355748569969,1.0,0.7604166666666666,0.9409722222222222
83,3.308332370332224,1.0,0.7743055555555556,0.9583333333333334
84,3.675090537969265,1.0,0.7465277777777778,0.9513888888888888
85,3.787961207092584,1.0,0.7291666666666666,0.9513888888888888
86,3.447883641232606,1.0,0.7673611111111112,0.9375
87,2.8836006974269943,1.0,0.7569444444444444,0.9548611111111112
88,2.928536680102736,1.0,0.75,0.9548611111111112
89,2.9984245251679136,1.0,0.75,0.9513888888888888
90,3.3939384242931947,1.0,0.7638888888888888,0.9548611111111112
91,2.8535004728753037,1.0,0.7430555555555556,0.9548611111111112
92,2.970418677616485,1.0,0.7673611111111112,0.9618055555555556
93,2.7139394333068037,1.0,0.7638888888888888,0.9548611111111112
94,3.2508455345314644,1.0,0.7534722222222222,0.9444444444444444
95,3.513243585543844,1.0,0.7534722222222222,0.9583333333333334
96,3.073455135024871,1.0,0.7708333333333334,0.9548611111111112
97,3.144780388760076,1.0,0.75,0.9479166666666666
98,3.7452570327479426,1.0,0.75,0.9548611111111112
99,2.888754621972685,1.0,0.7638888888888888,0.9548611111111112
100,3.2299240202047894,1.0,0.7569444444444444,0.9513888888888888
101,3.7981948563322954,1.0,0.7465277777777778,0.9583333333333334
102,3.0735836441150783,1.0,0.7743055555555556,0.9548611111111112
103,2.679119899731673,1.0,0.7708333333333334,0.9548611111111112
104,3.4143290745736845,1.0,0.7569444444444444,0.9479166666666666
105,3.476482343210574,1.0,0.7465277777777778,0.9444444444444444
106,3.146167888109721,1.0,0.7361111111111112,0.9548611111111112
107,3.5135353104237064,1.0,0.7673611111111112,0.9444444444444444
108,3.3156100904483123,1.0,0.7569444444444444,0.9548611111111112
109,3.195912026051526,1.0,0.7673611111111112,0.9548611111111112
110,2.7390430254443143,1.0,0.7604166666666666,0.9722222222222222
111,3.1402105660459383,1.0,0.7465277777777778,0.9513888888888888
112,2.731983273611709,1.0,0.7569444444444444,0.9513888888888888
113,3.054545821938726,1.0,0.7569444444444444,0.9375
114,3.0905843329626355,1.0,0.7673611111111112,0.9479166666666666
115,3.0242027376652225,1.0,0.7604166666666666,0.9444444444444444
116,3.3914682576218413,1.0,0.7534722222222222,0.9618055555555556
117,2.9020703668852312,1.0,0.7604166666666666,0.9548611111111112
118,3.5859604301337638,1.0,0.7534722222222222,0.9479166666666666
119,3.3955917797972157,1.0,0.7465277777777778,0.9409722222222222
120,2.8945144983301434,1.0,0.7569444444444444,0.9479166666666666
121,3.386596143550338,1.0,0.75,0.9479166666666666
122,3.569719653031694,1.0,0.7534722222222222,0.9479166666666666
123,3.1977800877624087,1.0,0.7465277777777778,0.9513888888888888
124,3.3421900595474576,1.0,0.7604166666666666,0.9618055555555556
125,3.37864748916292,1.0,0.7708333333333334,0.9479166666666666
126,3.306592879782445,1.0,0.7708333333333334,0.9444444444444444
127,3.0106011054187025,1.0,0.78125,0.9548611111111112
128,3.6567564700038964,1.0,0.7465277777777778,0.9409722222222222
129,3.0556752960042464,1.0,0.7534722222222222,0.9444444444444444
130,3.074527453807301,1.0,0.7569444444444444,0.9444444444444444
131,3.2681830573091513,1.0,0.7708333333333334,0.9479166666666666
132,3.0220044930765164,1.0,0.7638888888888888,0.9479166666666666
133,3.023728809395926,1.0,0.7465277777777778,0.9444444444444444
134,3.5486967102752747,1.0,0.7534722222222222,0.9479166666666666
135,3.5694872778965916,1.0,0.75,0.9479166666666666
136,3.1825847056601324,1.0,0.7465277777777778,0.9618055555555556
137,3.586015031438394,1.0,0.7604166666666666,0.9444444444444444
138,2.8423037288826305,1.0,0.7638888888888888,0.9513888888888888
139,3.0003823141492028,1.0,0.7569444444444444,0.9618055555555556
140,3.130243806982614,1.0,0.7534722222222222,0.9548611111111112
141,2.9853878245714203,1.0,0.7604166666666666,0.9513888888888888
142,3.2270472965104293,1.0,0.7673611111111112,0.9513888888888888
143,3.1550043914045856,1.0,0.7534722222222222,0.9513888888888888
144,3.240316542857988,1.0,0.7534722222222222,0.9409722222222222
145,3.689206109337126,1.0,0.7395833333333334,0.9513888888888888
146,3.202223875064208,1.0,0.7604166666666666,0.9444444444444444
147,3.3484047308065445,1.0,0.7569444444444444,0.9548611111111112
148,3.0209406760856763,1.0,0.7465277777777778,0.9444444444444444
149,3.1488627636851945,1.0,0.75,0.9583333333333334
150,3.6063784252335243,1.0,0.7395833333333334,0.9479166666666666
151,3.27545041523091,1.0,0.7604166666666666,0.9409722222222222
152,2.893434773362613,1.0,0.7638888888888888,0.9513888888888888
153,3.289757673097387,1.0,0.7673611111111112,0.9375
154,2.7724393384007606,1.0,0.7743055555555556,0.9583333333333334
155,2.9970273719905,1.0,0.7361111111111112,0.9548611111111112
156,3.377161683912473,1.0,0.7534722222222222,0.9409722222222222
157,2.9780836552405763,1.0,0.7569444444444444,0.9444444444444444
158,3.2825001901274105,1.0,0.7465277777777778,0.9340277777777778
159,3.214246864194525,1.0,0.7430555555555556,0.9548611111111112
