mode,candidate_id,source_sample,replica,source_x,source_y,score
persistent,quadtree_1_1_5_4,5,6,-5.88145208358764648438,-7.54661417007446289062,0.116949278537239026686
persistent,quadtree_1_1_5_4,5,7,-5.88145208358764648438,-7.54661417007446289062,0.111850339818437578456
persistent,quadtree_1_1_5_4,6,0,-6.36852264404296875,-7.31943988800048828125,0.100126218027501156217
persistent,quadtree_1_1_5_4,6,1,-6.36852264404296875,-7.31943988800048828125,0.0998336813275932459161
persistent,quadtree_1_1_5_4,6,2,-6.36852264404296875,-7.31943988800048828125,0.0892663166233851164346
persistent,quadtree_1_1_5_4,6,3,-6.36852264404296875,-7.31943988800048828125,0.100114244766780039671
persistent,quadtree_1_1_5_4,6,4,-6.36852264404296875,-7.31943988800048828125,0.107060114240379966263
persistent,quadtree_1_1_5_4,6,5,-6.36852264404296875,-7.31943988800048828125,0.0992687715595769192383
persistent,quadtree_1_1_5_4,6,6,-6.36852264404296875,-7.31943988800048828125,0.110820452202589703941
persistent,quadtree_1_1_5_4,6,7,-6.36852264404296875,-7.31943988800048828125,0.104665320871327981815
persistent,quadtree_1_1_5_4,7,0,-6.33885097503662109375,-6.42991924285888671875,0.0828439327339670174421
persistent,quadtree_1_1_5_4,7,1,-6.33885097503662109375,-6.42991924285888671875,0.0782750977507339046105
persistent,quadtree_1_1_5_4,7,2,-6.33885097503662109375,-6.42991924285888671875,0.0760481235185939265938
persistent,quadtree_1_1_5_4,7,3,-6.33885097503662109375,-6.42991924285888671875,0.0791550194001275142641
persistent,quadtree_1_1_5_4,7,4,-6.33885097503662109375,-6.42991924285888671875,0.0802491540262807916825
persistent,quadtree_1_1_5_4,7,5,-6.33885097503662109375,-6.42991924285888671875,0.0787493289938446522624
persistent,quadtree_1_1_5_4,7,6,-6.33885097503662109375,-6.42991924285888671875,0.0811363240961234435589
persistent,quadtree_1_1_5_4,7,7,-6.33885097503662109375,-6.42991924285888671875,0.0813015314311184393174
resampled,quadtree_6_2_2_3,-1,0,nan,nan,0.0984122285979483283887
fixed_center,quadtree_6_2_2_3,-1,0,-5.4500001072883605957,-6.83000007271766662598,0.0986756443755026788555
resampled,quadtree_6_2_2_3,-1,1,nan,nan,0.0947603243206589350179
fixed_center,quadtree_6_2_2_3,-1,1,-5.4500001072883605957,-6.83000007271766662598,0.0991902411896961853593
resampled,quadtree_6_2_2_3,-1,2,nan,nan,0.0862166338726387610549
fixed_center,quadtree_6_2_2_3,-1,2,-5.4500001072883605957,-6.83000007271766662598,0.0888904533060702555281
resampled,quadtree_6_2_2_3,-1,3,nan,nan,0.0935671177164444960582
fixed_center,quadtree_6_2_2_3,-1,3,-5.4500001072883605957,-6.83000007271766662598,0.0995625350752100423849
resampled,quadtree_6_2_2_3,-1,4,nan,nan,0.102855425185467520172
fixed_center,quadtree_6_2_2_3,-1,4,-5.4500001072883605957,-6.83000007271766662598,0.10839495983674236292
resampled,quadtree_6_2_2_3,-1,5,nan,nan,0.0953933313516533697377
fixed_center,quadtree_6_2_2_3,-1,5,-5.4500001072883605957,-6.83000007271766662598,0.0978166498414948192065
resampled,quadtree_6_2_2_3,-1,6,nan,nan,0.100274254386811881782
fixed_center,quadtree_6_2_2_3,-1,6,-5.4500001072883605957,-6.83000007271766662598,0.102658931563254406121
resampled,quadtree_6_2_2_3,-1,7,nan,nan,0.100353182617217358219
fixed_center,quadtree_6_2_2_3,-1,7,-5.4500001072883605957,-6.83000007271766662598,0.101792177179338801286
persistent,quadtree_6_2_2_3,0,0,-5.58935070037841796875,-6.95931768417358398438,0.0968684845322297613082
persistent,quadtree_6_2_2_3,0,1,-5.58935070037841796875,-6.95931768417358398438,0.102214355066915595405
persistent,quadtree_6_2_2_3,0,2,-5.58935070037841796875,-6.95931768417358398438,0.0921721480749351842546
persistent,quadtree_6_2_2_3,0,3,-5.58935070037841796875,-6.95931768417358398438,0.101049055381712057591
persistent,quadtree_6_2_2_3,0,4,-5.58935070037841796875,-6.95931768417358398438,0.113168849694092554621
persistent,quadtree_6_2_2_3,0,5,-5.58935070037841796875,-6.95931768417358398438,0.0975662169538882541594
persistent,quadtree_6_2_2_3,0,6,-5.58935070037841796875,-6.95931768417358398438,0.106413833662395754103
persistent,quadtree_6_2_2_3,0,7,-5.58935070037841796875,-6.95931768417358398438,0.104435023718851388919
persistent,quadtree_6_2_2_3,1,0,-5.560672760009765625,-6.43109989166259765625,0.0869087496949088154517
persistent,quadtree_6_2_2_3,1,1,-5.560672760009765625,-6.43109989166259765625,0.0838979360739710668509
persistent,quadtree_6_2_2_3,1,2,-5.560672760009765625,-6.43109989166259765625,0.0773086373019617043354
persistent,quadtree_6_2_2_3,1,3,-5.560672760009765625,-6.43109989166259765625,0.0834268787094980158409
persistent,quadtree_6_2_2_3,1,4,-5.560672760009765625,-6.43109989166259765625,0.0914119214217479402203
persistent,quadtree_6_2_2_3,1,5,-5.560672760009765625,-6.43109989166259765625,0.0855322401225234182646
persistent,quadtree_6_2_2_3,1,6,-5.560672760009765625,-6.43109989166259765625,0.0917468627769773294699
persistent,quadtree_6_2_2_3,1,7,-5.560672760009765625,-6.43109989166259765625,0.0833336697344704866876
persistent,quadtree_6_2_2_3,2,0,-5.17324066162109375,-7.06399393081665039062,0.102384793224538655372
persistent,quadtree_6_2_2_3,2,1,-5.17324066162109375,-7.06399393081665039062,0.107609384045046623065
persistent,quadtree_6_2_2_3,2,2,-5.17324066162109375,-7.06399393081665039062,0.0951124763784484806808
persistent,quadtree_6_2_2_3,2,3,-5.17324066162109375,-7.06399393081665039062,0.104809119726269303133
persistent,quadtree_6_2_2_3,2,4,-5.17324066162109375,-7.06399393081665039062,0.118622092901282812159
persistent,quadtree_6_2_2_3,2,5,-5.17324066162109375,-7.06399393081665039062,0.106518243967747274375
persistent,quadtree_6_2_2_3,2,6,-5.17324066162109375,-7.06399393081665039062,0.115832583681015724434
persistent,quadtree_6_2_2_3,2,7,-5.17324066162109375,-7.06399393081665039062,0.110611103783076622582
persistent,quadtree_6_2_2_3,3,0,-5.72915172576904296875,-6.64156341552734375,0.0926650969946675533739
persistent,quadtree_6_2_2_3,3,1,-5.72915172576904296875,-6.64156341552734375,0.0892573312119214106527
persistent,quadtree_6_2_2_3,3,2,-5.72915172576904296875,-6.64156341552734375,0.0850821202891742298639
persistent,quadtree_6_2_2_3,3,3,-5.72915172576904296875,-6.64156341552734375,0.0874839910185913800867
persistent,quadtree_6_2_2_3,3,4,-5.72915172576904296875,-6.64156341552734375,0.10257284949841306684
persistent,quadtree_6_2_2_3,3,5,-5.72915172576904296875,-6.64156341552734375,0.0927577643542488466282
persistent,quadtree_6_2_2_3,3,6,-5.72915172576904296875,-6.64156341552734375,0.100943956035604801748
persistent,quadtree_6_2_2_3,3,7,-5.72915172576904296875,-6.64156341552734375,0.0908356163508777580349
persistent,quadtree_6_2_2_3,4,0,-5.16113376617431640625,-7.1801319122314453125,0.101023217081056347737
persistent,quadtree_6_2_2_3,4,1,-5.16113376617431640625,-7.1801319122314453125,0.110089893788939126709
persistent,quadtree_6_2_2_3,4,2,-5.16113376617431640625,-7.1801319122314453125,0.0947566017638667723735
persistent,quadtree_6_2_2_3,4,3,-5.16113376617431640625,-7.1801319122314453125,0.104152126728302970188
persistent,quadtree_6_2_2_3,4,4,-5.16113376617431640625,-7.1801319122314453125,0.123813274493132177717
persistent,quadtree_6_2_2_3,4,5,-5.16113376617431640625,-7.1801319122314453125,0.104872281373203295405
persistent,quadtree_6_2_2_3,4,6,-5.16113376617431640625,-7.1801319122314453125,0.117529070618617878952
persistent,quadtree_6_2_2_3,4,7,-5.16113376617431640625,-7.1801319122314453125,0.111124379275813248559
persistent,quadtree_6_2_2_3,5,0,-5.20258092880249023438,-7.2549610137939453125,0.103348535127572170071
persistent,quadtree_6_2_2_3,5,1,-5.20258092880249023438,-7.2549610137939453125,0.114946219389536910692
