t_sim_s,step,x,y,z,yaw,vx,vy,vz
45.6,229,1.697271385192872,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
45.800000000000004,230,1.62727138519287,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
46.0,231,1.5572713851928732,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
46.2,232,1.4872713851928694,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
46.400000000000006,233,1.417271385192869,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
46.6,234,1.3472713851928724,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
46.800000000000004,235,1.277271385192872,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
47.0,236,1.2072713851928718,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
47.2,237,1.1372713851928715,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
47.400000000000006,238,1.0672713851928712,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
47.6,239,0.997271385192871,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
47.800000000000004,240,0.9272713851928707,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
48.0,241,0.8572713851928739,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
48.2,242,0.7872713851928701,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
48.400000000000006,243,0.7172713851928698,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
48.6,244,0.6472713851928731,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
48.800000000000004,245,0.5772713851928692,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
49.0,246,0.5072713851928725,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
49.2,247,0.43727138519287223,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
49.400000000000006,248,0.36727138519287195,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
49.6,249,0.29727138519287166,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
49.800000000000004,250,0.22727138519287138,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
50.0,251,0.1572713851928711,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
50.2,252,0.08727138519287081,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
50.400000000000006,253,0.017271385192870525,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
50.6,254,-0.05272861480712976,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
50.800000000000004,255,-0.12272861480713004,3.2991199493408203,0.4,3.141592653589793,-0.35,0.0,0.0
