"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-2.1206e-05,-1.2599e-05,-4.1171e-08,9.3518,4.2514,0.23456
-1.4997e-05,-8.8072e-06,-8.0021e-08,9.3541,4.1503,0.13152
-8.1136e-06,-4.2596e-06,-2.5779e-07,9.3545,4.05,0.04001
-1.7787e-05,-1.8027e-05,1.3427e-07,9.4499,4.2538,0.34135
-1.2668e-05,-1.3463e-05,1.1304e-07,9.4563,4.151,0.238
-8.6107e-06,-9.063e-06,1.5518e-08,9.46,4.05,0.13277
-4.5268e-06,-4.4401e-06,-2.9187e-07,9.4587,3.95,0.039898
-1.2193e-05,-2.1022e-05,1.9395e-07,9.5455,4.2563,0.44701
-7.7293e-06,-1.569e-05,2.7408e-07,9.5572,4.1514,0.34621
-5.3297e-06,-1.113e-05,2.151e-07,9.5649,4.05,0.24329
-3.7299e-06,-7.1251e-06,6.3303e-08,9.5689,3.9499,0.13593
-2.1412e-06,-3.6863e-06,4.0127e-08,9.5622,3.85,0.040385
-7.3666e-06,-1.9122e-05,1.2325e-07,9.6464,4.2453,0.5495
-4.4313e-06,-1.2269e-05,1.8113e-07,9.6537,4.146,0.44973
-1.932e-06,-8.0319e-06,2.3435e-07,9.6579,4.0487,0.34988
-1.4152e-06,-5.8512e-06,1.6557e-07,9.6601,3.9497,0.24993
-1.1668e-06,-4.4691e-06,-6.6697e-08,9.6616,3.8502,0.14949
-7.4067e-07,-2.4546e-06,2.6915e-08,9.6559,3.7508,0.054847
-1.9997e-05,5.5119e-06,4.548e-08,9.0501,4.35,0.039884
-2.6064e-05,1.2666e-06,-2.358e-07,9.1501,4.4501,0.039905
-2.8901e-05,-3.0261e-07,-1.4267e-07,9.1505,4.3502,0.13045
-3.1784e-05,-5.824e-06,-2.2243e-07,9.2501,4.5501,0.039925
-3.5339e-05,-8.1792e-06,-2.4573e-07,9.2503,4.4504,0.13061
-3.0309e-05,-8.1822e-06,-2.2917e-07,9.2506,4.351,0.23277
-3.5823e-05,-1.6383e-05,-4.7282e-08,9.3501,4.6501,0.039953
-4.0095e-05,-1.9394e-05,-2.4998e-07,9.35,4.5507,0.13076
-3.4834e-05,-1.7729e-05,-3.2835e-07,9.3496,4.4519,0.23333
-2.8207e-05,-1.5711e-05,-8.7819e-08,9.3492,4.3531,0.33724
-3.6378e-05,-3.0786e-05,-1.2153e-06,9.45,4.7501,0.040024
-4.1372e-05,-3.4429e-05,-3.8769e-07,9.4499,4.6508,0.13096
-3.6484e-05,-2.9977e-05,-3.9214e-07,9.4488,4.5526,0.23377
-3.0495e-05,-2.5497e-05,-1.5745e-07,9.4465,4.4552,0.33835
