step,t_sim_s,iterations,active_observations,relative_change,backward_residual,update_mismatch
45,9,6,1,0.0080727276734955371,2.4537545708876127e-17,0
46,9.1999999999999993,2,1,0.0020314401804482425,1.4085121742039194e-17,0
47,9.4000000000000004,6,1,0.0062241251738207812,1.832383092025957e-17,0
48,9.5999999999999996,2,1,0.0016335838656986055,1.5029351650427925e-17,0
49,9.8000000000000007,6,1,0.0048156058648196219,3.4770926312178924e-17,0
50,10,2,1,0.0012000591078514125,2.9913523520162284e-17,0
51,10.199999999999999,5,1,0.0053289651825233391,5.5724825069513612e-17,0
52,10.4,2,1,0.0018294301300103889,4.9632813120060705e-17,0
53,10.6,8,1,0.0057502147773254202,5.8180909015155526e-17,0
54,10.800000000000001,2,1,0.0014326038952528373,2.7467357435755122e-17,0
55,11,9,1,0.0070422307011379429,7.1022473156213677e-17,0
56,11.199999999999999,2,1,0.0018055513233524042,1.2153164370476386e-16,0
57,11.4,9,1,0.0060943336581038773,1.0019803409258235e-16,0
58,11.6,2,1,0.0015431821156595765,5.2204111439352017e-17,0
59,11.800000000000001,7,1,0.0068100772291300789,1.7953451665106967e-17,0
60,12,2,1,0.0030079729098885619,1.8556396121401847e-17,0
61,12.199999999999999,8,1,0.0036178842592263878,5.1916419785006078e-17,0
62,12.4,2,1,0.0018041541980009959,6.4006410381291121e-17,0
63,12.6,6,1,0.0090750544849366229,1.1098755348013648e-16,0
64,12.800000000000001,2,1,0.002356077967582932,4.7842245265544399e-17,0
65,13,6,1,0.0080727276734953255,2.4535258650124007e-17,0
66,13.199999999999999,2,1,0.0020314401804480903,1.1862452694834827e-17,0
67,13.4,6,1,0.0062241251738211958,1.832414505981647e-17,0
68,13.6,2,1,0.0016335838656980415,1.4953452442862825e-17,0
69,13.800000000000001,6,1,0.0048156058648197095,4.2797998834322485e-17,0
70,14,2,1,0.0012000591078515865,2.2095292756029979e-17,0
71,14.199999999999999,5,1,0.0053289651825225706,4.7128193255533905e-17,0
72,14.4,2,1,0.0018294301300106621,4.9625895048429451e-17,0
73,14.6,8,1,0.0057502147773255052,6.8753569220726472e-17,0
74,14.800000000000001,2,1,0.0014326038952512923,2.1401689492906458e-17,0
75,15,9,1,0.0070422307011390566,5.4101110897765715e-17,0
76,15.199999999999999,2,1,0.0018055513233516251,1.2153162236520172e-16,0
77,15.4,9,1,0.0060943336581031895,9.3904856160888579e-17,0
78,15.6,2,1,0.0015431821156593776,5.2195792339075884e-17,0
79,15.800000000000001,7,1,0.006810077229129902,2.3018115587547016e-17,0
80,16,2,1,0.0030079729098885116,1.8554265407273065e-17,0
81,16.199999999999999,8,1,0.0036178842592264108,4.6314638912396414e-17,0
82,16.399999999999999,2,1,0.001804154198000902,5.8437635683870484e-17,0
83,16.600000000000001,6,1,0.0090750544849369369,1.363254831601729e-16,0
84,16.800000000000001,2,1,0.0023560779675838219,4.7853133547091552e-17,0
85,17,6,1,0.0080727276734952457,2.64536942739591e-17,0
86,17.199999999999999,2,1,0.0020314401804486602,1.6634207646979515e-17,0
87,17.399999999999999,6,1,0.006224125173820939,1.832091217542147e-17,0
88,17.600000000000001,2,1,0.0016335838656975233,1.4959975124191585e-17,0
89,17.800000000000001,6,1,0.0048156058648198092,4.0230072469873847e-17,0
90,18,2,1,0.001200059107851637,2.6843361166669092e-17,0
91,18.199999999999999,5,1,0.0053289651825230051,4.7124218019633476e-17,0
92,18.399999999999999,2,1,0.0018294301300103442,4.414313462329785e-17,0
93,18.600000000000001,8,1,0.0057502147773231573,6.8336913731606543e-17,0
94,18.800000000000001,2,1,0.0014326038952515955,2.7504177365416915e-17,0
95,19,9,1,0.0070422307011391285,6.6633692981525182e-17,0
96,19.199999999999999,2,1,0.0018055513233536408,1.1156732642149828e-16,0
97,19.399999999999999,9,1,0.0060943336581030577,1.0019800160463074e-16,0
98,19.600000000000001,2,1,0.0015431821156596782,6.1369745578174692e-17,0
99,19.800000000000001,7,1,0.0068100772291301223,2.2363568007156426e-17,0
100,20,6,2,0.0092365927762180344,6.3459945428169168e-17,0
101,20.199999999999999,5,3,0.0091300178546838955,1.3060110839353216e-16,0
102,20.399999999999999,5,4,0.0083784109895496117,5.2755006236757699e-17,0
103,20.600000000000001,7,5,0.0066200017576753612,5.7652020498780508e-17,0
104,20.800000000000001,2,5,0.0018181096886566407,4.1218786698196029e-17,0
105,21,7,5,0.0099136950261598938,4.2343479508721529e-17,0
106,21.199999999999999,2,5,0.0082283815095073147,3.5540984205648298e-17,0
107,21.399999999999999,5,5,0.0095911143327417955,4.9758101553575083e-17,0
108,21.600000000000001,2,5,0.0040126525014037373,4.4149120861850031e-17,0
109,21.800000000000001,7,5,0.0044324823843912521,3.9953067497968699e-17,0
110,22,2,5,0.0035802553853237292,4.5394011254658552e-17,0
