run_uuid,source_update_id,candidate_id,origin_i,origin_j,size_i,size_j,center_x,center_y,native_source_x,native_source_y,native_score,hit_map_file
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_26_23_3_4,26,23,3,4,7.4000000953674316,5.7870001792907715,7.0849652290344238,5.3101024627685547,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_26_23_3_4.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_22_12_4_5,22,12,4,5,6.5000004768371582,2.4870004653930664,5.9299540519714355,2.0783777236938477,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_22_12_4_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_26_13_1_5,26,13,1,5,7.1000003814697266,2.7870001792907715,6.9949884414672852,2.3783776760101318,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_26_13_1_5.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_26_7_3_3,26,7,3,3,7.4000000953674316,0.68700015544891357,7.0849652290344238,0.44182664155960083,1.8354566977713118e-05,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_26_7_3_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_21_9_5_1,21,9,5,1,6.2000002861022949,0.98700010776519775,5.6749420166015625,0.90527552366256714,5.3146428670910955e-06,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_21_9_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_23_1_5_1,23,1,5,1,6.8000001907348633,-1.4129999876022339,6.2749419212341309,-1.4947245121002197,5.8531571236397942e-06,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_23_1_5_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_25_19_4_1,25,19,4,1,7.4000000953674316,3.9870004653930664,6.8299541473388672,3.905275821685791,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_25_19_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_29_23_3_4,29,23,3,4,8.3000001907348633,5.7870001792907715,7.9849658012390137,5.3101024627685547,5.1579697984373956e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_29_23_3_4.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_29_7_3_3,29,7,3,3,8.3000001907348633,0.68700015544891357,7.9849658012390137,0.44182664155960083,1.1033450080256345e-06,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_29_7_3_3.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_28_1_4_1,28,1,4,1,8.3000001907348633,-1.4129999876022339,7.7299537658691406,-1.4947245121002197,3.4654536192406752e-06,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_28_1_4_1.f32
HCMC_NATIVE_H03_R2026092222_NAV3_20260922T065119Z,1,quadtree_29_19_5_1,29,19,5,1,8.6000003814697266,3.9870004653930664,8.0749425888061523,3.905275821685791,5.1749715658667591e-33,/home/zyc/hcmc_v1_native_runs_20260922/H03_R2026092222/context_bank/source_update_0001/candidate_maps/snapshot_000001_quadtree_29_19_5_1.f32
