surrogate_id,C1_primary_n_targets,C1_primary_mean_true_rank,C1_primary_median_true_rank,C1_primary_mrr,C1_primary_unique_top1_fraction,C1_primary_top3_fraction,C1_primary_score_tie_target_fraction,C1_robust_n_targets,C1_robust_mean_true_rank,C1_robust_median_true_rank,C1_robust_mrr,C1_robust_unique_top1_fraction,C1_robust_top3_fraction,C1_robust_score_tie_target_fraction,C1_A_first8_to_last8_mean_true_rank,C1_A_first8_to_last8_mrr,C1_B_last8_to_first8_mean_true_rank,C1_B_last8_to_first8_mrr,C1_C_odd_to_even_mean_true_rank,C1_C_odd_to_even_mrr,C1_D_even_to_odd_mean_true_rank,C1_D_even_to_odd_mrr,C2_primary_n_targets,C2_primary_mean_true_rank,C2_primary_median_true_rank,C2_primary_mrr,C2_primary_unique_top1_fraction,C2_primary_top3_fraction,C2_primary_score_tie_target_fraction,C2_robust_n_targets,C2_robust_mean_true_rank,C2_robust_median_true_rank,C2_robust_mrr,C2_robust_unique_top1_fraction,C2_robust_top3_fraction,C2_robust_score_tie_target_fraction,C2_A_first8_to_last8_mean_true_rank,C2_A_first8_to_last8_mrr,C2_B_last8_to_first8_mean_true_rank,C2_B_last8_to_first8_mrr,C2_C_odd_to_even_mean_true_rank,C2_C_odd_to_even_mrr,C2_D_even_to_odd_mean_true_rank,C2_D_even_to_odd_mrr
236,288,1.7777777777777777,1,0.82757016948193418,0.73958333333333337,0.89236111111111116,0,288,1.9097222222222223,1,0.81488403231663031,0.72222222222222221,0.91319444444444442,0,1.8819444444444444,0.81890521991624921,1.6736111111111112,0.83623511904761905,1.9305555555555556,0.84028393764913367,1.8888888888888888,0.78948412698412695,288,1.7326388888888888,1,0.83078638664576165,0.74305555555555558,0.90277777777777779,0,288,1.8576388888888888,1,0.81746238425925932,0.71875,0.90625,0,1.8055555555555556,0.82714516386391379,1.6597222222222223,0.83442760942760941,1.8819444444444444,0.84018270502645498,1.8333333333333333,0.79474206349206344
237,288,1.7951388888888888,1,0.82622240459250262,0.73611111111111116,0.88888888888888884,0,288,1.9166666666666667,1,0.81184583787218578,0.71527777777777779,0.90625,0,1.8819444444444444,0.82341910880513813,1.7083333333333333,0.829025700379867,1.9652777777777777,0.83108254876024479,1.8680555555555556,0.79260912698412689,288,1.71875,1,0.83687104273041768,0.75347222222222221,0.90625,0,288,1.8472222222222223,1,0.81613645324582818,0.71875,0.91319444444444442,0,1.8055555555555556,0.83090673793798797,1.6319444444444444,0.84283534752284739,1.8888888888888888,0.83803323412698416,1.8055555555555556,0.7942396723646723
238,288,1.8055555555555556,1,0.82470812990114462,0.73611111111111116,0.88541666666666663,0,288,1.9097222222222223,1,0.81746408632897594,0.72916666666666663,0.90972222222222221,0,1.9027777777777777,0.81740059028661971,1.7083333333333333,0.83201566951566952,1.9583333333333333,0.83803663826641761,1.8611111111111112,0.79689153439153437,288,1.7604166666666667,1,0.82613608902671409,0.73611111111111116,0.89930555555555558,0,288,1.8576388888888888,1,0.81719211055148555,0.72222222222222221,0.90625,0,1.8541666666666667,0.81800991254116251,1.6666666666666667,0.83426226551226557,1.8958333333333333,0.83786789021164021,1.8194444444444444,0.79651633089133089
239,288,1.8125,1,0.82436090767892234,0.73611111111111116,0.88541666666666663,0,288,1.9027777777777777,1,0.81715613328664793,0.72569444444444442,0.90625,0,1.8958333333333333,0.82168299769402708,1.7291666666666667,0.8270388176638177,1.9375,0.8393883247743541,1.8680555555555556,0.79492394179894177,288,1.7361111111111112,1,0.83401059299496794,0.75,0.90277777777777779,0,288,1.8541666666666667,1,0.81572627314814816,0.71527777777777779,0.90972222222222221,0,1.8194444444444444,0.8330562088374589,1.6527777777777777,0.83496497715247708,1.9027777777777777,0.83208085317460323,1.8055555555555556,0.79937169312169309
240,288,1.8055555555555556,1,0.82615488916040392,0.73958333333333337,0.88194444444444442,0,288,1.9131944444444444,1,0.81732974439775907,0.72916666666666663,0.90277777777777779,0,1.8888888888888888,0.82434503473106413,1.7222222222222223,0.82796474358974359,1.9444444444444444,0.83915684329287266,1.8819444444444444,0.79550264550264549,288,1.7395833333333333,1,0.83389898585211086,0.75,0.89583333333333337,0,288,1.8472222222222223,1,0.81807924425111922,0.72222222222222221,0.90972222222222221,0,1.8263888888888888,0.83225429084804092,1.6527777777777777,0.8355436808561808,1.8888888888888888,0.83902529761904754,1.8055555555555556,0.7971331908831909
241,288,1.8020833333333333,1,0.82800674101225569,0.74305555555555558,0.88541666666666663,0,288,1.9131944444444444,1,0.81385752217553686,0.72222222222222221,0.90625,0,1.8680555555555556,0.8295533680643975,1.7361111111111112,0.82646011396011387,1.9513888888888888,0.83475869514472445,1.875,0.79295634920634916,288,1.7291666666666667,1,0.82905854273041768,0.73611111111111116,0.90972222222222221,0,288,1.8541666666666667,1,0.81738479980667478,0.72222222222222221,0.90972222222222221,0,1.8125,0.8194566718004217,1.6458333333333333,0.83866041366041366,1.8958333333333333,0.83786789021164021,1.8125,0.79690170940170946
242,288,1.8055555555555556,1,0.82491480979532439,0.73611111111111116,0.88888888888888884,0,288,1.8923611111111112,1,0.82038171750181554,0.72916666666666663,0.90972222222222221,0,1.8819444444444444,0.82179873843476781,1.7291666666666667,0.82803088115588119,1.9375,0.84005245616765223,1.8472222222222223,0.80071097883597886,288,1.7256944444444444,1,0.83522587077274568,0.75,0.89930555555555558,0,288,1.8611111111111112,1,0.81601562499999991,0.71875,0.90625,0,1.8055555555555556,0.82935250513375502,1.6458333333333333,0.84109923641173634,1.9027777777777777,0.834395667989418,1.8194444444444444,0.79763558201058204
243,288,1.7951388888888888,1,0.83253923109162076,0.75,0.88541666666666663,0,288,1.9166666666666667,1,0.81742068355119823,0.72916666666666663,0.90625,0,1.8680555555555556,0.83068184028661962,1.7222222222222223,0.83439662189662189,1.9444444444444444,0.84165353641456575,1.8888888888888888,0.79318783068783061,288,1.7326388888888888,1,0.83291105595793091,0.74652777777777779,0.89930555555555558,0,288,1.8541666666666667,1,0.81719211055148555,0.72222222222222221,0.91319444444444442,0,1.8055555555555556,0.8312126241813742,1.6597222222222223,0.83460948773448762,1.9027777777777777,0.83671048280423277,1.8055555555555556,0.79767373829873833
244,288,1.7916666666666667,1,0.82816588453077422,0.73958333333333337,0.89236111111111116,0,288,1.9097222222222223,1,0.81519267429193887,0.72569444444444442,0.90972222222222221,0,1.8611111111111112,0.82836702547180485,1.7222222222222223,0.82796474358974359,1.9375,0.83835492530345457,1.8819444444444444,0.79203042328042328,288,1.7395833333333333,1,0.83088972659285154,0.74305555555555558,0.89930555555555558,0,288,1.8576388888888888,1,0.81671006944444435,0.71875,0.90972222222222221,0,1.8263888888888888,0.82623577232952228,1.6527777777777777,0.8355436808561808,1.9027777777777777,0.83439566798941789,1.8125,0.79902447089947082
245,288,1.7951388888888888,1,0.82584486931913392,0.73611111111111116,0.89236111111111116,0,288,1.8993055555555556,1,0.81844306009440815,0.72916666666666663,0.90625,0,1.8819444444444444,0.82260892361995297,1.7083333333333333,0.82908081501831488,1.9375,0.84276409637929239,1.8611111111111112,0.79412202380952379,288,1.7534722222222223,1,0.82862864855052343,0.73958333333333337,0.89583333333333337,0,288,1.84375,1,0.81948784722222223,0.72222222222222221,0.91319444444444442,0,1.8541666666666667,0.82171361624486616,1.6527777777777777,0.8355436808561808,1.8888888888888888,0.83671048280423277,1.7986111111111112,0.8022652116402117
246,288,1.8055555555555556,1,0.8232407026524674,0.73263888888888884,0.88888888888888884,0,288,1.9270833333333333,1,0.80885173513849973,0.71180555555555558,0.90972222222222221,0,1.8888888888888888,0.81890521991624921,1.7222222222222223,0.82757618538868538,1.9652777777777777,0.83146008403361327,1.8888888888888888,0.78624338624338619,288,1.7395833333333333,1,0.83314253743941236,0.74652777777777779,0.89236111111111116,0,288,1.8541666666666667,1,0.81833043981481479,0.72222222222222221,0.90625,0,1.8263888888888888,0.8301626903189403,1.6527777777777777,0.83612238455988452,1.8958333333333333,0.83555307539682544,1.8125,0.80110780423280425
247,288,1.7986111111111112,1,0.82954443942495404,0.74652777777777779,0.88888888888888884,0,288,1.90625,1,0.81930147058823521,0.73263888888888884,0.90625,0,1.8680555555555556,0.82874318287921223,1.7291666666666667,0.83034569597069596,1.9444444444444444,0.83870214752567696,1.8680555555555556,0.79990079365079358,288,1.7326388888888888,1,0.83198513003200503,0.74305555555555558,0.90625,0,288,1.8576388888888888,1,0.81352719907407411,0.71180555555555558,0.90972222222222221,0,1.8055555555555556,0.82855058714433705,1.6597222222222223,0.8354196729196729,1.9097222222222223,0.82629381613756614,1.8055555555555556,0.80076058201058198
248,288,1.7986111111111112,1,0.82566712461013936,0.73611111111111116,0.88888888888888884,0,288,1.9027777777777777,1,0.81803245603797081,0.72916666666666663,0.90277777777777779,0,1.8888888888888888,0.81601170139773083,1.7083333333333333,0.83532254782254778,1.9444444444444444,0.83870214752567696,1.8611111111111112,0.79736276455026456,288,1.7395833333333333,1,0.83441568558756052,0.75,0.89583333333333337,0,288,1.8715277777777777,1,0.81329571759259256,0.71527777777777779,0.90972222222222221,0,1.8333333333333333,0.82981546809671813,1.6458333333333333,0.83901590307840301,1.9097222222222223,0.83323826058201056,1.8333333333333333,0.79335317460317456
249,288,1.7916666666666667,1,0.82696253059304525,0.73958333333333337,0.88888888888888884,0,288,1.9131944444444444,1,0.81612411168170973,0.72569444444444442,0.90972222222222221,0,1.8819444444444444,0.82179873843476781,1.7013888888888888,0.8321263227513227,1.9583333333333333,0.83466224452744053,1.8680555555555556,0.7975859788359787,288,1.7326388888888888,1,0.83279944881507384,0.74652777777777779,0.89930555555555558,0,288,1.8611111111111112,1,0.81784267526455023,0.72222222222222221,0.90972222222222221,0,1.8194444444444444,0.82970799455174449,1.6458333333333333,0.83589090307840297,1.9027777777777777,0.834395667989418,1.8194444444444444,0.80128968253968258
250,288,1.7951388888888888,1,0.82680338707452672,0.73958333333333337,0.88888888888888884,0,288,1.9097222222222223,1,0.81647546750181554,0.72569444444444442,0.90625,0,1.9166666666666667,0.8173716551014345,1.6736111111111112,0.83623511904761905,1.9444444444444444,0.83976310431580048,1.875,0.79318783068783061,288,1.75,1,0.82880225966163457,0.73958333333333337,0.89583333333333337,0,288,1.8541666666666667,1,0.81804108796296282,0.72222222222222221,0.90972222222222221,0,1.8472222222222223,0.81974602365227367,1.6527777777777777,0.83785849567099557,1.8958333333333333,0.83555307539682533,1.8125,0.80052910052910042
251,288,1.8159722222222223,1,0.82202129127680601,0.73263888888888884,0.88888888888888884,0,288,1.9097222222222223,1,0.81488403231663031,0.72222222222222221,0.91319444444444442,0,1.9027777777777777,0.81369688658291595,1.7291666666666667,0.83034569597069596,1.9375,0.84005245616765223,1.8819444444444444,0.7897156084656084,288,1.7430555555555556,1,0.83082772262459759,0.74305555555555558,0.89930555555555558,0,288,1.8611111111111112,1,0.81344961462148957,0.71527777777777779,0.90972222222222221,0,1.8402777777777777,0.81974602365227367,1.6458333333333333,0.84190942159692161,1.9097222222222223,0.83092344576719579,1.8125,0.79597578347578346
