steady_ns,source_update_id,cell_index,x,y,internal_u,internal_v,magnitude
61980589884999,1,175,-7.1000003814697266,-5.9300003051757812,-0.0014537000097334385,-0.051626000553369522,0.051646463572978973
61980589884999,1,176,-6.8000001907348633,-5.9300003051757812,-0.0045624999329447746,-0.052797999233007431,0.052994765341281891
61980589884999,1,177,-6.5,-5.9300003051757812,-0.0037163998931646347,-0.056625001132488251,0.056746825575828552
61980589884999,1,178,-6.2000002861022949,-5.9300003051757812,-0.0030191000550985336,-0.059916999191045761,0.059993013739585876
61980589884999,1,179,-5.9000000953674316,-5.9300003051757812,-0.0031230999156832695,-0.063208997249603271,0.063286103308200836
61980589884999,1,180,-5.6000003814697266,-5.9300003051757812,-0.0029885999392718077,-0.065995998680591583,0.066063635051250458
61980589884999,1,181,-5.3000001907348633,-5.9300003051757812,-0.001333800028078258,-0.067878998816013336,0.067892104387283325
61980589884999,1,182,-5,-5.9300003051757812,-0.00022835000709164888,-0.06893099844455719,0.068931378424167633
61980589884999,1,185,-4.1000003814697266,-5.9300003051757812,-0.013392999768257141,-0.081955999135971069,0.083043113350868225
61980589884999,1,186,-3.7999999523162842,-5.9300003051757812,-0.021819999441504478,-0.08765999972820282,0.090334862470626831
61980589884999,1,187,-3.5,-5.9300003051757812,-0.028620000928640366,-0.094902999699115753,0.099124588072299957
61980589884999,1,188,-3.1999998092651367,-5.9300003051757812,-0.033681001514196396,-0.10313999652862549,0.10850008577108383
61980589884999,1,189,-2.9000000953674316,-5.9300003051757812,-0.040279000997543335,-0.10217999666929245,0.10983236879110336
61980589884999,1,190,-2.5999999046325684,-5.9300003051757812,-0.030358999967575073,-0.094617001712322235,0.09936823695898056
61980589884999,1,191,-2.3000001907348633,-5.9300003051757812,-0.01346100028604269,-0.093263000249862671,0.094229429960250854
61980589884999,1,194,-1.4000000953674316,-5.9300003051757812,-0.0001955399930011481,0.00060139002744108438,0.00063238112488761544
61980589884999,1,195,-1.0999999046325684,-5.9300003051757812,-0.00010230999760096893,0.00034239000524394214,0.00035734890843741596
61980589884999,1,196,-0.79999971389770508,-5.9300003051757812,-0.00015873000666033477,0.00014797999756410718,0.00021700988872908056
61980589884999,1,197,-0.5,-5.9300003051757812,-0.00012353999773040414,7.105599797796458e-05,0.00014251696120481938
61980589884999,1,198,-0.19999980926513672,-5.9300003051757812,-9.5541996415704489e-05,3.8917998608667403e-05,0.00010316435509594157
61980589884999,1,199,0.099999904632568359,-5.9300003051757812,-6.5940002969000489e-05,2.5028000891325064e-05,7.0530026277992874e-05
61980589884999,1,200,0.40000009536743164,-5.9300003051757812,-3.8319001760100946e-05,1.8082999304169789e-05,4.2371462768642232e-05
61980589884999,1,201,0.69999980926513672,-5.9300003051757812,-1.5948999134707265e-05,1.4975999874877743e-05,2.1878096958971582e-05
61980589884999,1,204,-7.1000003814697266,-5.630000114440918,-0.0008019499946385622,-0.059431999921798706,0.059437409043312073
61980589884999,1,205,-6.8000001907348633,-5.630000114440918,-0.0065935999155044556,-0.059895001351833344,0.060256838798522949
61980589884999,1,206,-6.5,-5.630000114440918,-0.0059477998875081539,-0.059464000165462494,0.059760719537734985
61980589884999,1,207,-6.2000002861022949,-5.630000114440918,-0.0058980998583137989,-0.061464998871088028,0.061747338622808456
61980589884999,1,208,-5.9000000953674316,-5.630000114440918,-0.0064698997884988785,-0.064732000231742859,0.065054528415203094
61980589884999,1,209,-5.6000003814697266,-5.630000114440918,-0.0056778998114168644,-0.068099997937679291,0.068336285650730133
61980589884999,1,210,-5.3000001907348633,-5.630000114440918,-0.0028512999415397644,-0.070561997592449188,0.070619583129882812
61980589884999,1,211,-5,-5.630000114440918,-0.00071181001840159297,-0.071872003376483917,0.071875527501106262
61980589884999,1,214,-4.1000003814697266,-5.630000114440918,-0.018513999879360199,-0.066527999937534332,0.069056086242198944
61980589884999,1,215,-3.7999999523162842,-5.630000114440918,-0.029688000679016113,-0.074396997690200806,0.080101750791072845
61980589884999,1,216,-3.5,-5.630000114440918,-0.03836200013756752,-0.086217001080513,0.094366386532783508
61980589884999,1,217,-3.1999998092651367,-5.630000114440918,-0.0432250015437603,-0.10063999891281128,0.10952994972467422
61980589884999,1,218,-2.9000000953674316,-5.630000114440918,-0.041455000638961792,-0.11191000044345856,0.11934138089418411
61980589884999,1,219,-2.5999999046325684,-5.630000114440918,-0.030868999660015106,-0.11708000302314758,0.12108105421066284
61980589884999,1,220,-2.3000001907348633,-5.630000114440918,-0.014650000259280205,-0.11963000148534775,0.12052369117736816
