source_update_id,query_id,cell_index,x,y,service_u,service_v,internal_u,internal_v,internal_magnitude,raw_component_max_abs_diff,float32_component_max_abs_diff,angle_abs_rad
1,21,352,-6.2000002861022949,-4.130000114440918,-0.040334,-0.038006,-0.04033400118350983,-0.038006000220775604,0.05541919977997668,1.1835098248647036e-09,0.0,1.174611963250527e-08
1,21,353,-5.9000000953674316,-4.130000114440918,-0.047037,-0.053311,-0.04703700169920921,-0.053311001509428024,0.07109530512480867,1.6992092108369938e-09,0.0,3.875242349238306e-09
1,21,354,-5.6000003814697266,-4.130000114440918,-0.0495,-0.070941,-0.0494999997317791,-0.0709410011768341,0.08650361623318246,1.1768341023898898e-09,0.0,1.0327733779291748e-08
1,21,355,-5.3000001907348633,-4.130000114440918,-0.050171,-0.092899,-0.05017099902033806,-0.09289900213479996,0.10558102926350135,2.1347999618059887e-09,0.0,1.777234936994887e-08
1,21,356,-5,-4.130000114440918,-0.030284,-0.1298,-0.03028400056064129,-0.1298000067472458,0.13328601742696783,6.7472457898620775e-09,0.0,7.405637658663977e-09
1,21,364,-2.5999999046325684,-4.130000114440918,-0.093137,-0.27243,-0.09313700348138809,-0.2724300026893616,0.2879107635758303,3.481388094472848e-09,0.0,8.41999692191564e-09
1,21,368,-1.4000000953674316,-4.130000114440918,-0.047425,-0.010902,-0.04742500185966492,-0.010901999659836292,0.0486619399322745,1.8596649151159106e-09,0.0,1.5374396866718598e-08
1,21,372,-0.19999980926513672,-4.130000114440918,-0.0037905,-0.00077528,-0.003790500108152628,-0.0007752800011076033,0.003868972751263892,1.0815262791244451e-10,0.0,5.321028062610367e-09
1,21,373,0.099999904632568359,-4.130000114440918,-0.0015407,-0.0018314,-0.0015406999737024307,-0.0018313999753445387,0.002393278562695669,2.6297569373848195e-11,0.0,1.7763768234146937e-09
1,21,378,-7.1000003814697266,-3.8299999237060547,-0.014349,-0.0091656,-0.014348999597132206,-0.009165599942207336,0.017026509088450614,4.028677946799064e-10,0.0,9.87664083851314e-09
1,21,379,-6.8000001907348633,-3.8299999237060547,-0.024434,-0.010355,-0.024434000253677368,-0.010355000384151936,0.026537641216816774,3.8415193595597863e-10,0.0,9.59825907642653e-09
1,21,380,-6.5,-3.8299999237060547,-0.037823,-0.013683,-0.03782299906015396,-0.013682999648153782,0.04022193104856832,9.39846041270176e-10,0.0,2.768980600365012e-10
1,21,381,-6.2000002861022949,-3.8299999237060547,-0.055777,-0.022941,-0.05577699840068817,-0.022941000759601593,0.060310555182674384,1.5993118288037955e-09,0.0,2.1735006239254062e-08
1,21,382,-5.9000000953674316,-3.8299999237060547,-0.070499,-0.047785,-0.0704990029335022,-0.04778499901294708,0.08516757332039762,2.9335021911602865e-09,0.0,2.8918894390272953e-08
1,21,383,-5.6000003814697266,-3.8299999237060547,-0.066421,-0.068772,-0.06642100214958191,-0.06877200305461884,0.09561034426618946,3.0546188356517234e-09,0.0,6.023165965984845e-09
1,21,384,-5.3000001907348633,-3.8299999237060547,-0.078126,-0.084409,-0.07812599837779999,-0.08440899848937988,0.11501543656617638,1.6222000132071202e-09,0.0,1.4294516681445657e-09
1,21,385,-5,-3.8299999237060547,-0.12554,-0.12843,-0.12554000318050385,-0.12842999398708344,0.1795955337810025,6.012916553554959e-09,0.0,3.6067266062644876e-08
