t_sim_s,x,y,z
17.2,-1.1232204482346484,-0.9067795517653507,0.3
17.4,-1.0999999999999996,-0.9672764786586789,0.3
17.6,-1.0999999999999996,-1.03739163013518,0.3
17.8,-1.0999999999999996,-1.107506781611682,0.3
18.0,-1.0999999999999996,-1.177621933088183,0.3
18.2,-1.0999999999999996,-1.247737084564684,0.3
18.4,-1.0999999999999996,-1.317852236041186,0.3
18.6,-1.0999999999999996,-1.387967387517688,0.3
18.8,-1.0999999999999996,-1.458082538994189,0.3
19.0,-1.0999999999999996,-1.52819769047069,0.3
19.2,-1.0999999999999996,-1.598312841947192,0.3
19.4,-1.0999999999999996,-1.6684279934236939,0.3
19.6,-1.0999999999999996,-1.738543144900194,0.3
19.8,-1.0999999999999996,-1.8086582963766968,0.3
20.0,-1.0999999999999996,-1.8787734478531979,0.3
20.2,-1.0999999999999996,-1.948888599329699,0.3
20.4,-1.0999999999999996,-2.019003750806201,0.3
20.6,-1.0999999999999996,-2.089118902282702,0.3
20.8,-1.0999999999999996,-2.159234053759203,0.3
21.0,-1.0999999999999996,-2.229349205235705,0.3
21.2,-1.0999999999999996,-2.299464356712206,0.3
21.4,-1.0999999999999996,-2.369579508188707,0.3
21.6,-1.0999999999999996,-2.43969465966521,0.3
21.8,-1.0999999999999996,-2.509809811141711,0.3
22.0,-1.0999999999999996,-2.579924962618213,0.3
22.2,-1.0999999999999996,-2.650040114094714,0.3
22.4,-1.0999999999999996,-2.720155265571215,0.3
22.6,-1.0999999999999996,-2.790270417047717,0.3
22.8,-1.0999999999999996,-2.860385568524218,0.3
23.0,-1.0999999999999996,-2.930500720000719,0.3
23.2,-1.0999999999999996,-3.000615871477221,0.3
23.4,-1.071198817464757,-3.058801182535242,0.3
23.6,-1.021619918391802,-3.108380081608197,0.3
23.8,-0.9604600303305846,-3.13,0.3
24.0,-0.8903448788540826,-3.13,0.3
24.2,-0.8202297273775825,-3.13,0.3
24.4,-0.7501145759010792,-3.13,0.3
24.6,-0.6799994244245795,-3.13,0.3
24.8,-0.6098842729480776,-3.13,0.3
25.0,-0.5397691214715751,-3.13,0.3
25.2,-0.4696539699950746,-3.13,0.3
25.4,-0.39953881851857265,-3.13,0.3
25.6,-0.3294236670420707,-3.13,0.3
25.8,-0.2593085155655709,-3.13,0.3
26.0,-0.18919336408906773,-3.13,0.3
26.2,-0.11907821261256757,-3.13,0.3
26.4,-0.06391143443830966,-3.1660885655616897,0.3
26.6,-0.014332535365351534,-3.215667464634647,0.3
26.8,0.04984588557962777,-3.2299999999999995,0.3
27.0,0.11411458466190541,-3.2441145846619044,0.3
27.2,0.1636934837348618,-3.2936934837348613,0.3
27.4,0.2132723828078171,-3.343272382807817,0.3
27.6,0.2628512818807752,-3.3928512818807746,0.3
27.8,0.3175789304875174,-3.4299999999999997,0.3
28.0,0.38769408196401756,-3.4299999999999997,0.3
28.2,0.4408773009809891,-3.470877300980988,0.3
28.4,0.49045620005394475,-3.5204562000539434,0.3
28.6,0.5566181801562147,-3.5299999999999994,0.3
28.8,0.6267333316327166,-3.5299999999999994,0.3
29.0,0.6968484831092168,-3.5299999999999994,0.3
29.2,0.7669636345857187,-3.5299999999999994,0.3
29.4,0.762921213937779,-3.5299999999999994,0.3
29.6,0.6928060624612788,-3.5299999999999994,0.3
29.8,0.6226909109847751,-3.5299999999999994,0.3
30.0,0.552575759508275,-3.5299999999999994,0.3
30.2,0.4875977770013782,-3.5424022229986223,0.3
30.4,0.438018877928422,-3.5919811220715783,0.3
30.6,0.3836516613160814,-3.63,0.3
30.8,0.3135365098395795,-3.63,0.3
31.0,0.24342135836307704,-3.63,0.3
31.2,0.1733062068865765,-3.63,0.3
31.4,0.10319105541007456,-3.63,0.3
31.6,0.033075903933572626,-3.63,0.3
31.8,-0.0370392475429272,-3.63,0.3
32.0,-0.10715439901943036,-3.63,0.3
32.2,-0.17726955049593052,-3.63,0.3
32.4,-0.24738470197243287,-3.63,0.3
32.6,-0.3174998534489353,-3.63,0.3
32.8,-0.38761500492543544,-3.63,0.3
33.0,-0.45773015640193737,-3.63,0.3
33.2,-0.5278453078784391,-3.63,0.3
33.4,-0.5979604593549386,-3.63,0.3
33.6,-0.6680756108314405,-3.63,0.3
33.8,-0.7381907623079428,-3.63,0.3
