"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.06059,0.073203,-0.0052138,0.3395,0.33962,0.33956
-0.063822,0.050997,-0.004542,0.3404,0.23425,0.44477
-0.0654,0.028221,-0.0039003,0.3424,0.13066,0.54818
-0.06554,0.0078747,-0.0037166,0.34464,0.039708,0.64965
-0.037425,0.14629,-0.0011361,0.24019,0.7499,0.039003
-0.036919,0.12855,-0.0041557,0.23671,0.64934,0.13014
-0.037998,0.11013,-0.0059696,0.23504,0.54776,0.23514
-0.040034,0.090532,-0.0068231,0.23419,0.44485,0.34051
-0.041891,0.069508,-0.0067174,0.2342,0.34052,0.44482
-0.043126,0.047492,-0.0062264,0.23507,0.23514,0.54772
-0.043593,0.025707,-0.005824,0.23673,0.13014,0.64931
-0.04404,0.0070719,-0.0058152,0.2402,0.039002,0.74989
-0.02241,0.16693,-0.0011776,0.13594,0.84998,0.037508
-0.020165,0.14743,-0.0044168,0.12902,0.74982,0.12919
-0.020395,0.12798,-0.0069441,0.13008,0.64934,0.23687
-0.0213,0.10823,-0.0082619,0.13064,0.54826,0.34262
-0.022125,0.087818,-0.0085433,0.13077,0.4462,0.4462
-0.022688,0.066742,-0.0081819,0.13065,0.34262,0.54825
-0.022845,0.045273,-0.0076069,0.13009,0.23686,0.64933
-0.022535,0.024117,-0.0071949,0.12902,0.12919,0.74982
-0.023888,0.0066333,-0.007176,0.13595,0.037507,0.84997
-0.0069336,0.18896,-0.0012764,0.042113,0.95,0.042258
-0.0064384,0.16743,-0.0050951,0.037358,0.84998,0.13633
-0.0064501,0.14687,-0.0080589,0.038975,0.7499,0.24069
-0.0067592,0.12661,-0.0097256,0.039704,0.64969,0.34505
-0.0070373,0.1063,-0.01027,0.039903,0.54912,0.44779
-0.0072497,0.085795,-0.0099782,0.039903,0.44778,0.54913
-0.0073697,0.065175,-0.0092774,0.039705,0.34504,0.64969
-0.0073918,0.044655,-0.0085111,0.038976,0.24068,0.7499
-0.0072434,0.024722,-0.0079812,0.037359,0.13632,0.84998
-0.0069025,0.0063785,-0.0078514,0.042114,0.042257,0.95
-0.28425,-0.0007066,0.0092662,1.05,0.04242,0.042274
-0.20937,0.020037,0.0039215,0.94987,0.13646,0.037472
-0.25168,0.0050306,0.017978,0.95008,0.03748,0.1363
-0.1514,0.040744,0.0012429,0.84991,0.24063,0.038969
-0.19078,0.029038,0.0073776,0.84988,0.12918,0.12916
-0.21887,0.0087125,0.01898,0.84996,0.03898,0.24046
-0.11416,0.063354,-0.00010084,0.74984,0.34498,0.039698
-0.14018,0.051544,0.00083806,0.74963,0.23683,0.13007
-0.16681,0.035385,0.0074889,0.74964,0.13009,0.2368
-0.18263,0.01076,0.014711,0.74985,0.039697,0.34473
-0.090434,0.083772,-0.00075434,0.64959,0.44773,0.039898
-0.10628,0.072686,-0.0022768,0.64905,0.34252,0.1306
-0.12496,0.057379,0.00027726,0.64873,0.23503,0.23498
-0.13992,0.036529,0.0046351,0.64905,0.1306,0.34236
-0.14664,0.010908,0.0085723,0.64959,0.039898,0.44757
-0.074275,0.10298,-0.0010647,0.54896,0.54908,0.03993
-0.083048,0.091171,-0.0036707,0.5479,0.44603,0.13073
-0.094564,0.076515,-0.0034853,0.54695,0.34021,0.23394
-0.10564,0.057245,-0.0014878,0.54696,0.23397,0.3401
-0.11269,0.03405,0.0012168,0.54791,0.13073,0.44589
-0.11443,0.0098329,0.0030044,0.54896,0.03993,0.54899
-0.061895,0.12218,-0.0012031,0.4475,0.64964,0.039899
-0.065679,0.10876,-0.0042685,0.44582,0.54802,0.13073
-0.071821,0.093509,-0.0053274,0.44409,0.44426,0.2336
-0.078764,0.07526,-0.0049157,0.44334,0.33867,0.33861
-0.084382,0.053606,-0.0033705,0.44411,0.23361,0.44416
-0.087115,0.030321,-0.0019215,0.44584,0.13073,0.54794
-0.087071,0.0085454,-0.0012413,0.44752,0.039899,0.64961
-0.050584,0.14239,-0.0012663,0.34461,0.74987,0.039702
-0.050927,0.12679,-0.0045464,0.34227,0.64911,0.13061
-0.053293,0.11024,-0.0063069,0.34003,0.54706,0.23396
-0.05693,0.091971,-0.0069072,0.33856,0.44346,0.33864
-0.060454,0.071515,-0.0063224,0.33858,0.33866,0.44342
-0.062944,0.049346,-0.0053075,0.34006,0.23396,0.547
-0.063866,0.027067,-0.0044869,0.34229,0.13061,0.64908
-0.06363,0.0075071,-0.0042699,0.34461,0.039701,0.74985
-0.038792,0.16405,-0.0012934,0.24019,0.84996,0.038999
-0.036992,0.14598,-0.0047186,0.23667,0.74967,0.13011
-0.037054,0.12778,-0.0070178,0.23493,0.6488,0.23503
-0.038488,0.10891,-0.0082998,0.23391,0.54706,0.34018
-0.040219,0.088902,-0.008406,0.23357,0.44424,0.44423
-0.041652,0.067762,-0.0078095,0.23392,0.34018,0.54704
-0.042452,0.046028,-0.0069885,0.23494,0.23502,0.64878
-0.042609,0.024792,-0.0064066,0.23668,0.13011,0.74966
-0.042887,0.0067952,-0.0062942,0.24019,0.038999,0.84995
-0.024155,0.18728,-0.0013222,0.13594,0.94999,0.037507
-0.02102,0.16669,-0.0049691,0.12901,0.84991,0.12918
-0.020605,0.14662,-0.0079419,0.13005,0.74967,0.23684
-0.021034,0.12677,-0.0096657,0.13059,0.64912,0.34253
-0.021636,0.10664,-0.010211,0.13072,0.54803,0.44603
-0.022194,0.086048,-0.0098915,0.13072,0.44602,0.54803
-0.02251,0.065078,-0.0091117,0.13059,0.34253,0.64912
-0.022471,0.043973,-0.0082581,0.13006,0.23683,0.74967
-0.022039,0.02335,-0.0076733,0.12901,0.12918,0.84991
-0.023305,0.0064066,-0.0075265,0.13595,0.037506,0.94999
-0.007556,0.21189,-0.0014345,0.042112,1.05,0.042258
-0.0068203,0.18849,-0.0056566,0.037357,0.94999,0.13632
-0.006589,0.16666,-0.0090287,0.038971,0.84996,0.24068
-0.0067219,0.14564,-0.011122,0.039698,0.74987,0.34504
-0.0068982,0.125,-0.011976,0.039897,0.64965,0.44777
-0.0070724,0.10445,-0.01182,0.039929,0.54909,0.54909
-0.0071938,0.083937,-0.011051,0.039897,0.44776,0.64965
