house,carrier_index,carrier_id,x,y,free_cells,geometry_prior,occupancy_sha256
House01,60,quadtree_6_28_2_2,-5.6000003814697266,0.67000007629394531,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,61,quadtree_6_30_2_2,-5.6000003814697266,1.5700006484985352,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,62,quadtree_6_32_2_2,-5.6000003814697266,2.0199999809265137,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,63,quadtree_6_34_2_2,-5.6000003814697266,2.6200003623962402,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,64,quadtree_6_36_2_2,-5.6000003814697266,3.0700006484985352,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,65,quadtree_8_0_2_2,-5,-7.4300003051757812,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,66,quadtree_8_2_2_2,-5,-6.9800000190734863,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,67,quadtree_8_4_2_2,-5,-6.380000114440918,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,68,quadtree_8_6_2_2,-5,-5.7800002098083496,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,69,quadtree_8_8_2_2,-5,-5.179999828338623,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,70,quadtree_8_10_2_2,-5,-4.5800001621246338,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,71,quadtree_8_12_2_2,-5,-3.9800000190734863,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,72,quadtree_8_14_2_2,-4.8499999046325684,-3.3799998760223389,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,73,quadtree_8_18_2_2,-4.7999998728434248,-2.129999796549479,3,0.0047923322683706068,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,74,quadtree_8_20_2_2,-4.8499999046325684,-1.5799999237060547,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,75,quadtree_8_22_2_2,-4.8499999046325684,-0.97999978065490723,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,76,quadtree_8_24_2_2,-4.8499999046325684,-0.37999987602233887,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,77,quadtree_8_26_2_2,-4.8499999046325684,0.22000002861022949,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,78,quadtree_8_30_2_2,-4.6999998092651367,1.5700006484985352,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,79,quadtree_8_32_2_2,-4.6999998092651367,2.0199999809265137,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,80,quadtree_8_34_2_2,-4.6999998092651367,2.4700002670288086,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,81,quadtree_10_0_2_2,-4.1000003814697266,-7.4300003051757812,1,0.0015974440894568689,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,82,quadtree_10_2_2_2,-4.1000003814697266,-6.9800000190734863,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,83,quadtree_10_4_2_2,-4.1000003814697266,-6.380000114440918,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,84,quadtree_10_6_2_2,-4.1000003814697266,-5.7800002098083496,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,85,quadtree_10_8_2_2,-4.1000003814697266,-5.179999828338623,2,0.0031948881789137379,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,86,quadtree_10_14_2_2,-4.2500002384185791,-3.3799998760223389,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,87,quadtree_10_18_2_2,-4.2500002384185791,-2.179999828338623,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,88,quadtree_10_20_2_2,-4.2500002384185791,-1.5799999237060547,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,89,quadtree_10_22_2_2,-4.2500002384185791,-0.97999978065490723,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,90,quadtree_10_24_2_2,-4.2500002384185791,-0.37999987602233887,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
House01,91,quadtree_10_26_2_2,-4.2500002384185791,0.22000002861022949,4,0.0063897763578274758,846003ffbbc8e99aa322cf189356399412763710e937bb5e5316186afccf17cb
